Index        FREQ           Re(V(3))         Im(V(3))
0       1.00000000e+02   -6.60439092e-04  5.86017482e-10   
1       1.25892541e+02   -6.60439092e-04  7.37752300e-10   
2       1.58489319e+02   -6.60439092e-04  9.28775119e-10   
3       1.99526231e+02   -6.60439092e-04  1.16925860e-09   
4       2.51188643e+02   -6.60439092e-04  1.47200936e-09   
5       3.16227766e+02   -6.60439092e-04  1.85314999e-09   
6       3.98107171e+02   -6.60439092e-04  2.33297762e-09   
7       5.01187234e+02   -6.60439092e-04  2.93704481e-09   
8       6.30957344e+02   -6.60439092e-04  3.69752035e-09   
9       7.94328235e+02   -6.60439092e-04  4.65490232e-09   
10      1.00000000e+03   -6.60439092e-04  5.86017482e-09   
11      1.25892541e+03   -6.60439092e-04  7.37752300e-09   
12      1.58489319e+03   -6.60439092e-04  9.28775118e-09   
13      1.99526231e+03   -6.60439092e-04  1.16925860e-08   
14      2.51188643e+03   -6.60439092e-04  1.47200936e-08   
15      3.16227766e+03   -6.60439092e-04  1.85314999e-08   
16      3.98107171e+03   -6.60439092e-04  2.33297762e-08   
17      5.01187234e+03   -6.60439091e-04  2.93704480e-08   
18      6.30957344e+03   -6.60439091e-04  3.69752034e-08   
19      7.94328235e+03   -6.60439090e-04  4.65490231e-08   
20      1.00000000e+04   -6.60439088e-04  5.86017479e-08   
21      1.25892541e+04   -6.60439085e-04  7.37752294e-08   
22      1.58489319e+04   -6.60439081e-04  9.28775105e-08   
23      1.99526231e+04   -6.60439075e-04  1.16925857e-07   
24      2.51188643e+04   -6.60439065e-04  1.47200931e-07   
25      3.16227766e+04   -6.60439048e-04  1.85314989e-07   
26      3.98107171e+04   -6.60439022e-04  2.33297741e-07   
27      5.01187234e+04   -6.60438981e-04  2.93704439e-07   
28      6.30957344e+04   -6.60438916e-04  3.69751951e-07   
29      7.94328235e+04   -6.60438813e-04  4.65490065e-07   
30      1.00000000e+05   -6.60438650e-04  5.86017148e-07   
31      1.25892541e+05   -6.60438391e-04  7.37751634e-07   
32      1.58489319e+05   -6.60437981e-04  9.28773789e-07   
33      1.99526231e+05   -6.60437331e-04  1.16925595e-06   
34      2.51188643e+05   -6.60436300e-04  1.47200407e-06   
35      3.16227766e+05   -6.60434667e-04  1.85313943e-06   
36      3.98107171e+05   -6.60432079e-04  2.33295654e-06   
37      5.01187234e+05   -6.60427977e-04  2.93700276e-06   
38      6.30957344e+05   -6.60421476e-04  3.69743645e-06   
39      7.94328235e+05   -6.60411173e-04  4.65473494e-06   
40      1.00000000e+06   -6.60394845e-04  5.85984085e-06   
41      1.25892541e+06   -6.60368967e-04  7.37685666e-06   
42      1.58489319e+06   -6.60327956e-04  9.28642172e-06   
43      1.99526231e+06   -6.60262968e-04  1.16899336e-05   
44      2.51188643e+06   -6.60159991e-04  1.47148021e-05   
45      3.16227766e+06   -6.59996840e-04  1.85209441e-05   
46      3.98107171e+06   -6.59738402e-04  2.33087216e-05   
47      5.01187234e+06   -6.59329159e-04  2.93284608e-05   
48      6.30957344e+06   -6.58681435e-04  3.68914977e-05   
49      7.94328235e+06   -6.57657075e-04  4.63822290e-05   
50      1.00000000e+07   -6.56039110e-04  5.82696457e-05   
51      1.25892541e+07   -6.53488618e-04  7.31147866e-05   
52      1.58489319e+07   -6.49480687e-04  9.15666148e-05   
53      1.99526231e+07   -6.43213334e-04  1.14331683e-04   
54      2.51188643e+07   -6.33487696e-04  1.42091153e-04   
55      3.16227766e+07   -6.18573652e-04  1.75322436e-04   
56      3.98107171e+07   -5.96114672e-04  2.13969307e-04   
57      5.01187234e+07   -5.63201638e-04  2.56920827e-04   
58      6.30957344e+07   -5.16842372e-04  3.01366246e-04   
59      7.94328235e+07   -4.55061099e-04  3.42356990e-04   
60      1.00000000e+08   -3.78534015e-04  3.73240611e-04   
61      1.25892541e+08   -2.91885340e-04  3.87547143e-04   
62      1.58489319e+08   -2.03212634e-04  3.81817924e-04   
63      1.99526231e+08   -1.21380463e-04  3.57441043e-04   
64      2.51188643e+08   -5.27580905e-05  3.19886463e-04   
65      3.16227766e+08   3.13479849e-07   2.76035787e-04   
66      3.98107171e+08   3.88456644e-05   2.31715960e-04   
67      5.01187234e+08   6.55558173e-05   1.90653021e-04   
68      6.30957344e+08   8.34801364e-05   1.54617820e-04   
69      7.94328235e+08   9.52449333e-05   1.24040713e-04   
70      1.00000000e+09   1.02849625e-04   9.86066481e-05   
