Index       TIME              V(IN)          V(AWL1_OUT)       V(LPF1_OUT)       V(LIM1_OUT)       V(AWL2_OUT)       V(LPF2_OUT)       V(LIM2_OUT)   
48       1.39981000e+00    9.85537981e-01    5.02543870e-01    5.30978866e-01    5.00000000e-01    3.27692121e-01    3.27692121e-01    3.27692121e-01
49       1.43418872e+00    9.90782485e-01    5.02457893e-01    5.46430568e-01    5.00000000e-01    3.38948399e-01    3.38948399e-01    3.38948399e-01
50       1.50294614e+00    9.97750453e-01    5.02294511e-01    5.76199204e-01    5.00000000e-01    3.61096676e-01    3.61096676e-01    3.61096676e-01
51       1.57170357e+00    9.99998547e-01    5.02141990e-01    6.04295360e-01    5.00000000e-01    3.82652132e-01    3.82652132e-01    3.82652132e-01
52       1.64046099e+00    9.97516134e-01    5.01999607e-01    6.30516114e-01    5.00000000e-01    4.03475102e-01    4.03475102e-01    4.03475102e-01
53       1.70921842e+00    9.90314957e-01    5.01866689e-01    6.54672073e-01    5.00000000e-01    4.23430661e-01    4.23430661e-01    4.23430661e-01
54       1.77797584e+00    9.78429080e-01    5.01742606e-01    6.76587952e-01    5.00000000e-01    4.42389218e-01    4.42389218e-01    4.42389218e-01
55       1.84673327e+00    9.61914730e-01    5.01626771e-01    6.96103122e-01    5.00000000e-01    4.60227086e-01    4.60227086e-01    4.60227086e-01
56       1.91549069e+00    9.40850028e-01    5.01518636e-01    7.13072095e-01    5.00000000e-01    4.76827030e-01    4.76827030e-01    4.76827030e-01
57       1.98424812e+00    9.15334622e-01    5.01417689e-01    7.27364962e-01    5.00000000e-01    4.92078782e-01    4.92078782e-01    4.92078782e-01
58       1.99284280e+00    9.11838041e-01    5.01405608e-01    7.28936939e-01    5.00000000e-01    4.93874911e-01    4.93874911e-01    4.93874911e-01
59       2.01003215e+00    9.04642872e-01    5.01381653e-01    7.31992787e-01    5.00000000e-01    4.97421011e-01    4.97421011e-01    4.97421011e-01
60       2.04441087e+00    8.89452053e-01    5.01334956e-01    7.37571263e-01    5.00000000e-01    5.00905389e-01    5.04231796e-01    5.00000000e-01
61       2.07878958e+00    8.73209030e-01    5.01289837e-01    7.42430004e-01    5.00000000e-01    5.00874789e-01    5.10658644e-01    5.00000000e-01
