Index   TIME           V(1)           V(7)           V(5)           V(2)           
0       0.00000000e+00   4.21978814e-27   6.64487428e-27   2.49276012e+00   2.49276012e+00   
1       5.00000000e-12   -1.23843787e-25  1.17644519e-22   2.49276012e+00   2.49276012e+00   
2       1.50000000e-11   1.60532179e-25   -6.14254980e-24  2.49276012e+00   2.49276012e+00   
3       1.90000000e-11   3.39742521e-26   4.63154700e-24   2.49276012e+00   2.49276012e+00   
4       2.70000000e-11   4.84772327e-26   -1.69667941e-25  2.49276012e+00   2.49276012e+00   
5       4.30000000e-11   -2.01402130e-25  9.97392360e-24   2.49276012e+00   2.49276012e+00   
6       7.50000000e-11   -1.70257797e-26  -1.00994507e-25  2.49276012e+00   2.49276012e+00   
7       1.39000000e-10   2.84657908e-25   -1.01673372e-23  2.49276012e+00   2.49276012e+00   
8       2.39000000e-10   -7.77540685e-27  -5.08241354e-23  2.49276012e+00   2.49276012e+00   
9       3.39000000e-10   3.31255284e-25   8.41078565e-24   2.49276012e+00   2.49276012e+00   
10      4.39000000e-10   1.11724395e-25   7.64700189e-24   2.49276012e+00   2.49276012e+00   
11      5.39000000e-10   1.01841473e-26   9.38615578e-24   2.49276012e+00   2.49276012e+00   
12      6.39000000e-10   -2.00767385e-26  6.83889295e-24   2.49276012e+00   2.49276012e+00   
13      7.39000000e-10   -8.70059331e-27  -5.47676249e-25  2.49276012e+00   2.49276012e+00   
14      8.39000000e-10   -8.71118613e-27  -2.40096316e-24  2.49276012e+00   2.49276012e+00   
15      9.39000000e-10   -8.46336401e-27  -2.04826691e-24  2.49276012e+00   2.49276012e+00   
16      1.00000000e-09   -5.70039496e-27  5.22498540e-24   2.49276012e+00   2.49276012e+00   
17      1.00500000e-09   1.50000000e-02   2.79384123e-14   2.49283557e+00   2.49336992e+00   
18      1.00577536e-09   1.73260790e-02   1.64310197e-16   2.49284929e+00   2.49347909e+00   
19      1.00635688e-09   1.90706382e-02   -2.56717394e-16  2.49286078e+00   2.49356875e+00   
20      1.00693840e-09   2.08151975e-02   -1.53839237e-16  2.49287352e+00   2.49366551e+00   
21      1.00751992e-09   2.25597567e-02   2.13219426e-18   2.49288710e+00   2.49376664e+00   
22      1.00857013e-09   2.57103833e-02   1.01396741e-15   2.49291468e+00   2.49396264e+00   
23      1.01004756e-09   3.01426784e-02   -1.01472096e-16  2.49296011e+00   2.49426030e+00   
