Index   TIME           I(VMON)           
0       0.00000000e+00  0.00000000e+00  
1       5.00000000e-06  1.98566832e+00  
2       1.00000000e-05  3.64441869e+00  
3       1.50000000e-05  4.70369480e+00  
4       2.00000000e-05  4.99044245e+00  
5       2.50000000e-05  4.45941777e+00  
6       3.00000000e-05  3.19998022e+00  
7       3.50000000e-05  1.42040629e+00  
8       4.00000000e-05  -5.87396048e-01 
9       4.50000000e-05  -2.49660128e+00 
10      5.00000000e-05  -3.99926718e+00 
11      5.50000000e-05  -4.85618634e+00 
12      6.00000000e-05  -4.93461732e+00 
13      6.50000000e-05  -4.22795472e+00 
14      7.00000000e-05  -2.85456602e+00 
15      7.50000000e-05  -1.03655201e+00 
16      8.00000000e-05  9.37537202e-01  
17      8.50000000e-05  2.75952295e+00  
18      9.00000000e-05  4.15015106e+00  
19      9.50000000e-05  4.90161471e+00  
20      1.00000000e-04  4.90758824e+00  
21      1.05000000e-04  4.17659349e+00  
22      1.10000000e-04  2.82734651e+00  
23      1.15000000e-04  1.06761280e+00  
24      1.20000000e-04  -8.39434373e-01 
25      1.25000000e-04  -2.61566947e+00 
26      1.30000000e-04  -4.00890311e+00 
27      1.35000000e-04  -4.82814874e+00 
28      1.40000000e-04  -4.96843489e+00 
29      1.45000000e-04  -4.42218663e+00 
30      1.50000000e-04  -3.27635633e+00 
31      1.55000000e-04  -1.69658942e+00 
32      1.60000000e-04  9.85418878e-02  
33      1.65000000e-04  1.86903976e+00  
34      1.70000000e-04  3.38605113e+00  
35      1.75000000e-04  4.46106806e+00  
36      1.80000000e-04  4.96813838e+00  
37      1.85000000e-04  4.85670205e+00  
38      1.90000000e-04  4.15410632e+00  
39      1.95000000e-04  2.95827279e+00  
40      2.00000000e-04  1.42220410e+00  
41      2.05000000e-04  -2.67111128e-01 
42      2.10000000e-04  -1.91238366e+00 
43      2.15000000e-04  -3.32926085e+00 
44      2.20000000e-04  -4.36642883e+00 
45      2.25000000e-04  -4.92053112e+00 
46      2.30000000e-04  -4.94466636e+00 
47      2.35000000e-04  -4.45008979e+00 
48      2.40000000e-04  -3.50154758e+00 
49      2.45000000e-04  -2.20733175e+00 
50      2.50000000e-04  -7.05600040e-01 
51      2.55000000e-04  8.51264414e-01  
52      2.60000000e-04  2.31246999e+00  
53      2.65000000e-04  3.54320782e+00  
54      2.70000000e-04  4.43634113e+00  
55      2.75000000e-04  4.92053112e+00  
56      2.80000000e-04  4.96438453e+00  
57      2.85000000e-04  4.57663700e+00  
58      2.90000000e-04  3.80275621e+00  
59      2.95000000e-04  2.71863207e+00  
60      3.00000000e-04  1.42220410e+00  
61      3.05000000e-04  2.39553152e-02  
62      3.10000000e-04  -1.36281233e+00 
63      3.15000000e-04  -2.63109930e+00 
64      3.20000000e-04  -3.68805552e+00 
65      3.25000000e-04  -4.46106806e+00 
66      3.30000000e-04  -4.90180423e+00 
67      3.35000000e-04  -4.98811878e+00 
68      3.40000000e-04  -4.72390785e+00 
69      3.45000000e-04  -4.13713463e+00 
70      3.50000000e-04  -3.27635633e+00 
71      3.55000000e-04  -2.20614777e+00 
72      3.60000000e-04  -1.00184427e+00 
73      3.65000000e-04  2.55979803e-01  
74      3.70000000e-04  1.48691413e+00  
75      3.75000000e-04  2.61566947e+00  
76      3.80000000e-04  3.57632860e+00  
77      3.85000000e-04  4.31570639e+00  
78      3.90000000e-04  4.79570941e+00  
79      3.95000000e-04  4.99465690e+00  
80      4.00000000e-04  4.90758824e+00  
81      4.05000000e-04  4.54563490e+00  
82      4.10000000e-04  3.93457594e+00  
83      4.15000000e-04  3.11272520e+00  
84      4.20000000e-04  2.12831553e+00  
85      4.25000000e-04  1.03655201e+00  
86      4.30000000e-04  -1.03496674e-01 
87      4.35000000e-04  -1.23200926e+00 
88      4.40000000e-04  -2.29138255e+00 
89      4.45000000e-04  -3.22893846e+00 
90      4.50000000e-04  -3.99926718e+00 
91      4.55000000e-04  -4.56613000e+00 
92      4.60000000e-04  -4.90386924e+00 
93      4.65000000e-04  -4.99829561e+00 
94      4.70000000e-04  -4.84704526e+00 
95      4.75000000e-04  -4.45941777e+00 
96      4.80000000e-04  -3.85572409e+00 
97      4.85000000e-04  -3.06618800e+00 
98      4.90000000e-04  -2.12945744e+00 
99      4.95000000e-04  -1.09079185e+00 
100     5.00000000e-04  2.24806285e-13  
101     5.05000000e-04  1.09079185e+00  
102     5.10000000e-04  2.12945744e+00  
103     5.15000000e-04  3.06618800e+00  
104     5.20000000e-04  3.85572409e+00  
105     5.25000000e-04  4.45941777e+00  
106     5.30000000e-04  4.84704526e+00  
107     5.35000000e-04  4.99829561e+00  
108     5.40000000e-04  4.90386924e+00  
109     5.45000000e-04  4.56613000e+00  
110     5.50000000e-04  3.99926718e+00  
111     5.55000000e-04  3.22893846e+00  
112     5.60000000e-04  2.29138255e+00  
113     5.65000000e-04  1.23200926e+00  
114     5.70000000e-04  1.03496674e-01  
115     5.75000000e-04  -1.03655201e+00 
116     5.80000000e-04  -2.12831553e+00 
117     5.85000000e-04  -3.11272520e+00 
118     5.90000000e-04  -3.93457594e+00 
119     5.95000000e-04  -4.54563490e+00 
120     6.00000000e-04  -4.90758824e+00 
121     6.05000000e-04  -4.99465690e+00 
122     6.10000000e-04  -4.79570941e+00 
123     6.15000000e-04  -4.31570639e+00 
124     6.20000000e-04  -3.57632860e+00 
125     6.25000000e-04  -2.61566947e+00 
126     6.30000000e-04  -1.48691413e+00 
127     6.35000000e-04  -2.55979803e-01 
128     6.40000000e-04  1.00184427e+00  
129     6.45000000e-04  2.20614777e+00  
130     6.50000000e-04  3.27635633e+00  
131     6.55000000e-04  4.13713463e+00  
132     6.60000000e-04  4.72390785e+00  
133     6.65000000e-04  4.98811878e+00  
134     6.70000000e-04  4.90180423e+00  
135     6.75000000e-04  4.46106806e+00  
