Index       TIME              V(1)              V(2)          {1000*I(V2)}   
83       4.86473202e-01    5.00000000e+00    4.99999989e+00    9.00000000e+00
84       5.00000000e-01    5.00000000e+00    4.99999989e+00    9.00000000e+00
85       5.09223808e-01    5.00000000e+00    4.99999991e+00    9.09223808e+00
86       5.18447616e-01    5.00000000e+00    4.99999992e+00    9.18447616e+00
87       5.36895233e-01    5.00000000e+00    4.99999993e+00    9.36895233e+00
88       5.73790466e-01    5.00000000e+00    4.99999995e+00    9.73790466e+00
89       6.00000000e-01    5.00000000e+00    4.99999995e+00    1.00000000e+01
90       6.07379047e-01    5.00000000e+00    4.99999995e+00    1.00000000e+01
91       6.22137140e-01    5.00000000e+00    4.99999995e+00    1.00000000e+01
92       6.51653326e-01    5.00000000e+00    4.99999995e+00    1.00000000e+01
93       7.00000000e-01    5.00000000e+00    4.99999995e+00    1.00000000e+01
94       7.02569194e-01    5.00000000e+00    4.99999995e+00    9.74308056e+00
95       7.04745490e-01    5.00000000e+00    4.99999994e+00    9.52545097e+00
96       7.09098082e-01    5.00000000e+00    4.99999990e+00    9.09019179e+00
97       7.17803266e-01    5.00000000e+00    4.99999949e+00    8.21967342e+00
98       7.35213633e-01    5.00000000e+00    4.99986968e+00    6.47863669e+00
99       7.43918817e-01    5.00000000e+00    4.99593181e+00    5.60811833e+00
100      7.48274389e-01    5.00000000e+00    4.97565758e+00    5.17256111e+00
101      7.49794516e-01    5.00000000e+00    4.95449985e+00    5.02054844e+00
102      7.51314642e-01    5.00000000e+00    4.91525250e+00    4.86853577e+00
103      7.52834769e-01    5.00000000e+00    4.84337545e+00    4.71652310e+00
104      7.54354896e-01    5.00000000e+00    4.71466821e+00    4.56451044e+00
105      7.55723010e-01    5.00000000e+00    4.52045915e+00    4.42769903e+00
106      7.56901761e-01    5.00000000e+00    4.26779846e+00    4.30982389e+00
107      7.57919834e-01    5.00000000e+00    3.97075083e+00    4.20801657e+00
108      7.58836100e-01    5.00000000e+00    3.63657067e+00    4.11638998e+00
109      7.59752366e-01    5.00000000e+00    3.24473076e+00    4.02476339e+00
110      7.60668632e-01    5.00000000e+00    2.81149409e+00    3.93313680e+00
111      7.61584898e-01    5.00000000e+00    2.36208221e+00    3.84151021e+00
112      7.62501164e-01    5.00000000e+00    1.92525349e+00    3.74988362e+00
113      7.63417430e-01    5.00000000e+00    1.52626869e+00    3.65825703e+00
114      7.64333696e-01    5.00000000e+00    1.18164981e+00    3.56663043e+00
115      7.65158335e-01    5.00000000e+00    9.23400231e-01    3.48416650e+00
116      7.65982974e-01    5.00000000e+00    7.13167663e-01    3.40170257e+00
117      7.66807614e-01    5.00000000e+00    5.46158017e-01    3.31923864e+00
118      7.67632253e-01    5.00000000e+00    4.15920114e-01    3.23677471e+00
119      7.68456892e-01    5.00000000e+00    3.15719566e-01    3.15431078e+00
120      7.69281532e-01    5.00000000e+00    2.39349829e-01    3.07184684e+00
121      7.70106171e-01    5.00000000e+00    1.81499379e-01    2.98938291e+00
122      7.70930810e-01    5.00000000e+00    1.37834588e-01    2.90691898e+00
123      7.71755450e-01    5.00000000e+00    1.04930617e-01    2.82445505e+00
124      7.73404728e-01    5.00000000e+00    6.14391896e-02    2.65952719e+00
125      7.76703285e-01    5.00000000e+00    2.22551143e-02    2.32967146e+00
126      7.80001843e-01    5.00000000e+00    8.83059652e-03    1.99981573e+00
127      7.86598957e-01    5.00000000e+00    1.93891243e-03    1.34010428e+00
128      7.92536360e-01    5.00000000e+00    7.75292367e-04    7.46363971e-01
129      8.00000000e-01    5.00000000e+00    4.99950005e-04   -1.79619570e-16
130      8.01187481e-01    5.00000000e+00    4.99950005e-04    0.00000000e+00
131      8.03562442e-01    5.00000000e+00    4.99950005e-04    0.00000000e+00
132      8.08312364e-01    5.00000000e+00    4.99950005e-04    0.00000000e+00
133      8.17812209e-01    5.00000000e+00    4.99950005e-04    0.00000000e+00
134      8.36811899e-01    5.00000000e+00    4.99950005e-04    0.00000000e+00
135      8.74811279e-01    5.00000000e+00    4.99950005e-04    0.00000000e+00
136      9.00000000e-01    5.00000000e+00    4.99950005e-04    0.00000000e+00
137      9.07599876e-01    5.00000000e+00    5.00547194e-04    3.79993797e-02
138      9.15199752e-01    5.00000000e+00    5.02336953e-04    7.59987594e-02
139      9.30399504e-01    5.00000000e+00    5.09516949e-04    1.51997519e-01
140      9.60799008e-01    5.00000000e+00    5.38911725e-04    3.03995038e-01
141      1.00000000e+00    5.00000000e+00    6.10825199e-04    5.00000000e-01
142      1.00607990e+00    5.00000000e+00    6.10825199e-04    5.00000000e-01
143      1.01823970e+00    5.00000000e+00    6.10825199e-04    5.00000000e-01
144      1.04255931e+00    5.00000000e+00    6.10825199e-04    5.00000000e-01
145      1.09119851e+00    5.00000000e+00    6.10825199e-04    5.00000000e-01
146      1.10000000e+00    5.00000000e+00    6.10825199e-04    5.00000000e-01
147      1.10880149e+00    5.00000000e+00    5.90877774e-04    4.55992557e-01
148      1.11760298e+00    5.00000000e+00    5.73251747e-04    4.11985113e-01
149      1.13520595e+00    5.00000000e+00    5.44366091e-04    3.23970227e-01
150      1.17041191e+00    5.00000000e+00    5.09011011e-04    1.47940453e-01
151      1.20000000e+00    5.00000000e+00    4.99950005e-04   -3.70358511e-17
152      1.20704119e+00    5.00000000e+00    4.99950005e-04    0.00000000e+00
153      1.22112357e+00    5.00000000e+00    4.99950005e-04    0.00000000e+00
154      1.24928834e+00    5.00000000e+00    4.99950005e-04    0.00000000e+00
155      1.30000000e+00    5.00000000e+00    4.99950005e-04    0.00000000e+00
End of Xyce(TM) Simulation
