Index        TIME            I(VMON)           V(3)
200     1.80117848e-05   -1.33250412e+00  1.33250412e+00   
201     1.81520594e-05   -1.28069888e+00  1.28069888e+00   
202     1.82923340e-05   -1.23090762e+00  1.23090762e+00   
203     1.84326086e-05   -1.18305211e+00  1.18305211e+00   
204     1.85728832e-05   -1.13705712e+00  1.13705712e+00   
205     1.87131578e-05   -1.09285033e+00  1.09285033e+00   
206     1.88534323e-05   -1.05036223e+00  1.05036223e+00   
207     1.89937069e-05   -1.00952599e+00  1.00952599e+00   
208     1.91339815e-05   -9.70277384e-01  9.70277384e-01   
209     1.92742561e-05   -9.32554699e-01  9.32554699e-01   
210     1.94145307e-05   -8.96298606e-01  8.96298606e-01   
211     1.95548053e-05   -8.61452087e-01  8.61452087e-01   
212     1.96950799e-05   -8.27960339e-01  8.27960339e-01   
213     1.98353545e-05   -7.95770691e-01  7.95770691e-01   
214     1.99756290e-05   -7.64832521e-01  7.64832521e-01   
215     2.01159036e-05   -7.35097173e-01  7.35097173e-01   
216     2.02561782e-05   -7.06517882e-01  7.06517882e-01   
217     2.03964528e-05   -6.79049705e-01  6.79049705e-01   
218     2.05367274e-05   -6.52649442e-01  6.52649442e-01   
219     2.06770020e-05   -6.27275575e-01  6.27275575e-01   
220     2.08172766e-05   -6.02888200e-01  6.02888200e-01   
221     2.09575512e-05   -5.79448963e-01  5.79448963e-01   
222     2.10978257e-05   -5.56921002e-01  5.56921002e-01   
223     2.12381003e-05   -5.35268890e-01  5.35268890e-01   
224     2.13783749e-05   -5.14458573e-01  5.14458573e-01   
225     2.15186495e-05   -4.94457325e-01  4.94457325e-01   
226     2.16589241e-05   -4.75233690e-01  4.75233690e-01   
227     2.17991987e-05   -4.56757437e-01  4.56757437e-01   
228     2.19394733e-05   -4.38999508e-01  4.38999508e-01   
229     2.20797479e-05   -4.21931977e-01  4.21931977e-01   
230     2.22200224e-05   -4.05528000e-01  4.05528000e-01   
231     2.23602970e-05   -3.89761782e-01  3.89761782e-01   
232     2.25005716e-05   -3.74608527e-01  3.74608527e-01   
233     2.26408462e-05   -3.60044404e-01  3.60044404e-01   
234     2.27811208e-05   -3.46046508e-01  3.46046508e-01   
235     2.29213954e-05   -3.32592826e-01  3.32592826e-01   
236     2.30616700e-05   -3.19662200e-01  3.19662200e-01   
237     2.32019446e-05   -3.07234294e-01  3.07234294e-01   
238     2.33422192e-05   -2.95289563e-01  2.95289563e-01   
239     2.34824937e-05   -2.83809222e-01  2.83809222e-01   
240     2.36227683e-05   -2.72775216e-01  2.72775216e-01   
241     2.37630429e-05   -2.62170194e-01  2.62170194e-01   
242     2.39033175e-05   -2.51977476e-01  2.51977476e-01   
243     2.40435921e-05   -2.42181033e-01  2.42181033e-01   
244     2.41838667e-05   -2.32765459e-01  2.32765459e-01   
245     2.43241413e-05   -2.23715946e-01  2.23715946e-01   
246     2.44644159e-05   -2.15018262e-01  2.15018262e-01   
247     2.46046904e-05   -2.06658728e-01  2.06658728e-01   
248     2.47449650e-05   -1.98624199e-01  1.98624199e-01   
249     2.48852396e-05   -1.90902038e-01  1.90902038e-01   
250     2.50255142e-05   -1.83480101e-01  1.83480101e-01   
251     2.51657888e-05   -1.76346717e-01  1.76346717e-01   
252     2.53060634e-05   -1.69490665e-01  1.69490665e-01   
253     2.54463380e-05   -1.62901165e-01  1.62901165e-01   
254     2.55866126e-05   -1.56567853e-01  1.56567853e-01   
255     2.57268871e-05   -1.50480769e-01  1.50480769e-01   
