Index       TIME            {1/I(R1)}           I(V2)      
63       9.45000000e-03    3.11014896e+02    3.21528008e-03
64       9.60000000e-03    2.68409794e+02    3.72564647e-03
65       9.75000000e-03    2.30200854e+02    4.34403254e-03
66       9.90000000e-03    1.95795678e+02    5.10736503e-03
67       1.00500000e-02    1.65230937e+02    6.05213539e-03
68       1.02000000e-02    1.38946762e+02    7.19700112e-03
69       1.03500000e-02    1.15882464e+02    8.62943338e-03
70       1.05000000e-02    9.62349331e+01    1.03912370e-02
71       1.06500000e-02    7.96306128e+01    1.25579845e-02
72       1.08000000e-02    6.56443476e+01    1.52336041e-02
73       1.09500000e-02    5.41104127e+01    1.84807313e-02
74       1.11000000e-02    4.46566225e+01    2.23930952e-02
75       1.12500000e-02    3.69787816e+01    2.70425351e-02
76       1.14000000e-02    3.08137787e+01    3.24530143e-02
77       1.15500000e-02    2.59136306e+01    3.85897297e-02
78       1.17000000e-02    2.20579587e+01    4.53351108e-02
79       1.18500000e-02    1.90544165e+01    5.24812711e-02
80       1.20000000e-02    1.67379836e+01    5.97443530e-02
81       1.21500000e-02    1.49721161e+01    6.67908257e-02
82       1.23000000e-02    1.36326892e+01    7.33530989e-02
83       1.24500000e-02    1.26317588e+01    7.91655396e-02
84       1.26000000e-02    1.18899176e+01    8.41048721e-02
85       1.27500000e-02    1.13448167e+01    8.81459815e-02
86       1.29000000e-02    1.09480845e+01    9.13401795e-02
87       1.30500000e-02    1.06621238e+01    9.37899445e-02
88       1.32000000e-02    1.04585079e+01    9.56159343e-02
89       1.33500000e-02    1.03148948e+01    9.69471834e-02
90       1.35000000e-02    1.02142575e+01    9.79023686e-02
91       1.36500000e-02    1.01444153e+01    9.85764059e-02
92       1.38000000e-02    1.00964167e+01    9.90450404e-02
93       1.39500000e-02    1.00642654e+01    9.93614495e-02
94       1.41000000e-02    1.00419339e+01    9.95824125e-02
95       1.42500000e-02    1.00274103e+01    9.97266465e-02
96       1.44000000e-02    1.00176465e+01    9.98238458e-02
97       1.45500000e-02    1.00116067e+01    9.98840680e-02
98       1.47000000e-02    1.00074115e+01    9.99259401e-02
99       1.48500000e-02    1.00050856e+01    9.99491700e-02
100      1.50000000e-02    1.00027608e+01    9.99723999e-02
End of Xyce(TM) Simulation
