      TIME              V(1)              V(2)               VV1               VV2            {VV1-VV2}          DIFWIN             DIFTD        EQNRETURNNEGONE   EQNRETURNNEG100 
   0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.20000000e+01   -1.10000000e+01   -1.10000000e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.00000000e-10    6.28318531e-07    0.00000000e+00    1.00000063e+00    1.20000000e+01   -1.09999994e+01   -1.09999994e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.00000000e-10    1.88495559e-06    0.00000000e+00    1.00000188e+00    1.20000000e+01   -1.09999981e+01   -1.09999981e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   7.00000000e-10    4.39822972e-06    0.00000000e+00    1.00000440e+00    1.20000000e+01   -1.09999956e+01   -1.09999956e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.50000000e-09    9.42477796e-06    0.00000000e+00    1.00000942e+00    1.20000000e+01   -1.09999906e+01   -1.09999906e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.10000000e-09    1.94778745e-05    0.00000000e+00    1.00001948e+00    1.20000000e+01   -1.09999805e+01   -1.09999805e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   6.30000000e-09    3.95840674e-05    0.00000000e+00    1.00003958e+00    1.20000000e+01   -1.09999604e+01   -1.09999604e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.27000000e-08    7.97964533e-05    0.00000000e+00    1.00007980e+00    1.20000000e+01   -1.09999202e+01   -1.09999202e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.55000000e-08    1.60221225e-04    0.00000000e+00    1.00016022e+00    1.20000000e+01   -1.09998398e+01   -1.09998398e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   5.11000000e-08    3.21070764e-04    0.00000000e+00    1.00032107e+00    1.20000000e+01   -1.09996789e+01   -1.09996789e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
