Index       FREQ              VR(4)             VI(4)           IM(EAMP)     
0        1.00000000e+02    4.99999994e-01   -5.49464548e-05    4.99513229e-07
1        1.46779927e+02    4.99999987e-01   -8.06503651e-05    7.33185146e-07
2        2.15443469e+02    4.99999972e-01   -1.18378543e-04    1.07616860e-06
3        3.16227766e+02    4.99999940e-01   -1.73755928e-04    1.57959944e-06
4        4.64158883e+02    4.99999870e-01   -2.55038788e-04    2.31853474e-06
5        6.81292069e+02    4.99999720e-01   -3.74345634e-04    3.40314308e-06
6        1.00000000e+03    4.99999396e-01   -5.49463892e-04    4.99512930e-06
7        1.46779927e+03    4.99998699e-01   -8.06501573e-04    7.33184202e-06
8        2.15443469e+03    4.99997197e-01   -1.18377886e-03    1.07616562e-05
9        3.16227766e+03    4.99993962e-01   -1.73753850e-03    1.57959000e-05
10       4.64158883e+03    4.99986991e-01   -2.55032219e-03    2.31850488e-05
11       6.81292069e+03    4.99971975e-01   -3.74324861e-03    3.40304866e-05
12       1.00000000e+04    4.99939625e-01   -5.49398207e-03    4.99483073e-05
13       1.46779927e+04    4.99869944e-01   -8.06293891e-03    7.33089795e-05
14       2.15443469e+04    4.99719887e-01   -1.18312231e-02    1.07586714e-04
15       3.16227766e+04    4.99396906e-01   -1.73546366e-02    1.57864660e-04
16       4.64158883e+04    4.98702480e-01   -2.54377018e-02    2.31552474e-04
17       6.81292069e+04    4.97212926e-01   -3.72259185e-02    3.39364597e-04
18       1.00000000e+05    4.94033824e-01   -5.42908151e-02    4.96524105e-04
19       1.46779927e+05    4.87320920e-01   -7.86052222e-02    7.23829350e-04
20       2.15443469e+05    4.73460671e-01   -1.12095175e-01    1.04721845e-03
21       3.16227766e+05    4.46124044e-01   -1.55033413e-01    1.49207210e-03
22       4.64158883e+05    3.96768946e-01   -2.02382995e-01    2.06536826e-03
23       6.81292069e+05    3.20402068e-01   -2.39882365e-01    2.72422506e-03
24       1.00000000e+06    2.26485670e-01   -2.48891696e-01    3.36188118e-03
End of Xyce(TM) Simulation
