Index       FREQ          {LOG(ONOISE)}     {LOG(INOISE)}   {LOG(DNO(RLP1))}   {LOG(DNO(R2))}    {LOG(DNO(R1))}   {LOG(DNI(RLP1))}   {LOG(DNI(R2))}    {LOG(DNI(R1))}  
12       2.51188643e+04   -1.50809624e+01   -1.44786290e+01   -1.77808001e+01   -1.53828601e+01   -1.53828601e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
13       3.98107171e+04   -1.50813754e+01   -1.44786290e+01   -1.77812131e+01   -1.53832731e+01   -1.53832731e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
14       6.30957344e+04   -1.50824111e+01   -1.44786290e+01   -1.77822489e+01   -1.53843088e+01   -1.53843088e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
15       1.00000000e+05   -1.50850020e+01   -1.44786290e+01   -1.77848397e+01   -1.53868997e+01   -1.53868997e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
16       1.58489319e+05   -1.50914425e+01   -1.44786290e+01   -1.77912802e+01   -1.53933402e+01   -1.53933402e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
17       2.51188643e+05   -1.51072112e+01   -1.44786290e+01   -1.78070489e+01   -1.54091089e+01   -1.54091089e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
18       3.98107171e+05   -1.51444653e+01   -1.44786290e+01   -1.78443031e+01   -1.54463631e+01   -1.54463631e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
19       6.30957344e+05   -1.52259887e+01   -1.44786290e+01   -1.79258264e+01   -1.55278864e+01   -1.55278864e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
20       1.00000000e+06   -1.53812962e+01   -1.44786290e+01   -1.80811339e+01   -1.56831939e+01   -1.56831939e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
21       1.58489319e+06   -1.56256245e+01   -1.44786290e+01   -1.83254622e+01   -1.59275222e+01   -1.59275222e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
22       2.51188643e+06   -1.59438508e+01   -1.44786290e+01   -1.86436885e+01   -1.62457485e+01   -1.62457485e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
23       3.98107171e+06   -1.63064656e+01   -1.44786290e+01   -1.90063033e+01   -1.66083633e+01   -1.66083633e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
24       6.30957344e+06   -1.66906379e+01   -1.44786290e+01   -1.93904756e+01   -1.69925356e+01   -1.69925356e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
25       1.00000000e+07   -1.70841727e+01   -1.44786290e+01   -1.97840104e+01   -1.73860704e+01   -1.73860704e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
26       1.58489319e+07   -1.74815718e+01   -1.44786290e+01   -2.01814096e+01   -1.77834695e+01   -1.77834695e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
27       2.51188643e+07   -1.78805320e+01   -1.44786290e+01   -2.05803698e+01   -1.81824298e+01   -1.81824298e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
28       3.98107171e+07   -1.82801174e+01   -1.44786290e+01   -2.09799551e+01   -1.85820151e+01   -1.85820151e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
29       6.30957344e+07   -1.86799522e+01   -1.44786290e+01   -2.13797900e+01   -1.89818499e+01   -1.89818499e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
30       1.00000000e+08   -1.90798865e+01   -1.44786290e+01   -2.17797242e+01   -1.93817842e+01   -1.93817842e+01   -1.71784667e+01   -1.47805267e+01   -1.47805267e+01
End of Xyce(TM) Simulation
