Index        V(3)             V(4)             V(2)            I(VID)
0       0.00000000e+00   5.00000000e+00   0.00000000e+00   9.93964741e-29   
1       5.00000000e+00   5.00000000e+00   0.00000000e+00   2.55722609e+00   
2       1.00000000e+01   5.00000000e+00   0.00000000e+00   2.55723587e+00   
3       1.50000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
4       2.00000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
5       2.50000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
6       3.00000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
7       3.50000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
8       4.00000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
9       4.50000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
10      5.00000000e+01   5.00000000e+00   0.00000000e+00   2.55723585e+00   
11      0.00000000e+00   1.00000000e+01   0.00000000e+00   1.37266909e-15   
12      5.00000000e+00   1.00000000e+01   0.00000000e+00   2.40775415e+01   
13      1.00000000e+01   1.00000000e+01   0.00000000e+00   3.28982267e+01   
14      1.50000000e+01   1.00000000e+01   0.00000000e+00   3.36225630e+01   
15      2.00000000e+01   1.00000000e+01   0.00000000e+00   3.36347419e+01   
16      2.50000000e+01   1.00000000e+01   0.00000000e+00   3.36349163e+01   
17      3.00000000e+01   1.00000000e+01   0.00000000e+00   3.36349184e+01   
18      3.50000000e+01   1.00000000e+01   0.00000000e+00   3.36349186e+01   
19      4.00000000e+01   1.00000000e+01   0.00000000e+00   3.36349186e+01   
20      4.50000000e+01   1.00000000e+01   0.00000000e+00   3.36349186e+01   
21      5.00000000e+01   1.00000000e+01   0.00000000e+00   3.36349186e+01   
22      0.00000000e+00   1.50000000e+01   0.00000000e+00   1.89566677e-14   
23      5.00000000e+00   1.50000000e+01   0.00000000e+00   2.85424255e+01   
24      1.00000000e+01   1.50000000e+01   0.00000000e+00   4.29693497e+01   
25      1.50000000e+01   1.50000000e+01   0.00000000e+00   5.11278387e+01   
26      2.00000000e+01   1.50000000e+01   0.00000000e+00   5.62524580e+01   
27      2.50000000e+01   1.50000000e+01   0.00000000e+00   5.97330635e+01   
28      3.00000000e+01   1.50000000e+01   0.00000000e+00   6.22373818e+01   
29      3.50000000e+01   1.50000000e+01   0.00000000e+00   6.41194800e+01   
30      4.00000000e+01   1.50000000e+01   0.00000000e+00   6.55825907e+01   
31      4.50000000e+01   1.50000000e+01   0.00000000e+00   6.67509846e+01   
32      5.00000000e+01   1.50000000e+01   0.00000000e+00   6.77046293e+01   
End of Xyce(TM) Simulation
