Index      V(BASE)           V(COLL)          I(V_COLL)         I(V_BASE)    
21       9.60000000e-01    1.50000000e+00    4.09263814e-02    2.50308292e-03
22       9.70000000e-01    1.50000000e+00    4.38796589e-02    3.33587103e-03
23       9.80000000e-01    1.50000000e+00    4.65575354e-02    4.30822667e-03
24       9.90000000e-01    1.50000000e+00    4.89779518e-02    5.41114490e-03
25       1.00000000e+00    1.50000000e+00    5.11664847e-02    6.63382456e-03
26       1.01000000e+00    1.50000000e+00    5.31506102e-02    7.96506584e-03
27       1.02000000e+00    1.50000000e+00    5.49566081e-02    9.39407006e-03
28       1.03000000e+00    1.50000000e+00    5.66081907e-02    1.09108358e-02
29       1.04000000e+00    1.50000000e+00    5.81260998e-02    1.25063145e-02
30       1.05000000e+00    1.50000000e+00    5.95281861e-02    1.41724328e-02
End of Xyce(TM) Parameter Sweep
