Index      V(BASE)           V(COLL)          I(V_COLL)         I(V_BASE)    
7        4.40000000e-01    1.50000000e+00    1.88312657e-09    3.04362595e-10
8        4.60000000e-01    1.50000000e+00    4.02302769e-09    4.63186817e-10
9        4.80000000e-01    1.50000000e+00    8.59116600e-09    7.05301816e-10
10       5.00000000e-01    1.50000000e+00    1.83330020e-08    1.07514930e-09
11       5.20000000e-01    1.50000000e+00    3.90832994e-08    1.64182875e-09
12       5.40000000e-01    1.50000000e+00    8.32196812e-08    2.51394438e-09
13       5.60000000e-01    1.50000000e+00    1.76941472e-07    3.86474776e-09
14       5.80000000e-01    1.50000000e+00    3.75554739e-07    5.97613513e-09
15       6.00000000e-01    1.50000000e+00    7.95432521e-07    9.31841938e-09
16       6.20000000e-01    1.50000000e+00    1.68057506e-06    1.47001356e-08
17       6.40000000e-01    1.50000000e+00    3.54082417e-06    2.35585095e-08
18       6.60000000e-01    1.50000000e+00    7.43438532e-06    3.85420640e-08
19       6.80000000e-01    1.50000000e+00    1.55585875e-05    6.46917494e-08
20       7.00000000e-01    1.50000000e+00    3.24517734e-05    1.11915705e-07
21       7.20000000e-01    1.50000000e+00    6.75155788e-05    2.00206191e-07
22       7.40000000e-01    1.50000000e+00    1.40251081e-04    3.70963473e-07
23       7.60000000e-01    1.50000000e+00    2.90795786e-04    7.12530276e-07
24       7.80000000e-01    1.50000000e+00    5.99718762e-04    1.42080067e-06
25       8.00000000e-01    1.50000000e+00    1.22019265e-03    2.95222093e-06
26       8.20000000e-01    1.50000000e+00    2.41387114e-03    6.43287239e-06
27       8.40000000e-01    1.50000000e+00    4.54960083e-03    1.47830116e-05
28       8.60000000e-01    1.50000000e+00    8.00616612e-03    3.57742102e-05
29       8.80000000e-01    1.50000000e+00    1.29972473e-02    8.99780143e-05
30       9.00000000e-01    1.50000000e+00    1.94212743e-02    2.29037600e-04
31       9.20000000e-01    1.50000000e+00    2.67764224e-02    5.64381470e-04
32       9.40000000e-01    1.50000000e+00    3.42149739e-02    1.27026170e-03
33       9.60000000e-01    1.50000000e+00    4.09263818e-02    2.50308278e-03
34       9.80000000e-01    1.50000000e+00    4.65575366e-02    4.30822633e-03
35       1.00000000e+00    1.50000000e+00    5.11664856e-02    6.63382430e-03
36       1.02000000e+00    1.50000000e+00    5.49566086e-02    9.39406993e-03
37       1.04000000e+00    1.50000000e+00    5.81261000e-02    1.25063144e-02
End of Xyce(TM) Parameter Sweep
