Index       TIME              V(1)       
0        0.00000000e+00    1.00003727e-01
1        1.25000000e-06    1.00003727e-01
2        3.75000000e-06    1.00003727e-01
3        8.75000000e-06    1.00003728e-01
4        1.87500000e-05    1.00003730e-01
5        3.87500000e-05    1.00003734e-01
6        7.87500000e-05    1.00003741e-01
7        1.58750000e-04    1.00003756e-01
8        2.50000000e-04    1.00003774e-01
9        2.66000000e-04    1.00003777e-01
10       2.98000000e-04    1.00003783e-01
11       3.62000000e-04    1.00003795e-01
12       4.90000000e-04    1.00003819e-01
13       5.00000000e-04    1.00003821e-01
14       5.10000000e-04    1.00003823e-01
15       5.30000000e-04    1.00003827e-01
16       5.70000000e-04    1.00003834e-01
17       6.50000000e-04    1.00003850e-01
18       7.50000000e-04    1.00003869e-01
19       7.66000000e-04    1.00003872e-01
20       7.98000000e-04    1.00003879e-01
21       8.62000000e-04    1.00003891e-01
22       9.90000000e-04    1.00003916e-01
23       1.00000000e-03    1.00003918e-01
24       1.01000000e-03    1.00003920e-01
25       1.03000000e-03    1.00003924e-01
26       1.07000000e-03    1.00003932e-01
27       1.15000000e-03    1.00003948e-01
28       1.25000000e-03    1.00003968e-01
29       1.26600000e-03    1.00003971e-01
30       1.29800000e-03    1.00003977e-01
31       1.36200000e-03    1.00003990e-01
32       1.49000000e-03    1.00004016e-01
33       1.50000000e-03    1.00004018e-01
34       1.51000000e-03    1.00004020e-01
35       1.53000000e-03    1.00004024e-01
36       1.57000000e-03    1.00004032e-01
37       1.65000000e-03    1.00004048e-01
38       1.75000000e-03    1.00004068e-01
39       1.76600000e-03    1.00004071e-01
40       1.79800000e-03    1.00004078e-01
41       1.86200000e-03    1.00004090e-01
42       1.99000000e-03    1.00004116e-01
43       2.00000000e-03    1.00004118e-01
44       2.01000000e-03    1.00004120e-01
45       2.03000000e-03    1.00004125e-01
46       2.07000000e-03    1.00004133e-01
47       2.15000000e-03    1.00004150e-01
48       2.25000000e-03    1.00004171e-01
49       2.26600000e-03    1.00004174e-01
50       2.29800000e-03    1.00004181e-01
51       2.36200000e-03    1.00004195e-01
52       2.49000000e-03    1.00004223e-01
53       2.50000000e-03    1.00004225e-01
54       2.51000000e-03    1.00004227e-01
55       2.53000000e-03    1.00004232e-01
56       2.57000000e-03    1.00004240e-01
57       2.65000000e-03    1.00004258e-01
58       2.75000000e-03    1.00004279e-01
59       2.76600000e-03    1.00004283e-01
60       2.79800000e-03    1.00004290e-01
61       2.86200000e-03    1.00004303e-01
62       2.99000000e-03    1.00004331e-01
63       3.00000000e-03    1.00004333e-01
64       3.01000000e-03    1.00004336e-01
65       3.03000000e-03    1.00004340e-01
66       3.07000000e-03    1.00004349e-01
67       3.15000000e-03    1.00004366e-01
68       3.25000000e-03    1.00004388e-01
69       3.26600000e-03    1.00004391e-01
70       3.29800000e-03    1.00004398e-01
71       3.36200000e-03    1.00004412e-01
72       3.49000000e-03    1.00004440e-01
73       3.50000000e-03    1.00004442e-01
74       3.51000000e-03    1.00004444e-01
75       3.53000001e-03    1.00004448e-01
76       3.57000003e-03    1.00004457e-01
77       3.65000007e-03    1.00004474e-01
78       3.75000000e-03    1.00004496e-01
79       3.76600001e-03    1.00004499e-01
80       3.79800002e-03    1.00004506e-01
81       3.86200006e-03    1.00004520e-01
82       3.99000012e-03    1.00004548e-01
