Index       TIME            V(OUT25)          V(OUT50)     
95       9.41432394e-10    4.89123351e-02    7.80255272e-01
96       9.45624701e-10    4.53128041e-02    7.84231948e-01
97       9.49817007e-10    4.22361356e-02    7.88216067e-01
98       9.54009313e-10    3.96061763e-02    7.92215632e-01
99       9.58201619e-10    3.73574700e-02    7.96252160e-01
100      9.62393926e-10    3.54338314e-02    8.00380522e-01
101      9.66586232e-10    3.37870876e-02    8.04734073e-01
102      9.70778538e-10    3.23759945e-02    8.09620580e-01
103      9.74970844e-10    3.11652800e-02    8.15708824e-01
104      9.79163151e-10    3.01248225e-02    8.24346178e-01
105      9.83355457e-10    2.92289254e-02    8.37985293e-01
106      9.87547763e-10    2.84556973e-02    8.60498568e-01
107      9.91740069e-10    2.77865054e-02    8.96890051e-01
108      9.95513145e-10    2.72602188e-02    9.46097479e-01
109      9.99286221e-10    2.67954086e-02    1.01848491e+00
110      1.00000000e-09    2.67137888e-02    1.03658844e+00
111      1.00037731e-09    2.63166173e-02    1.04678839e+00
112      1.00075462e-09    2.59238031e-02    1.05761302e+00
113      1.00150923e-09    2.51470456e-02    1.08089646e+00
114      1.00301846e-09    2.36474914e-02    1.13192865e+00
115      1.00603692e-09    2.08677892e-02    1.22430495e+00
116      1.00905538e-09    1.83774732e-02    1.28572196e+00
117      1.01207384e-09    1.61629001e-02    1.32672382e+00
118      1.01811076e-09    1.24624602e-02    1.38099093e+00
119      1.02414768e-09    9.59369827e-03    1.41526151e+00
120      1.03018461e-09    7.38258082e-03    1.43852185e+00
121      1.03622153e-09    5.68235014e-03    1.45481637e+00
122      1.04225845e-09    4.37612756e-03    1.46621042e+00
123      1.05433229e-09    2.57850332e-03    1.48033945e+00
124      1.06640613e-09    1.52817407e-03    1.48782536e+00
125      1.07847997e-09    9.13710246e-04    1.49221827e+00
126      1.10262766e-09    3.16468618e-04    1.49682215e+00
127      1.12677534e-09    1.26531531e-04    1.49862083e+00
128      1.15092303e-09    6.40567891e-05    1.49936463e+00
129      1.19921839e-09    2.97819313e-05    1.49987328e+00
130      1.24751376e-09    2.52975100e-05    1.49995030e+00
131      1.34410450e-09    1.90102188e-05    1.49998970e+00
132      1.44069523e-09    1.53835624e-05    1.50002837e+00
133      1.53728597e-09    1.29713518e-05    1.49995740e+00
134      1.63387671e-09    1.12628349e-05    1.49997504e+00
135      1.73046744e-09    9.98066797e-06    1.49997093e+00
136      1.82705818e-09    8.98406505e-06    1.49998602e+00
137      2.02023965e-09    7.52690404e-06    1.49998965e+00
138      2.21342112e-09    6.51603145e-06    1.50000057e+00
139      2.59978407e-09    5.19934593e-06    1.50000641e+00
140      2.69944403e-09    4.95872158e-06    1.50000877e+00
141      2.75055067e-09    4.84592933e-06    1.50001159e+00
142      2.80165730e-09    4.73890034e-06    1.50001424e+00
143      2.85276394e-09    4.63625859e-06    1.50003340e+00
144      2.90387057e-09    4.53893436e-06    1.50005771e+00
145      2.95497721e-09    4.44655881e-06    1.50005428e+00
146      3.00608384e-09    4.35871112e-06    1.50001990e+00
147      3.00973735e-09    4.35259432e-06    1.50002430e+00
148      3.01704436e-09    4.34043262e-06    1.50003502e+00
149      3.02435137e-09    4.32835501e-06    1.50003905e+00
150      3.03165838e-09    4.31636123e-06    1.50003881e+00
151      3.03896539e-09    4.30445053e-06    1.50005358e+00
152      3.04627240e-09    4.29262209e-06    1.50011960e+00
153      3.05357940e-09    4.28087505e-06    1.50020937e+00
154      3.06088641e-09    4.26920857e-06    1.50023134e+00
155      3.06819342e-09    4.25762182e-06    1.50021587e+00
156      3.07550043e-09    4.24611399e-06    1.50018082e+00
157      3.08133665e-09    4.23697864e-06    1.50015013e+00
158      3.08717287e-09    4.22789271e-06    1.50012285e+00
159      3.09300909e-09    4.21885580e-06    1.50009218e+00
160      3.09884530e-09    4.20986752e-06    1.50005680e+00
161      3.09957827e-09    4.20874196e-06    1.50005461e+00
162      3.10031123e-09    4.20761732e-06    1.50005272e+00
163      3.10104419e-09    4.20649344e-06    1.50004948e+00
164      3.10251011e-09    4.20424795e-06    1.50003940e+00
165      3.10544195e-09    4.19976606e-06    1.50000952e+00
166      3.10837379e-09    4.19529622e-06    1.49997350e+00
167      3.11130563e-09    4.19083840e-06    1.49993851e+00
168      3.11231514e-09    4.18930593e-06    1.49992774e+00
169      3.11433417e-09    4.18624585e-06    1.49990923e+00
170      3.11635320e-09    4.18319142e-06    1.49989418e+00
171      3.11837223e-09    4.18014262e-06    1.49988045e+00
172      3.12241029e-09    4.17406187e-06    1.49985722e+00
173      3.12644835e-09    4.16800345e-06    1.49984061e+00
174      3.13048641e-09    4.16196725e-06    1.49982990e+00
175      3.13452446e-09    4.15595314e-06    1.49982346e+00
176      3.13856252e-09    4.14996101e-06    1.49982177e+00
177      3.14260058e-09    4.14399073e-06    1.49982236e+00
178      3.14663864e-09    4.13804218e-06    1.49982364e+00
179      3.15067670e-09    4.13211525e-06    1.49982565e+00
180      3.15471476e-09    4.12620982e-06    1.49982726e+00
181      3.15834901e-09    4.12091322e-06    1.49982925e+00
182      3.16137131e-09    4.11652163e-06    1.49982953e+00
183      3.16439362e-09    4.11214187e-06    1.49982993e+00
184      3.17043822e-09    4.10341782e-06    1.49983279e+00
185      3.17148444e-09    4.10191233e-06    1.49983366e+00
186      3.17253065e-09    4.10040856e-06    1.49983456e+00
187      3.17462307e-09    4.09740521e-06    1.49983638e+00
188      3.17880792e-09    4.09141527e-06    1.49984013e+00
189      3.18299276e-09    4.08544756e-06    1.49984416e+00
190      3.18717761e-09    4.07950196e-06    1.49984849e+00
191      3.19136245e-09    4.07357832e-06    1.49985307e+00
192      3.19554730e-09    4.06767656e-06    1.49985797e+00
193      3.19973214e-09    4.06179657e-06    1.49986307e+00
194      3.20391699e-09    4.05593817e-06    1.49986833e+00
195      3.20810183e-09    4.05010127e-06    1.49987378e+00
196      3.21228668e-09    4.04428565e-06    1.49987933e+00
197      3.21594188e-09    4.03922376e-06    1.49988429e+00
198      3.21916138e-09    4.03477873e-06    1.49988862e+00
199      3.22238088e-09    4.03034548e-06    1.49989302e+00
200      3.22881988e-09    4.02151687e-06    1.49990185e+00
201      3.23461498e-09    4.01361387e-06    1.49990963e+00
202      3.23960123e-09    4.00684522e-06    1.49991603e+00
203      3.24458749e-09    4.00010593e-06    1.49992217e+00
204      3.24957374e-09    3.99339504e-06    1.49992801e+00
205      3.25455999e-09    3.98671320e-06    1.49993353e+00
206      3.25954624e-09    3.98006046e-06    1.49993872e+00
207      3.26453249e-09    3.97343614e-06    1.49994357e+00
208      3.26951874e-09    3.96683648e-06    1.49994808e+00
209      3.27357843e-09    3.96149012e-06    1.49995152e+00
210      3.27702980e-09    3.95696199e-06    1.49995427e+00
211      3.28048117e-09    3.95243378e-06    1.49995687e+00
212      3.28738391e-09    3.94342768e-06    1.49996165e+00
213      3.29287374e-09    3.93631165e-06    1.49996507e+00
214      3.29836357e-09    3.92922569e-06    1.49996816e+00
215      3.30385339e-09    3.92217345e-06    1.49997097e+00
216      3.30879424e-09    3.91583893e-06    1.49997326e+00
217      3.31373508e-09    3.90955029e-06    1.49997536e+00
218      3.31867593e-09    3.90328860e-06    1.49997727e+00
219      3.32361677e-09    3.89703069e-06    1.49997902e+00
220      3.32434324e-09    3.89609417e-06    1.49997926e+00
221      3.32506970e-09    3.89515156e-06    1.49997950e+00
222      3.32652264e-09    3.89328710e-06    1.49997997e+00
223      3.32797557e-09    3.89150278e-06    1.49998043e+00
224      3.32942850e-09    3.88976390e-06    1.49998088e+00
225      3.33233437e-09    3.88621556e-06    1.49998173e+00
226      3.33524024e-09    3.88253736e-06    1.49998254e+00
227      3.34105197e-09    3.87512495e-06    1.49998404e+00
228      3.34686370e-09    3.86793974e-06    1.49998538e+00
229      3.35154497e-09    3.86213018e-06    1.49998637e+00
230      3.35622623e-09    3.85649567e-06    1.49998727e+00
231      3.36090750e-09    3.85085582e-06    1.49998811e+00
232      3.36512064e-09    3.84544505e-06    1.49998880e+00
233      3.36933378e-09    3.84041470e-06    1.49998944e+00
234      3.37354692e-09    3.83541133e-06    1.49999003e+00
235      3.37776006e-09    3.83066087e-06    1.49999059e+00
236      3.38197320e-09    3.82428105e-06    1.49999110e+00
237      3.38576503e-09    3.81903533e-06    1.49999154e+00
238      3.38888326e-09    3.81901343e-06    1.49999187e+00
239      3.39200149e-09    3.81615726e-06    1.49999219e+00
240      3.39823794e-09    3.80582915e-06    1.49999278e+00
241      3.39932690e-09    3.80443129e-06    1.49999288e+00
