Index       TIME             V(GATE)           V(OUT)      
95       3.72010874e-10    8.39673784e-01   -1.40109509e-01
96       3.73685467e-10    7.89435981e-01   -1.37376760e-01
97       3.75360061e-10    7.39198177e-01   -1.28126488e-01
98       3.77034654e-10    6.88960373e-01   -1.10870187e-01
99       3.78709248e-10    6.38722569e-01   -8.40083845e-02
100      3.80383841e-10    5.88484765e-01   -4.48211519e-02
101      3.80663553e-10    5.80093408e-01   -3.64910387e-02
102      3.80943265e-10    5.71702051e-01   -2.76979681e-02
103      3.81502689e-10    5.54919338e-01   -7.56307885e-03
104      3.82062113e-10    5.38136624e-01    2.16756187e-02
105      3.82125169e-10    5.36244941e-01    2.72408898e-02
106      3.82188225e-10    5.34353258e-01    3.36756696e-02
107      3.82314337e-10    5.30569891e-01    4.95426819e-02
108      3.82440449e-10    5.26786525e-01    6.91511091e-02
109      3.82566561e-10    5.23003159e-01    9.13835601e-02
110      3.82818786e-10    5.15436426e-01    1.39822267e-01
111      3.83071010e-10    5.07869693e-01    1.90640351e-01
112      3.83575459e-10    4.92736227e-01    2.95291165e-01
113      3.84079908e-10    4.77602762e-01    4.02187824e-01
114      3.85088806e-10    4.47335831e-01    6.21568771e-01
115      3.86097703e-10    4.17068900e-01    8.46814477e-01
116      3.86710676e-10    3.98679707e-01    9.77062774e-01
117      3.86930251e-10    3.92092455e-01    1.01919363e+00
118      3.87149827e-10    3.85505203e-01    1.05748482e+00
119      3.87369402e-10    3.78917951e-01    1.09068866e+00
120      3.87588977e-10    3.72330699e-01    1.11854815e+00
121      3.87808552e-10    3.65743447e-01    1.14148070e+00
122      3.88028127e-10    3.59156195e-01    1.16029494e+00
123      3.88247702e-10    3.52568943e-01    1.17586023e+00
124      3.88467277e-10    3.45981691e-01    1.18892493e+00
125      3.88906427e-10    3.32807186e-01    1.20974282e+00
126      3.89784727e-10    3.06458178e-01    1.23884320e+00
127      3.90663028e-10    2.80109170e-01    1.25914393e+00
128      3.91541328e-10    2.53760162e-01    1.27478321e+00
129      3.93297928e-10    2.01062145e-01    1.29843865e+00
130      3.95054529e-10    1.48364129e-01    1.31624215e+00
131      3.96811130e-10    9.56661121e-02    1.33054781e+00
132      4.00000000e-10    6.66133815e-16    1.35085719e+00
133      4.00227267e-10    0.00000000e+00    1.35512883e+00
134      4.00429330e-10    0.00000000e+00    1.35881175e+00
135      4.00631393e-10    0.00000000e+00    1.36243091e+00
136      4.01035519e-10    0.00000000e+00    1.36935286e+00
137      4.01843770e-10    0.00000000e+00    1.38204240e+00
138      4.03460274e-10    0.00000000e+00    1.40352894e+00
139      4.05076777e-10    0.00000000e+00    1.42078817e+00
140      4.06693280e-10    0.00000000e+00    1.43476567e+00
141      4.08309784e-10    0.00000000e+00    1.44615359e+00
142      4.11542790e-10    0.00000000e+00    1.46325878e+00
143      4.18008803e-10    0.00000000e+00    1.48316940e+00
144      4.24474816e-10    0.00000000e+00    1.49221173e+00
145      4.30940829e-10    0.00000000e+00    1.49637989e+00
146      4.43872856e-10    0.00000000e+00    1.49943163e+00
147      4.56804882e-10    0.00000000e+00    1.49991033e+00
148      4.82668934e-10    0.00000000e+00    1.50001679e+00
149      5.08532987e-10    0.00000000e+00    1.49999654e+00
150      5.58532987e-10    0.00000000e+00    1.50000156e+00
151      6.00000000e-10    0.00000000e+00    1.49999924e+00
End of Xyce(TM) Simulation
