Index        TIME        {V(2)+11000.0}     {V(3)+1.0}
90      1.81733619e-09   1.08468807e+03   1.13808780e+00   
91      1.82723821e-09   1.08539776e+03   1.13900272e+00   
92      1.83714023e-09   1.08611043e+03   1.13991958e+00   
93      1.84712115e-09   1.08683439e+03   1.14084743e+00   
94      1.85710208e-09   1.08756224e+03   1.14177782e+00   
95      1.86708300e-09   1.08829399e+03   1.14271075e+00   
96      1.87706392e-09   1.08902876e+03   1.14364566e+00   
97      1.88704484e-09   1.08976657e+03   1.14458256e+00   
98      1.89710664e-09   1.09051605e+03   1.14553077e+00   
99      1.90716843e-09   1.09126949e+03   1.14648156e+00   
100     1.91723022e-09   1.09202689e+03   1.14743494e+00   
101     1.92729202e-09   1.09278736e+03   1.14839033e+00   
102     1.93735381e-09   1.09355091e+03   1.14934773e+00   
103     1.94749847e-09   1.09432654e+03   1.15031681e+00   
104     1.95764314e-09   1.09510619e+03   1.15128850e+00   
105     1.96778780e-09   1.09588986e+03   1.15226283e+00   
106     1.97793247e-09   1.09667666e+03   1.15323920e+00   
107     1.98807713e-09   1.09746658e+03   1.15421761e+00   
108     1.99830670e-09   1.09826900e+03   1.15520805e+00   
109     2.00853626e-09   1.09907551e+03   1.15620116e+00   
110     2.01876583e-09   1.09988611e+03   1.15719695e+00   
111     2.02899540e-09   1.10069988e+03   1.15819480e+00   
112     2.03922496e-09   1.10151683e+03   1.15919474e+00   
113     2.04954150e-09   1.10234671e+03   1.16020708e+00   
114     2.05985803e-09   1.10318074e+03   1.16122214e+00   
115     2.07017456e-09   1.10401893e+03   1.16223991e+00   
116     2.08049109e-09   1.10486034e+03   1.16325979e+00   
117     2.09080762e-09   1.10570499e+03   1.16428178e+00   
118     2.10121321e-09   1.10656302e+03   1.16531656e+00   
119     2.11161880e-09   1.10742527e+03   1.16635411e+00   
120     2.12202439e-09   1.10829174e+03   1.16739441e+00   
121     2.13242998e-09   1.10916150e+03   1.16843686e+00   
122     2.14283557e-09   1.11003455e+03   1.16948145e+00   
123     2.15333234e-09   1.11092143e+03   1.17053924e+00   
124     2.16382911e-09   1.11181262e+03   1.17159983e+00   
125     2.17432588e-09   1.11270809e+03   1.17266322e+00   
126     2.18482265e-09   1.11360691e+03   1.17372880e+00   
127     2.19531942e-09   1.11450907e+03   1.17479656e+00   
128     2.20590953e-09   1.11542556e+03   1.17587793e+00   
129     2.21649963e-09   1.11634641e+03   1.17696214e+00   
130     2.22708974e-09   1.11727163e+03   1.17804921e+00   
131     2.23767985e-09   1.11820026e+03   1.17913850e+00   
132     2.24826995e-09   1.11913228e+03   1.18023001e+00   
133     2.25895558e-09   1.12007912e+03   1.18133555e+00   
134     2.26964121e-09   1.12103041e+03   1.18244399e+00   
