Index       TIME             V(GATE)           V(OUT)      
95       3.87270930e-10    3.81872086e-01   -1.36750863e-01
96       3.87556378e-10    3.73308674e-01   -1.01447003e-01
97       3.87813280e-10    3.65601604e-01   -5.83432721e-02
98       3.88070182e-10    3.57894534e-01   -1.00692387e-02
99       3.88583987e-10    3.42480394e-01    9.27241125e-02
100      3.89097792e-10    3.27066254e-01    2.01649962e-01
101      3.89611596e-10    3.11652114e-01    3.16492208e-01
102      3.90125401e-10    2.96237973e-01    4.37940449e-01
103      3.90639206e-10    2.80823833e-01    5.66595383e-01
104      3.91153010e-10    2.65409693e-01    7.01443030e-01
105      3.91666815e-10    2.49995553e-01    8.38314796e-01
106      3.92180620e-10    2.34581412e-01    9.65096438e-01
107      3.92257206e-10    2.32283814e-01    9.81811808e-01
108      3.92333793e-10    2.29986215e-01    9.97759625e-01
109      3.92486966e-10    2.25391017e-01    1.02695555e+00
110      3.92640139e-10    2.20795820e-01    1.05241727e+00
111      3.92793313e-10    2.16200622e-01    1.07428109e+00
112      3.92946486e-10    2.11605424e-01    1.09294097e+00
113      3.93099659e-10    2.07010227e-01    1.10889879e+00
114      3.93406006e-10    1.97819831e-01    1.13462720e+00
115      3.93712352e-10    1.88629436e-01    1.15454336e+00
116      3.94018699e-10    1.79439041e-01    1.17062096e+00
117      3.94631392e-10    1.61058250e-01    1.19562444e+00
118      3.95856778e-10    1.24296669e-01    1.23051429e+00
119      3.97082164e-10    8.75350885e-02    1.25540402e+00
120      3.98307550e-10    5.07735075e-02    1.27498835e+00
121      4.00000000e-10    6.66133815e-16    1.29672532e+00
122      4.00162191e-10    0.00000000e+00    1.30105208e+00
123      4.00306810e-10    0.00000000e+00    1.30481400e+00
124      4.00451429e-10    0.00000000e+00    1.30851853e+00
125      4.00740668e-10    0.00000000e+00    1.31566541e+00
126      4.01319145e-10    0.00000000e+00    1.32899552e+00
127      4.02476099e-10    0.00000000e+00    1.35235525e+00
128      4.03633053e-10    0.00000000e+00    1.37206347e+00
129      4.04790007e-10    0.00000000e+00    1.38883569e+00
130      4.05946961e-10    0.00000000e+00    1.40320101e+00
131      4.08260869e-10    0.00000000e+00    1.42633855e+00
132      4.10574778e-10    0.00000000e+00    1.44367656e+00
133      4.12888686e-10    0.00000000e+00    1.45678951e+00
134      4.15202594e-10    0.00000000e+00    1.46676988e+00
135      4.17516502e-10    0.00000000e+00    1.47440006e+00
136      4.22144319e-10    0.00000000e+00    1.48488889e+00
137      4.31399952e-10    0.00000000e+00    1.49511472e+00
138      4.40655584e-10    0.00000000e+00    1.49841062e+00
139      4.49911217e-10    0.00000000e+00    1.49948170e+00
140      4.59166850e-10    0.00000000e+00    1.49983069e+00
141      4.77678116e-10    0.00000000e+00    1.50000095e+00
142      4.96189382e-10    0.00000000e+00    1.49999956e+00
143      5.33211913e-10    0.00000000e+00    1.49999960e+00
144      5.83211913e-10    0.00000000e+00    1.49999958e+00
145      6.00000000e-10    0.00000000e+00    1.49999959e+00
End of Xyce(TM) Simulation
