Index       TIME            V(OUT25)          V(OUT50)     
0        0.00000000e+00   -4.00602855e-33   -6.40834544e-03
1        5.00000000e-13    3.49997399e-04   -6.09434900e-03
2        1.50000000e-12    1.05003957e-03   -5.46957741e-03
3        3.50000000e-12    2.45031310e-03   -4.22566903e-03
4        7.50000000e-12    5.25161431e-03   -1.76547468e-03
5        1.55000000e-11    1.08572132e-02    3.09019274e-03
6        2.55000000e-11    1.78697716e-02    9.10522787e-03
7        3.55000000e-11    2.48884271e-02    1.51057571e-02
8        4.55000000e-11    3.19130971e-02    2.11089767e-02
9        5.55000000e-11    3.89437029e-02    2.71193419e-02
10       6.55000000e-11    4.59801707e-02    3.31376660e-02
11       7.55000000e-11    5.30222895e-02    3.91641505e-02
12       8.55000000e-11    6.00697054e-02    4.51989709e-02
13       9.55000000e-11    6.71224448e-02    5.12422026e-02
14       1.00000000e-10    7.02979009e-02    5.39644326e-02
15       1.01000000e-10    7.10037024e-02    5.46284481e-02
16       1.02000000e-10    7.17095563e-02    5.52930214e-02
17       1.04000000e-10    7.31214214e-02    5.66232580e-02
18       1.08000000e-10    7.59457793e-02    5.92888040e-02
19       1.16000000e-10    8.15969967e-02    6.46334208e-02
20       1.32000000e-10    9.29093756e-02    7.53523867e-02
21       1.64000000e-10    1.15573584e-01    9.68611588e-02
22       2.28000000e-10    1.61060980e-01    1.40203459e-01
23       3.56000000e-10    2.52885805e-01    2.31405588e-01
24       3.71092648e-10    2.63830353e-01    2.42974163e-01
25       3.86185296e-10    2.74814697e-01    2.54711359e-01
26       4.16370593e-10    2.97000747e-01    2.78663814e-01
27       4.46555889e-10    3.19649250e-01    3.03393161e-01
28       4.76741186e-10    3.43096240e-01    3.29217736e-01
29       5.03907952e-10    3.65259998e-01    3.53736555e-01
30       5.31074719e-10    3.88780170e-01    3.79773604e-01
31       5.55524809e-10    4.11205435e-01    4.04551216e-01
32       5.77529890e-10    4.32226848e-01    4.27811947e-01
33       5.99534971e-10    4.53641060e-01    4.51686002e-01
34       6.19339544e-10    4.72860378e-01    4.73337335e-01
35       6.37163660e-10    4.89891605e-01    4.92655222e-01
36       6.54987776e-10    5.06594128e-01    5.11571177e-01
37       6.70658881e-10    5.21022996e-01    5.27748191e-01
38       6.84762876e-10    5.33831389e-01    5.41904682e-01
39       6.97456471e-10    5.45232560e-01    5.54320428e-01
40       7.08880707e-10    5.55398719e-01    5.65244109e-01
41       7.20304943e-10    5.65477781e-01    5.75946603e-01
42       7.30586756e-10    5.74476752e-01    5.85405189e-01
43       7.40868568e-10    5.83409950e-01    5.94714408e-01
44       7.51150380e-10    5.92282450e-01    6.03890627e-01
45       7.60404011e-10    6.00222123e-01    6.12050171e-01
46       7.69657642e-10    6.08126768e-01    6.20130781e-01
47       7.77985910e-10    6.15218634e-01    6.27348138e-01
48       7.86314178e-10    6.22297601e-01    6.34525296e-01
49       7.94642446e-10    6.29371837e-01    6.41673804e-01
50       8.02137888e-10    6.35741205e-01    6.48092221e-01
51       8.09633329e-10    6.42119112e-01    6.54504744e-01
52       8.17128770e-10    6.48510794e-01    6.60918946e-01
53       8.23874667e-10    6.54278834e-01    6.66698859e-01
54       8.30620564e-10    6.60064580e-01    6.72490453e-01
55       8.37366461e-10    6.65869431e-01    6.78297798e-01
56       8.44112358e-10    6.71689580e-01    6.84124396e-01
57       8.50858255e-10    6.77498582e-01    6.89973161e-01
58       8.57604152e-10    6.83180033e-01    6.95846427e-01
59       8.64350049e-10    6.88308897e-01    7.01745970e-01
60       8.70421357e-10    6.91469549e-01    7.07079060e-01
61       8.76492664e-10    6.90950164e-01    7.12435061e-01
62       8.82563972e-10    6.82360915e-01    7.17814290e-01
63       8.88028148e-10    6.62374453e-01    7.22675522e-01
64       8.93492325e-10    6.20732150e-01    7.27555552e-01
65       8.98956501e-10    5.50048461e-01    7.32454181e-01
66       9.04420678e-10    4.65141339e-01    7.37371115e-01
67       9.09884855e-10    3.85474851e-01    7.42305978e-01
68       9.15349031e-10    3.23236880e-01    7.47258334e-01
69       9.20813208e-10    2.72525743e-01    7.52227695e-01
70       9.26277385e-10    2.29023173e-01    7.57213532e-01
71       9.31741561e-10    1.92002081e-01    7.62215293e-01
72       9.36659320e-10    1.63686731e-01    7.66730024e-01
73       9.41577079e-10    1.39667148e-01    7.71256761e-01
74       9.46494838e-10    1.19496043e-01    7.75795075e-01
75       9.51412597e-10    1.02674077e-01    7.80344538e-01
76       9.56330356e-10    8.87122217e-02    7.84904723e-01
77       9.61248115e-10    7.71601666e-02    7.89475213e-01
78       9.66165874e-10    6.76186732e-02    7.94055596e-01
79       9.71083633e-10    5.97454354e-02    7.98645473e-01
80       9.76001392e-10    5.32521027e-02    8.03244461e-01
81       9.80919151e-10    4.78982106e-02    8.07852208e-01
82       9.85836910e-10    4.34843314e-02    8.12468447e-01
83       9.90754669e-10    3.98453900e-02    8.17093186e-01
84       9.95672428e-10    3.68448360e-02    8.21727339e-01
85       1.00000000e-09    3.46437003e-02    8.25815760e-01
86       1.00049178e-09    3.39713416e-02    8.25799449e-01
87       1.00098355e-09    3.33099417e-02    8.25784620e-01
88       1.00196710e-09    3.20091122e-02    8.25757824e-01
89       1.00393421e-09    2.95375289e-02    8.25720377e-01
90       1.00786841e-09    2.50948421e-02    8.25706048e-01
91       1.01180262e-09    2.12762987e-02    8.25781308e-01
92       1.01573683e-09    1.80151536e-02    8.25992680e-01
93       1.01967104e-09    1.52410485e-02    8.26461318e-01
94       1.02360524e-09    1.28870980e-02    8.27447202e-01
95       1.02753945e-09    1.08928125e-02    8.29462983e-01
96       1.03147366e-09    9.20494753e-03    8.33454371e-01
97       1.03540786e-09    7.77736264e-03    8.41041947e-01
98       1.03934207e-09    6.57044643e-03    8.54755568e-01
99       1.04327628e-09    5.55038760e-03    8.78114963e-01
100      1.04721049e-09    4.68842938e-03    9.15681019e-01
101      1.05114469e-09    3.96016977e-03    9.74483376e-01
102      1.05507890e-09    3.34493259e-03    1.07193168e+00
103      1.05901311e-09    2.82521560e-03    1.20393614e+00
104      1.06294731e-09    2.38621278e-03    1.29088876e+00
105      1.06688152e-09    2.01540453e-03    1.34220219e+00
106      1.07081573e-09    1.70220778e-03    1.37741555e+00
107      1.07868414e-09    1.21129828e-03    1.42222004e+00
108      1.08655256e-09    8.61975971e-04    1.44723262e+00
109      1.09442097e-09    6.13419181e-04    1.46318426e+00
110      1.10228939e-09    4.36567553e-04    1.47415509e+00
111      1.11015780e-09    3.10738119e-04    1.48161580e+00
112      1.12589463e-09    1.54260380e-04    1.49039279e+00
113      1.14163146e-09    7.66933135e-05    1.49465664e+00
114      1.15736829e-09    3.82435814e-05    1.49693638e+00
115      1.18884194e-09    7.80068152e-06    1.49903373e+00
116      1.22031560e-09    1.87906965e-06    1.49965831e+00
117      1.28326292e-09    2.36482511e-07    1.49996797e+00
118      1.34621023e-09    4.80168831e-07    1.49998371e+00
119      1.40915755e-09    4.43984749e-07    1.50000066e+00
120      1.47210486e-09    4.49335225e-07    1.50002718e+00
121      1.53505218e-09    4.48522479e-07    1.50001292e+00
122      1.59799949e-09    4.48622389e-07    1.49998471e+00
123      1.66094680e-09    4.48589018e-07    1.49997950e+00
124      1.72389412e-09    4.48573450e-07    1.49997722e+00
125      1.84978875e-09    4.48539912e-07    1.49998440e+00
126      1.97568338e-09    4.48505154e-07    1.49998893e+00
127      2.10157801e-09    4.48471934e-07    1.49999631e+00
128      2.35336727e-09    4.48403287e-07    1.50000091e+00
129      2.60515653e-09    4.48336308e-07    1.50001135e+00
130      2.85694578e-09    4.48267998e-07    1.50000265e+00
131      2.88290126e-09    4.48261344e-07    1.50000195e+00
132      2.93481222e-09    4.48247520e-07    1.50000126e+00
133      2.98672318e-09    4.48233552e-07    1.50001038e+00
134      3.03863414e-09    4.48219703e-07    1.50002317e+00
135      3.09054510e-09    4.48205770e-07    1.50002276e+00
136      3.14245606e-09    4.48191913e-07    1.50001487e+00
137      3.16465857e-09    4.48185950e-07    1.50001560e+00
138      3.17223258e-09    4.48183924e-07    1.50001964e+00
139      3.17980658e-09    4.48181902e-07    1.50002672e+00
140      3.18738059e-09    4.48179880e-07    1.50002543e+00
141      3.19495459e-09    4.48177857e-07    1.50002082e+00
142      3.20252860e-09    4.48175834e-07    1.50002240e+00
143      3.21010260e-09    4.48173811e-07    1.50003702e+00
144      3.21767661e-09    4.48171787e-07    1.50005451e+00
145      3.22525062e-09    4.48169763e-07    1.50007466e+00
146      3.23282462e-09    4.48167739e-07    1.50008611e+00
147      3.24039863e-09    4.48165716e-07    1.50007889e+00
148      3.24720719e-09    4.48163897e-07    1.50006338e+00
149      3.25401575e-09    4.48162077e-07    1.50004228e+00
150      3.26082430e-09    4.48160258e-07    1.50002534e+00
151      3.26164078e-09    4.48160040e-07    1.50002485e+00
152      3.26245725e-09    4.48159822e-07    1.50002576e+00
153      3.26409019e-09    4.48159386e-07    1.50002822e+00
154      3.26572313e-09    4.48158950e-07    1.50002794e+00
155      3.26735607e-09    4.48158513e-07    1.50002467e+00
156      3.27062196e-09    4.48157641e-07    1.50001292e+00
157      3.27715372e-09    4.48155896e-07    1.49998627e+00
158      3.28272137e-09    4.48154409e-07    1.49996913e+00
159      3.28766431e-09    4.48153089e-07    1.49995792e+00
160      3.29260725e-09    4.48151768e-07    1.49995127e+00
161      3.29755020e-09    4.48150447e-07    1.49994751e+00
162      3.30199885e-09    4.48149259e-07    1.49994640e+00
163      3.30644749e-09    4.48148071e-07    1.49994642e+00
164      3.31045128e-09    4.48147002e-07    1.49994685e+00
165      3.31445506e-09    4.48145932e-07    1.49994703e+00
166      3.31845885e-09    4.48144862e-07    1.49994701e+00
167      3.32177597e-09    4.48143981e-07    1.49994624e+00
168      3.32509310e-09    4.48143094e-07    1.49994467e+00
169      3.32841022e-09    4.48142201e-07    1.49994339e+00
