Index      TIME           V(1)           I(VMON)
0       0.00000000e+00   0.00000000e+00   -1.00000000e-01  
1       1.00000000e-06   6.66666667e-07   -1.00000133e-01  
2       3.00000000e-06   2.00000000e-06   -1.00000400e-01  
3       7.00000000e-06   4.66666667e-06   -1.00000933e-01  
4       1.50000000e-05   1.00000000e-05   -1.00002000e-01  
5       3.10000000e-05   2.06666667e-05   -1.00004133e-01  
6       6.30000000e-05   4.20000000e-05   -1.00008400e-01  
7       1.27000000e-04   8.46666667e-05   -1.00016933e-01  
8       2.55000000e-04   1.70000000e-04   -1.00034000e-01  
9       5.11000000e-04   3.40666667e-04   -1.00068133e-01  
10      1.02300000e-03   6.82000000e-04   -1.00136400e-01  
11      2.04700000e-03   1.36466667e-03   -1.00272933e-01  
12      4.09500000e-03   2.73000000e-03   -1.00546000e-01  
13      8.19100000e-03   5.46066667e-03   -1.01092133e-01  
14      1.63830000e-02   1.09220000e-02   -1.02184400e-01  
15      3.27670000e-02   2.18446667e-02   -1.04368933e-01  
16      6.55350000e-02   4.36900000e-02   -1.08738000e-01  
17      1.31071000e-01   8.73806667e-02   -1.17476133e-01  
18      2.62143000e-01   1.74762000e-01   -1.34952400e-01  
19      4.62143000e-01   3.08095333e-01   -1.61619067e-01  
20      6.62143000e-01   4.41428667e-01   -1.88285733e-01  
21      8.62143000e-01   5.74762000e-01   -2.14952400e-01  
22      1.00000000e+00   6.66666667e-01   -2.33333333e-01  
23      1.00250000e+00   6.68333333e-01   -2.33916667e-01  
24      1.00750000e+00   6.71666667e-01   -2.35083333e-01  
25      1.01750000e+00   6.78333333e-01   -2.37416667e-01  
26      1.03750000e+00   6.91666667e-01   -2.42083333e-01  
27      1.07750000e+00   7.18333333e-01   -2.51416667e-01  
28      1.15750000e+00   7.71666667e-01   -2.70083333e-01  
29      1.31750000e+00   8.78333333e-01   -3.07416667e-01  
30      1.50000000e+00   1.00000000e+00   -3.50000000e-01  
31      1.50250000e+00   9.95000000e-01   -3.49250000e-01  
32      1.50750000e+00   9.85000000e-01   -3.47750000e-01  
33      1.51750000e+00   9.65000000e-01   -3.44750000e-01  
34      1.53750000e+00   9.25000000e-01   -3.38750000e-01  
35      1.57750000e+00   8.45000000e-01   -3.26750000e-01  
36      1.65750000e+00   6.85000000e-01   -3.02750000e-01  
37      1.81750000e+00   3.65000000e-01   -2.54750000e-01  
38      2.00000000e+00   1.66533454e-16   -2.00000000e-01  
End of Xyce(TM) Simulation
