Index        TIME        {V(VINP) + 0.1}
0       0.00000000e+00   1.00000000e-01   
1       1.00000000e-09   1.00000003e-01   
2       3.00000000e-09   1.00000029e-01   
3       7.00000000e-09   1.00000160e-01   
4       1.50000000e-08   1.00000733e-01   
5       2.30000000e-08   1.00001723e-01   
6       3.10000000e-08   1.00003130e-01   
7       4.70000000e-08   1.00007195e-01   
8       7.90000000e-08   1.00020327e-01   
9       1.43000000e-07   1.00066601e-01   
10      2.71000000e-07   1.00239189e-01   
11      5.27000000e-07   1.00904472e-01   
12      1.03900000e-06   1.03514718e-01   
13      1.46134403e-06   1.06950459e-01   
14      1.88368807e-06   1.11543158e-01   
15      2.26379769e-06   1.16663130e-01   
16      2.60589636e-06   1.22067722e-01   
17      2.94799503e-06   1.28224426e-01   
18      3.25588383e-06   1.34406171e-01   
19      3.56377263e-06   1.41192514e-01   
20      3.84087255e-06   1.47815058e-01   
21      4.11797247e-06   1.54923264e-01   
22      4.39507239e-06   1.62514978e-01   
23      4.67217231e-06   1.70587898e-01   
24      4.85690559e-06   1.76235955e-01   
25      5.04163887e-06   1.82096042e-01   
26      5.22637215e-06   1.88167423e-01   
27      5.37706037e-06   1.93275685e-01   
28      5.52774858e-06   1.98523516e-01   
29      5.67843680e-06   2.03910482e-01   
30      5.82912502e-06   2.09435967e-01   
31      5.97981324e-06   2.15099572e-01   
32      6.13050146e-06   2.20900827e-01   
33      6.28118968e-06   2.26839081e-01   
34      6.43187790e-06   2.32913892e-01   
35      6.58256612e-06   2.39124752e-01   
36      6.73325434e-06   2.45470982e-01   
37      6.88394255e-06   2.51952097e-01   
38      7.03463077e-06   2.58567555e-01   
39      7.18531899e-06   2.65316640e-01   
40      7.33600721e-06   2.72198833e-01   
41      7.48669543e-06   2.79213551e-01   
42      7.71272776e-06   2.89982580e-01   
43      7.93876009e-06   3.01046087e-01   
44      8.16479241e-06   3.12401838e-01   
45      8.39082474e-06   3.24047541e-01   
46      8.61685707e-06   3.35980857e-01   
47      8.84288940e-06   3.48199373e-01   
48      9.06892173e-06   3.60700620e-01   
49      9.29495405e-06   3.73482073e-01   
50      9.52098638e-06   3.86541176e-01   
51      9.74701871e-06   3.99875280e-01   
52      9.97305104e-06   4.13481692e-01   
53      1.01990834e-05   4.27357658e-01   
54      1.04251157e-05   4.41500415e-01   
55      1.06511480e-05   4.55907087e-01   
56      1.08771804e-05   4.70574764e-01   
57      1.11032127e-05   4.85500478e-01   
58      1.13292450e-05   5.00681257e-01   
59      1.15552773e-05   5.16114017e-01   
60      1.17813097e-05   5.31795637e-01   
61      1.20073420e-05   5.47722945e-01   
62      1.22333743e-05   5.63892771e-01   
63      1.24594066e-05   5.80301827e-01   
64      1.26854390e-05   5.96946797e-01   
65      1.29114713e-05   6.13824312e-01   
66      1.32731230e-05   6.41303587e-01   
67      1.36347748e-05   6.69355310e-01   
68      1.39964265e-05   6.97964995e-01   
69      1.43580782e-05   7.27117868e-01   
70      1.47197299e-05   7.56798871e-01   
71      1.50350765e-05   7.83098657e-01   
72      1.53504231e-05   8.09778025e-01   
73      1.56657696e-05   8.36826498e-01   
74      1.59811162e-05   8.64233455e-01   
75      1.62964627e-05   8.91988128e-01   
76      1.66118093e-05   9.20079654e-01   
77      1.69271559e-05   9.48496986e-01   
78      1.72425024e-05   9.77228966e-01   
79      1.75578490e-05   1.00626431e+00   
80      1.78731956e-05   1.03559161e+00   
81      1.81885421e-05   1.06519939e+00   
82      1.85038887e-05   1.09507601e+00   
83      1.88192352e-05   1.12520973e+00   
84      1.91345818e-05   1.15558872e+00   
85      1.94499284e-05   1.18620104e+00   
86      1.97652749e-05   1.21703472e+00   
87      2.00806215e-05   1.24807763e+00   
88      2.03959681e-05   1.27931758e+00   
89      2.07113146e-05   1.31074231e+00   
90      2.10266612e-05   1.34233946e+00   
91      2.13420077e-05   1.37409666e+00   
92      2.16573543e-05   1.40600144e+00   
93      2.19727009e-05   1.43804126e+00   
94      2.22880474e-05   1.47020354e+00   
95      2.26033940e-05   1.50247565e+00   
96      2.29187406e-05   1.53484495e+00   
97      2.32340871e-05   1.56729872e+00   
98      2.35494337e-05   1.59982420e+00   
99      2.38647802e-05   1.63240864e+00   
100     2.41801268e-05   1.66503924e+00   
101     2.44954734e-05   1.69770320e+00   
102     2.48108199e-05   1.73038768e+00   
103     2.51261665e-05   1.76307987e+00   
104     2.54415130e-05   1.79576692e+00   
105     2.57568596e-05   1.82843600e+00   
106     2.60722062e-05   1.86107429e+00   
107     2.63875527e-05   1.89366898e+00   
108     2.67028993e-05   1.92620727e+00   
109     2.70182459e-05   1.95867638e+00   
110     2.73335924e-05   1.99106357e+00   
111     2.76489390e-05   2.02335612e+00   
112     2.79642855e-05   2.05554137e+00   
113     2.82796321e-05   2.08760666e+00   
114     2.85949787e-05   2.11953942e+00   
115     2.89103252e-05   2.15132711e+00   
116     2.95410184e-05   2.21441741e+00   
117     3.01717115e-05   2.27677850e+00   
118     3.08024046e-05   2.33831247e+00   
119     3.14330977e-05   2.39892272e+00   
120     3.20637909e-05   2.45851412e+00   
121     3.26027903e-05   2.50856363e+00   
122     3.31417898e-05   2.55774319e+00   
123     3.36807893e-05   2.60599643e+00   
