Index        TIME           V(VINP)
1.320000e+02  3.842398e-05  2.882457e+00
1.330000e+02  3.890908e-05  2.915318e+00
1.340000e+02  3.939418e-05  2.947003e+00
1.350000e+02  3.987928e-05  2.977484e+00
1.360000e+02  4.036438e-05  3.006731e+00
1.370000e+02  4.084948e-05  3.034717e+00
1.380000e+02  4.133458e-05  3.061418e+00
1.390000e+02  4.181968e-05  3.086807e+00
1.400000e+02  4.230478e-05  3.110862e+00
1.410000e+02  4.278988e-05  3.133560e+00
1.420000e+02  4.327498e-05  3.154879e+00
1.430000e+02  4.376008e-05  3.174800e+00
1.440000e+02  4.424518e-05  3.193306e+00
1.450000e+02  4.473028e-05  3.210377e+00
1.460000e+02  4.521538e-05  3.225999e+00
1.470000e+02  4.570048e-05  3.240157e+00
1.480000e+02  4.618558e-05  3.252838e+00
1.490000e+02  4.667068e-05  3.264030e+00
1.500000e+02  4.715578e-05  3.273722e+00
1.510000e+02  4.764088e-05  3.281906e+00
1.520000e+02  4.812597e-05  3.288575e+00
1.530000e+02  4.861107e-05  3.293720e+00
1.540000e+02  4.909617e-05  3.297340e+00
1.550000e+02  4.958127e-05  3.299429e+00
1.560000e+02  5.006637e-05  3.299985e+00
1.570000e+02  5.055147e-05  3.299009e+00
1.580000e+02  5.103657e-05  3.296501e+00
1.590000e+02  5.152167e-05  3.292464e+00
1.600000e+02  5.200677e-05  3.286901e+00
1.610000e+02  5.244336e-05  3.280594e+00
1.620000e+02  5.287995e-05  3.273060e+00
1.630000e+02  5.331654e-05  3.264304e+00
1.640000e+02  5.375313e-05  3.254334e+00
1.650000e+02  5.418972e-05  3.243157e+00
1.660000e+02  5.462631e-05  3.230781e+00
1.670000e+02  5.506290e-05  3.217216e+00
1.680000e+02  5.549949e-05  3.202471e+00
1.690000e+02  5.593608e-05  3.186558e+00
1.700000e+02  5.637267e-05  3.169489e+00
1.710000e+02  5.680926e-05  3.151277e+00
1.720000e+02  5.724585e-05  3.131935e+00
1.730000e+02  5.768244e-05  3.111478e+00
1.740000e+02  5.811903e-05  3.089921e+00
1.750000e+02  5.855561e-05  3.067281e+00
1.760000e+02  5.899220e-05  3.043574e+00
1.770000e+02  5.942879e-05  3.018818e+00
1.780000e+02  5.986538e-05  2.993033e+00
1.790000e+02  6.030197e-05  2.966237e+00
1.800000e+02  6.073856e-05  2.938451e+00
1.810000e+02  6.117515e-05  2.909695e+00
1.820000e+02  6.161174e-05  2.879992e+00
1.830000e+02  6.204833e-05  2.849362e+00
1.840000e+02  6.248492e-05  2.817831e+00
1.850000e+02  6.292151e-05  2.785421e+00
1.860000e+02  6.335810e-05  2.752156e+00
1.870000e+02  6.379469e-05  2.718062e+00
1.880000e+02  6.423128e-05  2.683164e+00
1.890000e+02  6.466787e-05  2.647489e+00
1.900000e+02  6.510446e-05  2.611064e+00
1.910000e+02  6.554105e-05  2.573915e+00
1.920000e+02  6.597764e-05  2.536071e+00
1.930000e+02  6.641423e-05  2.497560e+00
1.940000e+02  6.685082e-05  2.458411e+00
1.950000e+02  6.728741e-05  2.418655e+00
1.960000e+02  6.772400e-05  2.378320e+00
1.970000e+02  6.816059e-05  2.337436e+00
1.980000e+02  6.859717e-05  2.296036e+00
1.990000e+02  6.903376e-05  2.254149e+00
2.000000e+02  6.947035e-05  2.211808e+00
2.010000e+02  6.990694e-05  2.169044e+00
2.020000e+02  7.034353e-05  2.125890e+00
2.030000e+02  7.078012e-05  2.082377e+00
2.040000e+02  7.121671e-05  2.038540e+00
2.050000e+02  7.165330e-05  1.994409e+00
2.060000e+02  7.208989e-05  1.950020e+00
2.070000e+02  7.252648e-05  1.905405e+00
2.080000e+02  7.296307e-05  1.860598e+00
2.090000e+02  7.339966e-05  1.815632e+00
2.100000e+02  7.383625e-05  1.770541e+00
2.110000e+02  7.427284e-05  1.725360e+00
2.120000e+02  7.470943e-05  1.680123e+00
2.130000e+02  7.514602e-05  1.634862e+00
2.140000e+02  7.558261e-05  1.589613e+00
2.150000e+02  7.601920e-05  1.544409e+00
2.160000e+02  7.645579e-05  1.499285e+00
2.170000e+02  7.689238e-05  1.454274e+00
2.180000e+02  7.732897e-05  1.409411e+00
2.190000e+02  7.776556e-05  1.364728e+00
2.200000e+02  7.820215e-05  1.320261e+00
2.210000e+02  7.863873e-05  1.276041e+00
2.220000e+02  7.907532e-05  1.232103e+00
2.230000e+02  7.951191e-05  1.188479e+00
2.240000e+02  7.994850e-05  1.145202e+00
2.250000e+02  8.038509e-05  1.102305e+00
2.260000e+02  8.082168e-05  1.059821e+00
2.270000e+02  8.125827e-05  1.017780e+00
2.280000e+02  8.169486e-05  9.762153e-01
2.290000e+02  8.213145e-05  9.351574e-01
2.300000e+02  8.256804e-05  8.946374e-01
2.310000e+02  8.300463e-05  8.546858e-01
2.320000e+02  8.344122e-05  8.153327e-01
2.330000e+02  8.387781e-05  7.766076e-01
2.340000e+02  8.431440e-05  7.385396e-01
2.350000e+02  8.475099e-05  7.011575e-01
2.360000e+02  8.518758e-05  6.644894e-01
2.370000e+02  8.562417e-05  6.285628e-01
2.380000e+02  8.606076e-05  5.934048e-01
2.390000e+02  8.649735e-05  5.590418e-01
2.400000e+02  8.693394e-05  5.254997e-01
2.410000e+02  8.737053e-05  4.928038e-01
2.420000e+02  8.780712e-05  4.609786e-01
2.430000e+02  8.824371e-05  4.300481e-01
2.440000e+02  8.868029e-05  4.000355e-01
2.450000e+02  8.911688e-05  3.709634e-01
2.460000e+02  8.955347e-05  3.428538e-01
2.470000e+02  8.999006e-05  3.157278e-01
2.480000e+02  9.042665e-05  2.896058e-01
2.490000e+02  9.086324e-05  2.645073e-01
2.500000e+02  9.129983e-05  2.404513e-01
2.510000e+02  9.169276e-05  2.197073e-01
2.520000e+02  9.208569e-05  1.998351e-01
2.530000e+02  9.247862e-05  1.808468e-01
2.540000e+02  9.287155e-05  1.627538e-01
2.550000e+02  9.326449e-05  1.455672e-01
2.560000e+02  9.365742e-05  1.292977e-01
2.570000e+02  9.405035e-05  1.139551e-01
2.580000e+02  9.444328e-05  9.954870e-02
2.590000e+02  9.483621e-05  8.608721e-02
2.600000e+02  9.522914e-05  7.357882e-02
2.610000e+02  9.562207e-05  6.203141e-02
2.620000e+02  9.601500e-05  5.145186e-02
2.630000e+02  9.640793e-05  4.184660e-02
2.640000e+02  9.680086e-05  3.322146e-02
2.650000e+02  9.719379e-05  2.558162e-02
2.660000e+02  9.754743e-05  1.955231e-02
2.670000e+02  9.790107e-05  1.432794e-02
2.680000e+02  9.825470e-05  9.911074e-03
2.690000e+02  9.860834e-05  6.303880e-03
2.700000e+02  9.896198e-05  3.508098e-03
2.710000e+02  9.931562e-05  1.525294e-03
2.720000e+02  9.966925e-05  3.563370e-04
2.730000e+02  1.000229e-04  1.789000e-06
2.740000e+02  1.003765e-04  4.618060e-04
2.750000e+02  1.007302e-04  1.736129e-03
2.760000e+02  1.010838e-04  3.824290e-03
2.770000e+02  1.014374e-04  6.725163e-03
2.780000e+02  1.017911e-04  1.043730e-02
2.790000e+02  1.021447e-04  1.495886e-02
2.800000e+02  1.024984e-04  2.028756e-02
2.810000e+02  1.028520e-04  2.642095e-02
2.820000e+02  1.032056e-04  3.335588e-02
2.830000e+02  1.035593e-04  4.108894e-02
2.840000e+02  1.039129e-04  4.961628e-02
2.850000e+02  1.042665e-04  5.893366e-02
2.860000e+02  1.046202e-04  6.903664e-02
2.870000e+02  1.049738e-04  7.992013e-02
2.880000e+02  1.053275e-04  9.157875e-02
2.890000e+02  1.056811e-04  1.040067e-01
2.900000e+02  1.060347e-04  1.171979e-01
2.910000e+02  1.063884e-04  1.311459e-01
2.920000e+02  1.067420e-04  1.458438e-01
2.930000e+02  1.070956e-04  1.612842e-01
