Index        TIME            I(VMON)         I(VMONA)
0       0.00000000e+00   1.00000000e+00   1.00000000e+00   
1       5.00000000e-03   1.00000000e+00   1.00000000e+00   
2       1.50000000e-02   1.00000000e+00   1.00000000e+00   
3       3.50000000e-02   1.00000000e+00   1.00000000e+00   
4       7.50000000e-02   1.00000000e+00   1.00000000e+00   
5       1.55000000e-01   1.00000000e+00   1.00000000e+00   
6       3.15000000e-01   1.00000000e+00   1.00000000e+00   
7       6.35000000e-01   1.00000000e+00   1.00000000e+00   
8       1.00000000e+00   1.00000000e+00   1.00000000e+00   
9       1.00050000e+00   1.02000000e+00   1.02000000e+00   
10      1.00150000e+00   1.06000000e+00   1.06000000e+00   
11      1.00350000e+00   1.14000000e+00   1.14000000e+00   
12      1.00750000e+00   1.30000000e+00   1.30000000e+00   
13      1.01550000e+00   1.62000000e+00   1.62000000e+00   
14      1.03150000e+00   2.26000000e+00   2.26000000e+00   
15      1.06350000e+00   3.54000000e+00   3.54000000e+00   
16      1.10000000e+00   5.00000000e+00   5.00000000e+00   
17      1.10250000e+00   5.00000000e+00   5.00000000e+00   
18      1.10750000e+00   5.00000000e+00   5.00000000e+00   
19      1.11750000e+00   5.00000000e+00   5.00000000e+00   
20      1.13750000e+00   5.00000000e+00   5.00000000e+00   
21      1.17750000e+00   5.00000000e+00   5.00000000e+00   
22      1.25750000e+00   5.00000000e+00   5.00000000e+00   
23      1.41750000e+00   5.00000000e+00   5.00000000e+00   
24      1.60000000e+00   5.00000000e+00   5.00000000e+00   
25      1.60200000e+00   4.98000000e+00   4.98000000e+00   
26      1.60600000e+00   4.94000000e+00   4.94000000e+00   
27      1.61400000e+00   4.86000000e+00   4.86000000e+00   
28      1.63000000e+00   4.70000000e+00   4.70000000e+00   
29      1.66200000e+00   4.38000000e+00   4.38000000e+00   
30      1.72600000e+00   3.74000000e+00   3.74000000e+00   
31      1.85400000e+00   2.46000000e+00   2.46000000e+00   
32      2.00000000e+00   1.00000000e+00   1.00000000e+00   
33      2.00500000e+00   1.00000000e+00   1.00000000e+00   
34      2.01500000e+00   1.00000000e+00   1.00000000e+00   
35      2.03500000e+00   1.00000000e+00   1.00000000e+00   
36      2.07500000e+00   1.00000000e+00   1.00000000e+00   
37      2.15500000e+00   1.00000000e+00   1.00000000e+00   
38      2.31500000e+00   1.00000000e+00   1.00000000e+00   
39      2.63500000e+00   1.00000000e+00   1.00000000e+00   
40      3.00000000e+00   1.00000000e+00   1.00000000e+00   
41      3.00050000e+00   1.02000000e+00   1.02000000e+00   
42      3.00150000e+00   1.06000000e+00   1.06000000e+00   
43      3.00350000e+00   1.14000000e+00   1.14000000e+00   
44      3.00750000e+00   1.30000000e+00   1.30000000e+00   
45      3.01550000e+00   1.62000000e+00   1.62000000e+00   
46      3.03150000e+00   2.26000000e+00   2.26000000e+00   
47      3.06350000e+00   3.54000000e+00   3.54000000e+00   
48      3.10000000e+00   5.00000000e+00   5.00000000e+00   
49      3.10250000e+00   5.00000000e+00   5.00000000e+00   
50      3.10750000e+00   5.00000000e+00   5.00000000e+00   
51      3.11750000e+00   5.00000000e+00   5.00000000e+00   
52      3.13750000e+00   5.00000000e+00   5.00000000e+00   
53      3.17750000e+00   5.00000000e+00   5.00000000e+00   
54      3.25750000e+00   5.00000000e+00   5.00000000e+00   
55      3.41750000e+00   5.00000000e+00   5.00000000e+00   
56      3.60000000e+00   5.00000000e+00   5.00000000e+00   
57      3.60200000e+00   4.98000000e+00   4.98000000e+00   
58      3.60600000e+00   4.94000000e+00   4.94000000e+00   
59      3.61400000e+00   4.86000000e+00   4.86000000e+00   
60      3.63000000e+00   4.70000000e+00   4.70000000e+00   
61      3.66200000e+00   4.38000000e+00   4.38000000e+00   
62      3.72600000e+00   3.74000000e+00   3.74000000e+00   
63      3.85400000e+00   2.46000000e+00   2.46000000e+00   
64      4.00000000e+00   1.00000000e+00   1.00000000e+00   
65      4.00500000e+00   1.00000000e+00   1.00000000e+00   
66      4.01500000e+00   1.00000000e+00   1.00000000e+00   
67      4.03500000e+00   1.00000000e+00   1.00000000e+00   
68      4.07500000e+00   1.00000000e+00   1.00000000e+00   
69      4.15500000e+00   1.00000000e+00   1.00000000e+00   
70      4.31500000e+00   1.00000000e+00   1.00000000e+00   
71      4.63500000e+00   1.00000000e+00   1.00000000e+00   
