Index      TIME           V(1)           V(11)           V(22)           V(33)           V(44)
47      1.18703737e-02   3.28154735e+00   2.60077657e+00   -2.59971089e+00  2.54026848e+00   -2.54082938e+00  
48      1.25397999e-02   3.43035322e+00   2.71871222e+00   -2.71759822e+00  2.65546031e+00   -2.65604664e+00  
49      1.32092261e-02   3.56952374e+00   2.82901140e+00   -2.82785221e+00  2.76319334e+00   -2.76380345e+00  
50      1.45480785e-02   3.82141397e+00   3.02864620e+00   -3.02740521e+00  2.95818355e+00   -2.95883671e+00  
51      1.58869308e-02   4.04173992e+00   3.20326487e+00   -3.20195234e+00  3.12873965e+00   -3.12943046e+00  
52      1.72257832e-02   4.23445692e+00   3.35600216e+00   -3.35462705e+00  3.27792344e+00   -3.27864718e+00  
53      1.85646356e-02   4.40302463e+00   3.48960001e+00   -3.48817016e+00  3.40841308e+00   -3.40916562e+00  
54      1.99034880e-02   4.55046921e+00   3.60645676e+00   -3.60497904e+00  3.52255112e+00   -3.52332885e+00  
55      2.12423403e-02   4.67943756e+00   3.70867025e+00   -3.70715065e+00  3.62238656e+00   -3.62318634e+00  
56      2.25811927e-02   4.79224495e+00   3.79807541e+00   -3.79651918e+00  3.70971168e+00   -3.71053073e+00  
57      2.39200451e-02   4.89091650e+00   3.87627725e+00   -3.87468898e+00  3.78609412e+00   -3.78693004e+00  
58      2.52588974e-02   4.97722356e+00   3.94467966e+00   -3.94306335e+00  3.85290511e+00   -3.85375578e+00  
59      2.79366022e-02   5.11874762e+00   4.05684411e+00   -4.05518185e+00  3.96246001e+00   -3.96333486e+00  
60      3.06143069e-02   5.22702532e+00   4.14265928e+00   -4.14096186e+00  4.04627866e+00   -4.04717201e+00  
61      3.32920117e-02   5.30986678e+00   4.20831504e+00   -4.20659072e+00  4.11040691e+00   -4.11131442e+00  
62      3.59697164e-02   5.37324741e+00   4.25854717e+00   -4.25680227e+00  4.15947037e+00   -4.16038871e+00  
63      3.86474212e-02   5.42173887e+00   4.29697894e+00   -4.29521829e+00  4.19700801e+00   -4.19793463e+00  
64      4.40028307e-02   5.48722349e+00   4.34887857e+00   -4.34709666e+00  4.24770017e+00   -4.24863799e+00  
65      4.93582401e-02   5.52555507e+00   4.37925816e+00   -4.37746380e+00  4.27737297e+00   -4.27831734e+00  
66      5.47136496e-02   5.54799256e+00   4.39704093e+00   -4.39523929e+00  4.29474202e+00   -4.29569022e+00  
67      6.00690591e-02   5.56112640e+00   4.40745012e+00   -4.40564421e+00  4.30490903e+00   -4.30585948e+00  
68      7.07798781e-02   5.57331448e+00   4.41710975e+00   -4.41529988e+00  4.31434392e+00   -4.31529645e+00  
69      8.14906971e-02   5.57749057e+00   4.42041950e+00   -4.41860828e+00  4.31757667e+00   -4.31852991e+00  
70      1.02912335e-01   5.57941174e+00   4.42194211e+00   -4.42013027e+00  4.31906386e+00   -4.32001743e+00  
71      1.32912335e-01   5.57965456e+00   4.42213456e+00   -4.42032264e+00  4.31925183e+00   -4.32020544e+00  
72      1.62912335e-01   5.57966665e+00   4.42214414e+00   -4.42033221e+00  4.31926119e+00   -4.32021480e+00  
73      1.92912335e-01   5.57966725e+00   4.42214462e+00   -4.42033269e+00  4.31926165e+00   -4.32021527e+00  
74      2.00412335e-01   5.35427669e+00   4.24351237e+00   -4.24177364e+00  4.14478535e+00   -4.14570044e+00  
75      2.01187568e-01   4.95487482e+00   3.92697123e+00   -3.92536227e+00  3.83560861e+00   -3.83645533e+00  
76      2.01962802e-01   4.58526807e+00   3.63404050e+00   -3.63255156e+00  3.54949304e+00   -3.55027660e+00  
77      2.02738035e-01   4.24323197e+00   3.36296082e+00   -3.36158295e+00  3.28472014e+00   -3.28544525e+00  
78      2.03513268e-01   3.92670991e+00   3.11210220e+00   -3.11082711e+00  3.03969786e+00   -3.04036888e+00  
79      2.04288502e-01   3.63379868e+00   2.87995628e+00   -2.87877631e+00  2.81295290e+00   -2.81357387e+00  
80      2.05063735e-01   3.36273703e+00   2.66512718e+00   -2.66403523e+00  2.60312189e+00   -2.60369654e+00  
81      2.05838968e-01   3.11189511e+00   2.46632317e+00   -2.46531267e+00  2.40894314e+00   -2.40947492e+00  
82      2.06614202e-01   2.87976464e+00   2.28234886e+00   -2.28141373e+00  2.22924906e+00   -2.22974118e+00  
83      2.07389435e-01   2.66494984e+00   2.11209803e+00   -2.11123266e+00  2.06295919e+00   -2.06341459e+00  
84      2.08164668e-01   2.46615905e+00   1.95454698e+00   -1.95374617e+00  1.90907364e+00   -1.90949507e+00  
85      2.08939902e-01   2.28219698e+00   1.80874839e+00   -1.80800731e+00  1.76666711e+00   -1.76705711e+00  
86      2.09715135e-01   2.11195748e+00   1.67382559e+00   -1.67313979e+00  1.63488334e+00   -1.63524425e+00  
87      2.10490368e-01   1.95441692e+00   1.54896729e+00   -1.54833265e+00  1.51292992e+00   -1.51326391e+00  
88      2.11265602e-01   1.80862803e+00   1.43342274e+00   -1.43283544e+00  1.40007357e+00   -1.40038264e+00  
89      2.12040835e-01   1.67371421e+00   1.32649719e+00   -1.32595370e+00  1.29563568e+00   -1.29592170e+00  
90      2.12816068e-01   1.54886422e+00   1.22754770e+00   -1.22704475e+00  1.19898830e+00   -1.19925298e+00  
91      2.13591302e-01   1.43332736e+00   1.13597931e+00   -1.13551388e+00  1.10955028e+00   -1.10979522e+00  
92      2.14366535e-01   1.32640892e+00   1.05124142e+00   -1.05081071e+00  1.02678386e+00   -1.02701052e+00  
93      2.15141768e-01   1.22746602e+00   9.72824524e-01   -9.72425939e-01  9.50191358e-01   -9.50401115e-01  
94      2.15917002e-01   1.13590372e+00   9.00257098e-01   -8.99888245e-01  8.79312243e-01   -8.79506353e-01  
95      2.16692235e-01   1.05117147e+00   8.33102808e-01   -8.32761469e-01  8.13720325e-01   -8.13899956e-01  
96      2.17467468e-01   9.72759789e-01   7.70957863e-01   -7.70641986e-01  7.53021208e-01   -7.53187440e-01  
97      2.18242702e-01   9.00197191e-01   7.13448593e-01   -7.13156279e-01  6.96849916e-01   -6.97003747e-01  
98      2.19017935e-01   8.33047370e-01   6.60229203e-01   -6.59958694e-01  6.44868697e-01   -6.45011053e-01  
99      2.19793168e-01   7.70906560e-01   6.10979690e-01   -6.10729360e-01  5.96764994e-01   -5.96896731e-01  
100     2.20568402e-01   7.13401118e-01   5.65403923e-01   -5.65172266e-01  5.52249567e-01   -5.52371477e-01  
101     2.21343635e-01   6.60185269e-01   5.23227861e-01   -5.23013485e-01  5.11054748e-01   -5.11167565e-01  
102     2.22118868e-01   6.10939033e-01   4.84197905e-01   -4.83999519e-01  4.72932840e-01   -4.73037241e-01  
103     2.22894102e-01   5.65366299e-01   4.48079371e-01   -4.47895784e-01  4.37654618e-01   -4.37751231e-01  
104     2.23669335e-01   5.23193044e-01   4.14655083e-01   -4.14485191e-01  4.05007961e-01   -4.05097367e-01  
105     2.24444568e-01   4.84165684e-01   3.83724066e-01   -3.83566847e-01  3.74796566e-01   -3.74879304e-01  
106     2.25219802e-01   4.48049554e-01   3.55100335e-01   -3.54954843e-01  3.46838778e-01   -3.46915343e-01  
107     2.25995035e-01   4.14627490e-01   3.28611778e-01   -3.28477139e-01  3.20966489e-01   -3.21037343e-01  
108     2.26770268e-01   3.83698531e-01   3.04099124e-01   -3.03974529e-01  2.97024132e-01   -2.97089701e-01  
109     2.27545502e-01   3.55076705e-01   2.81414981e-01   -2.81299680e-01  2.74867745e-01   -2.74928423e-01  
110     2.28320735e-01   3.28589911e-01   2.60422952e-01   -2.60316251e-01  2.54364104e-01   -2.54420255e-01  
111     2.29095968e-01   3.04078888e-01   2.40996814e-01   -2.40898073e-01  2.35389923e-01   -2.35441886e-01  
112     2.29871202e-01   2.81396255e-01   2.23019760e-01   -2.22928385e-01  2.17831113e-01   -2.17879200e-01  
113     2.30646435e-01   2.60405622e-01   2.06383698e-01   -2.06299138e-01  2.01582095e-01   -2.01626595e-01  
114     2.31421668e-01   2.40980777e-01   1.90988595e-01   -1.90910343e-01  1.86545166e-01   -1.86586346e-01  
115     2.32196902e-01   2.23004920e-01   1.76741883e-01   -1.76669468e-01  1.72629910e-01   -1.72668018e-01  
116     2.32972135e-01   2.06369964e-01   1.63557898e-01   -1.63490885e-01  1.59752656e-01   -1.59787922e-01  
117     2.33747369e-01   1.90975886e-01   1.51357367e-01   -1.51295353e-01  1.47835975e-01   -1.47868610e-01  
118     2.34522602e-01   1.76730122e-01   1.40066930e-01   -1.40009541e-01  1.36808214e-01   -1.36838415e-01  
119     2.35297835e-01   1.63547014e-01   1.29618697e-01   -1.29565590e-01  1.26603065e-01   -1.26631013e-01  
120     2.36073069e-01   1.51347295e-01   1.19949847e-01   -1.19900701e-01  1.17159164e-01   -1.17185027e-01  
121     2.36848302e-01   1.40057609e-01   1.11002239e-01   -1.10956760e-01  1.08419726e-01   -1.08443660e-01  
122     2.37623535e-01   1.29610072e-01   1.02722075e-01   -1.02679988e-01  1.00332204e-01   -1.00354352e-01  
123     2.38398769e-01   1.19941865e-01   9.50595663e-02   -9.50206185e-02  9.28479660e-02   -9.28684624e-02  
124     2.39174002e-01   1.10994853e-01   8.79686389e-02   -8.79325964e-02  8.59220120e-02   -8.59409795e-02  
125     2.39949235e-01   1.02715240e-01   8.14066562e-02   -8.13733023e-02  7.95126966e-02   -7.95302492e-02  
126     2.40724469e-01   9.50532407e-02   7.53341618e-02   -7.53032959e-02  7.35814812e-02   -7.35977245e-02  
127     2.41499702e-01   8.79627851e-02   6.97146424e-02   -6.96860790e-02  6.80927024e-02   -6.81077340e-02  
128     2.42274935e-01   8.14012391e-02   6.45143087e-02   -6.44878759e-02  6.30133566e-02   -6.30272669e-02  
129     2.43050169e-01   7.53291487e-02   5.97018917e-02   -5.96774306e-02  5.83129024e-02   -5.83257751e-02  
130     2.43825402e-01   6.97100034e-02   5.52484548e-02   -5.52258184e-02  5.39630766e-02   -5.39749891e-02  
131     2.44600635e-01   6.45100157e-02   5.11272201e-02   -5.11062723e-02  4.99377241e-02   -4.99487480e-02  
132     2.45375869e-01   5.96979189e-02   4.73134072e-02   -4.72940219e-02  4.62126411e-02   -4.62228427e-02  
133     2.46151102e-01   5.52447784e-02   4.37840839e-02   -4.37661447e-02  4.27654291e-02   -4.27748696e-02  
134     2.46926335e-01   5.11238179e-02   4.05180291e-02   -4.05014280e-02  3.95753603e-02   -3.95840967e-02  
135     2.47701569e-01   4.73102588e-02   3.74956042e-02   -3.74802415e-02  3.66232534e-02   -3.66313380e-02  
136     2.48476802e-01   4.37811704e-02   3.46986357e-02   -3.46844190e-02  3.38913576e-02   -3.38988392e-02  
137     2.49252035e-01   4.05153329e-02   3.21103059e-02   -3.20971497e-02  3.13632464e-02   -3.13701699e-02  
138     2.50027269e-01   3.74931091e-02   2.97150515e-02   -2.97028767e-02  2.90237185e-02   -2.90301256e-02  
139     2.50802502e-01   3.46963268e-02   2.74984701e-02   -2.74872034e-02  2.68587067e-02   -2.68646359e-02  
140     2.51577735e-01   3.21081692e-02   2.54472335e-02   -2.54368073e-02  2.48551931e-02   -2.48606799e-02  
141     2.52352969e-01   2.97130742e-02   2.35490081e-02   -2.35393596e-02  2.30011307e-02   -2.30062082e-02  
142     2.53128202e-01   2.74966402e-02   2.17923800e-02   -2.17834512e-02  2.12853712e-02   -2.12900700e-02  
