Index       TIME              V(B)             I(V_B)      
0        0.00000000e+00    5.00000000e-01    1.11556048e-10
1        1.00000000e-03    5.00500000e-01    1.13188729e-10
2        3.00000000e-03    5.01500000e-01    1.16309874e-10
3        7.00000000e-03    5.03500000e-01    1.22821469e-10
4        1.50000000e-02    5.07500000e-01    1.37109771e-10
5        3.10000000e-02    5.15500000e-01    1.71633737e-10
6        6.30000000e-02    5.31500000e-01    2.73882346e-10
7        1.27000000e-01    5.63500000e-01    7.48767191e-10
8        2.27000000e-01    6.13500000e-01    4.22046746e-09
9        3.27000000e-01    6.63500000e-01    2.68375652e-08
10       4.27000000e-01    7.13500000e-01    1.80239157e-07
11       5.27000000e-01    7.63500000e-01    1.21900838e-06
12       5.39231469e-01    7.69615734e-01    1.53593621e-06
13       5.63694406e-01    7.81847203e-01    2.42783324e-06
14       5.88157343e-01    7.94078672e-01    3.80585535e-06
15       6.12620280e-01    8.06310140e-01    5.89414131e-06
16       6.37083218e-01    8.18541609e-01    8.97736295e-06
17       6.61546155e-01    8.30773077e-01    1.33832553e-05
18       6.86009092e-01    8.43004546e-01    1.94480475e-05
19       7.10472029e-01    8.55236015e-01    2.74848306e-05
20       7.34934967e-01    8.67467483e-01    3.77985702e-05
21       7.59397904e-01    8.79698952e-01    5.07665444e-05
22       7.83860841e-01    8.91930421e-01    6.68512102e-05
23       7.86618162e-01    8.93309081e-01    6.88796254e-05
24       7.89375484e-01    8.94687742e-01    7.09538349e-05
25       7.94890126e-01    8.97445063e-01    7.52418883e-05
26       8.05919411e-01    9.02959706e-01    8.43920369e-05
27       8.16948696e-01    9.08474348e-01    9.43367835e-05
28       8.27977982e-01    9.13988991e-01    1.05111251e-04
29       8.50036552e-01    9.25018276e-01    1.29292148e-04
30       8.94153692e-01    9.47076846e-01    1.89203041e-04
31       9.82387973e-01    9.91193986e-01    3.63234968e-04
32       1.00000000e+00    1.00000000e+00    4.07772306e-04
0        0.00000000e+00    5.00000000e-01    1.49621942e-08
1        1.00000000e-03    5.00500000e-01    1.51844242e-08
2        3.00000000e-03    5.01500000e-01    1.56440177e-08
3        7.00000000e-03    5.03500000e-01    1.66026054e-08
4        1.50000000e-02    5.07500000e-01    1.87037460e-08
5        3.10000000e-02    5.15500000e-01    2.37572108e-08
6        6.30000000e-02    5.31500000e-01    3.84414194e-08
7        1.27000000e-01    5.63500000e-01    1.01535431e-07
8        2.27000000e-01    6.13500000e-01    4.68324428e-07
9        2.43941454e-01    6.21970727e-01    6.06681884e-07
10       2.60882907e-01    6.30441454e-01    7.85541142e-07
11       2.94765814e-01    6.47382907e-01    1.31384800e-06
12       3.28648722e-01    6.64324361e-01    2.18577832e-06
13       3.62531629e-01    6.81265814e-01    3.60436495e-06
14       3.96414536e-01    6.98207268e-01    5.86350100e-06
15       4.30297443e-01    7.15148722e-01    9.35578878e-06
16       4.60792060e-01    7.30396030e-01    1.39444294e-05
17       4.88237214e-01    7.44118607e-01    1.95757700e-05
18       5.12937854e-01    7.56468927e-01    2.61411723e-05
19       5.25106283e-01    7.62553141e-01    2.99926396e-05
20       5.30785825e-01    7.65392913e-01    3.19464879e-05
21       5.35897414e-01    7.67948707e-01    3.37951557e-05
22       5.41009003e-01    7.70504501e-01    3.57327091e-05
23       5.51232180e-01    7.75616090e-01    3.98876974e-05
24       5.71678535e-01    7.85839267e-01    4.94094881e-05
25       5.92124889e-01    7.96062445e-01    6.07239006e-05
26       6.12571244e-01    8.06285622e-01    7.40498997e-05
27       6.53463953e-01    8.26731977e-01    1.07662666e-04
28       6.94356663e-01    8.47178331e-01    1.52177812e-04
29       7.35249372e-01    8.67624686e-01    2.09583379e-04
30       8.17034790e-01    9.08517395e-01    3.70679058e-04
31       9.17034790e-01    9.58517395e-01    6.67041537e-04
32       1.00000000e+00    1.00000000e+00    1.00726509e-03
End of Xyce(TM) Parameter Sweep
