Index       V(B)             I(V_B)      
0        5.00000000e-01    2.17491206e-08
1        5.10000000e-01    3.20911505e-08
2        5.20000000e-01    4.73522780e-08
3        5.30000000e-01    6.98721465e-08
4        5.40000000e-01    1.03102744e-07
5        5.50000000e-01    1.52136654e-07
6        5.60000000e-01    2.24485464e-07
7        5.70000000e-01    3.31225975e-07
8        5.80000000e-01    4.88686212e-07
9        5.90000000e-01    7.20921624e-07
10       6.00000000e-01    1.06334355e-06
11       6.10000000e-01    1.56801846e-06
12       6.20000000e-01    2.31136937e-06
13       6.30000000e-01    3.40528792e-06
14       6.40000000e-01    5.01299760e-06
15       6.50000000e-01    7.37134510e-06
16       6.60000000e-01    1.08213965e-05
17       6.70000000e-01    1.58489713e-05
18       6.80000000e-01    2.31354980e-05
19       6.90000000e-01    3.36165141e-05
20       7.00000000e-01    4.85395450e-05
21       7.10000000e-01    6.95054407e-05
22       7.20000000e-01    9.84709033e-05
23       7.30000000e-01    1.37691842e-04
24       7.40000000e-01    1.89603584e-04
25       7.50000000e-01    2.56660768e-04
26       7.60000000e-01    3.41178803e-04
27       7.70000000e-01    4.45213063e-04
28       7.80000000e-01    5.70486857e-04
29       7.90000000e-01    7.18357621e-04
30       8.00000000e-01    8.89806935e-04
31       8.10000000e-01    1.08544770e-03
32       8.20000000e-01    1.30554790e-03
33       8.30000000e-01    1.55006947e-03
34       8.40000000e-01    1.81871657e-03
35       8.50000000e-01    2.11098488e-03
36       8.60000000e-01    2.42620501e-03
37       8.70000000e-01    2.76357703e-03
38       8.80000000e-01    3.12219703e-03
39       8.90000000e-01    3.50107846e-03
40       9.00000000e-01    3.89917179e-03
41       9.10000000e-01    4.31538435e-03
42       9.20000000e-01    4.74860128e-03
43       9.30000000e-01    5.19770673e-03
44       9.40000000e-01    5.66160414e-03
45       9.50000000e-01    6.13923402e-03
46       9.60000000e-01    6.62958825e-03
47       9.70000000e-01    7.13172017e-03
48       9.80000000e-01    7.64475034e-03
49       9.90000000e-01    8.16786886e-03
50       1.00000000e+00    8.70033455e-03
51       1.01000000e+00    9.24147173e-03
52       1.02000000e+00    9.79066565e-03
53       1.03000000e+00    1.03473570e-02
54       1.04000000e+00    1.09110363e-02
55       1.05000000e+00    1.14812379e-02
56       1.06000000e+00    1.20575350e-02
57       1.07000000e+00    1.26395347e-02
58       1.08000000e+00    1.32268733e-02
59       1.09000000e+00    1.38192129e-02
60       1.10000000e+00    1.44162382e-02
61       1.11000000e+00    1.50176533e-02
62       1.12000000e+00    1.56231799e-02
63       1.13000000e+00    1.62325550e-02
64       1.14000000e+00    1.68455298e-02
65       1.15000000e+00    1.74618679e-02
66       1.16000000e+00    1.80813444e-02
67       1.17000000e+00    1.87037452e-02
68       1.18000000e+00    1.93288662e-02
69       1.19000000e+00    1.99565127e-02
70       1.20000000e+00    2.05864990e-02
End of Xyce(TM) Simulation
