Index       V(B)             I(V_B)      
0        5.00000000e-01    1.11556048e-10
1        5.10000000e-01    1.46857761e-10
2        5.20000000e-01    1.95135810e-10
3        5.30000000e-01    2.61744141e-10
4        5.40000000e-01    3.54408033e-10
5        5.50000000e-01    4.84314590e-10
6        5.60000000e-01    6.67713964e-10
7        5.70000000e-01    9.28272501e-10
8        5.80000000e-01    1.30053338e-09
9        5.90000000e-01    1.83500879e-09
10       6.00000000e-01    2.60567616e-09
11       6.10000000e-01    3.72101705e-09
12       6.20000000e-01    5.34027621e-09
13       6.30000000e-01    7.69741186e-09
14       6.40000000e-01    1.11363735e-08
15       6.50000000e-01    1.61630541e-08
16       6.60000000e-01    2.35217632e-08
17       6.70000000e-01    3.43077126e-08
18       6.80000000e-01    5.01322771e-08
19       6.90000000e-01    7.33653580e-08
20       7.00000000e-01    1.07489865e-07
21       7.10000000e-01    1.57618116e-07
22       7.20000000e-01    2.31239673e-07
23       7.30000000e-01    3.39294884e-07
24       7.40000000e-01    4.97696062e-07
25       7.50000000e-01    7.29441522e-07
26       7.60000000e-01    1.06746886e-06
27       7.70000000e-01    1.55833710e-06
28       7.80000000e-01    2.26665301e-06
29       7.90000000e-01    3.27978915e-06
30       8.00000000e-01    4.71184147e-06
31       8.10000000e-01    6.70505624e-06
32       8.20000000e-01    9.42657304e-06
33       8.30000000e-01    1.30591264e-05
34       8.40000000e-01    1.77871114e-05
35       8.50000000e-01    2.37840629e-05
36       8.60000000e-01    3.12129662e-05
37       8.70000000e-01    4.02510766e-05
38       8.80000000e-01    5.11230870e-05
39       8.90000000e-01    6.40868589e-05
40       9.00000000e-01    7.93845924e-05
41       9.10000000e-01    9.72330617e-05
42       9.20000000e-01    1.17842360e-04
43       9.30000000e-01    1.41426648e-04
44       9.40000000e-01    1.68204142e-04
45       9.50000000e-01    1.98393569e-04
46       9.60000000e-01    2.32210473e-04
47       9.70000000e-01    2.69863785e-04
48       9.80000000e-01    3.11552762e-04
49       9.90000000e-01    3.57464322e-04
50       1.00000000e+00    4.07770835e-04
51       1.01000000e+00    4.62628425e-04
52       1.02000000e+00    5.22175806e-04
53       1.03000000e+00    5.86533622e-04
54       1.04000000e+00    6.55804269e-04
55       1.05000000e+00    7.30072114e-04
56       1.06000000e+00    8.09404063e-04
57       1.07000000e+00    8.93850392e-04
58       1.08000000e+00    9.83445781e-04
59       1.09000000e+00    1.07821050e-03
60       1.10000000e+00    1.17815172e-03
61       1.11000000e+00    1.28326507e-03
62       1.12000000e+00    1.39353645e-03
63       1.13000000e+00    1.50894484e-03
64       1.14000000e+00    1.62946719e-03
65       1.15000000e+00    1.75508863e-03
66       1.16000000e+00    1.88582523e-03
67       1.17000000e+00    2.02177666e-03
68       1.18000000e+00    2.16324820e-03
69       1.19000000e+00    2.31102724e-03
70       1.20000000e+00    2.46698041e-03
0        5.00000000e-01    1.49621942e-08
1        5.10000000e-01    2.01527242e-08
2        5.20000000e-01    2.71903507e-08
3        5.30000000e-01    3.67400205e-08
4        5.40000000e-01    4.97068520e-08
5        5.50000000e-01    6.73225776e-08
6        5.60000000e-01    9.12626737e-08
7        5.70000000e-01    1.23804691e-07
8        5.80000000e-01    1.68041565e-07
9        5.90000000e-01    2.28167701e-07
10       6.00000000e-01    3.09860288e-07
11       6.10000000e-01    4.20783222e-07
12       6.20000000e-01    5.71245344e-07
13       6.30000000e-01    7.75046428e-07
14       6.40000000e-01    1.05054028e-06
15       6.50000000e-01    1.42192891e-06
