Index       FREQ          Re(I(V_C_B))      Im(I(V_C_B))      Re(I(V_B_B))      Im(I(V_B_B))      Re(I(V_E_B))      Im(I(V_E_B))      Re(I(V_S_B))      Im(I(V_S_B))   
0        1.00000000e+09    5.63114908e-04   -7.02017953e-04    5.68264692e-05    1.96041055e-03   -6.31969813e-04   -1.26804106e-03    1.20284363e-05    9.64845950e-06
0        1.00000000e+09    1.22503152e-03   -7.63625650e-04    6.90113034e-05    2.06729076e-03   -1.30712724e-03   -1.32465553e-03    1.30844136e-05    2.09904148e-05
0        1.00000000e+09    2.62081804e-03   -8.97924243e-04    9.26207822e-05    2.23975150e-03   -2.72882536e-03   -1.38673672e-03    1.53865306e-05    4.49094647e-05
0        1.00000000e+09    5.50805115e-03   -1.20470615e-03    1.41836911e-04    2.54499104e-03   -5.67053424e-03   -1.43468151e-03    2.06461750e-05    9.43966190e-05
0        1.00000000e+09    1.12533068e-02   -1.94116257e-03    2.50264392e-04    3.11272778e-03   -1.15368478e-02   -1.36447648e-03    3.32766314e-05    1.92911273e-04
0        1.00000000e+09    2.18514605e-02   -3.77516373e-03    4.98907325e-04    4.16519326e-03   -2.24151195e-02   -7.64826166e-04    6.47516754e-05    3.74796638e-04
0        1.00000000e+09    3.89171842e-02   -8.17840696e-03    1.06481223e-03    5.96817007e-03   -4.01224169e-02    1.54204179e-03    1.40420525e-04    6.68195096e-04
0        1.00000000e+09    6.08751449e-02   -1.77037102e-02    2.32597911e-03    8.78862323e-03   -6.35056261e-02    7.86804028e-03    3.04502116e-04    1.04704665e-03
0        1.00000000e+09    7.70813430e-02   -3.74599592e-02    5.90302712e-03    1.36105369e-02   -8.36304029e-02    2.25200810e-02    6.46032739e-04    1.32934131e-03
0        1.00000000e+09    6.48391445e-02   -6.19016246e-02    1.52900824e-02    1.86583252e-02   -8.12005896e-02    4.21210955e-02    1.07136268e-03    1.12220383e-03
0        1.00000000e+09    4.73873673e-02   -6.94169244e-02    2.32592992e-02    1.90971838e-02   -7.18532281e-02    4.94960830e-02    1.20656158e-03    8.23657592e-04
0        1.00000000e+09    3.82129611e-02   -7.10612901e-02    2.78567386e-02    1.84495362e-02   -6.73108212e-02    5.19443451e-02    1.24112148e-03    6.67408749e-04
0        1.00000000e+09    3.19446998e-02   -7.07550822e-02    3.11350889e-02    1.76985805e-02   -6.43221409e-02    5.24956012e-02    1.24235209e-03    5.60900550e-04
0        1.00000000e+09    2.70685762e-02   -6.93777378e-02    3.37396766e-02    1.69541632e-02   -6.20333932e-02    5.19455711e-02    1.22514043e-03    4.78003578e-04
0        1.00000000e+09    2.31614766e-02   -6.74887100e-02    3.59054462e-02    1.62517993e-02   -6.02659223e-02    5.08254255e-02    1.19899954e-03    4.11485120e-04
0        1.00000000e+09    1.99876779e-02   -6.54130854e-02    3.77517825e-02    1.56009119e-02   -5.89089468e-02    4.94548242e-02    1.16948645e-03    3.57349276e-04
0        1.00000000e+09    2.62954018e-02   -5.73181908e-03    6.93831857e-04    4.73777644e-03   -2.71493507e-02    2.59486639e-04    1.60117047e-04    7.34556000e-04
0        1.00000000e+09    4.01522343e-02   -1.12091734e-02    1.42018728e-03    6.67012553e-03   -4.18861852e-02    3.41511938e-03    3.13763608e-04    1.12392854e-03
0        1.00000000e+09    5.31788034e-02   -2.33774310e-02    3.60387541e-03    1.02642447e-02   -5.74390696e-02    1.16200335e-02    6.56390782e-04    1.49315279e-03
0        1.00000000e+09    4.82126137e-02   -4.29342094e-02    1.08608138e-02    1.52172689e-02   -6.02840571e-02    2.63574740e-02    1.21062966e-03    1.35946652e-03
0        1.00000000e+09    3.25980177e-02   -5.02147089e-02    1.90098182e-02    1.59859074e-02   -5.30312405e-02    3.33047660e-02    1.42340461e-03    9.24035400e-04
0        1.00000000e+09    2.43167613e-02   -5.12890528e-02    2.37053757e-02    1.51940010e-02   -4.94850059e-02    3.54014879e-02    1.46286889e-03    6.93563866e-04
0        1.00000000e+09    1.91954450e-02   -5.09468618e-02    2.69018751e-02    1.43164572e-02   -4.75606833e-02    3.60790476e-02    1.46336322e-03    5.51356996e-04
0        1.00000000e+09    1.53987265e-02   -4.97865714e-02    2.93898073e-02    1.34815973e-02   -4.62297990e-02    3.58591982e-02    1.44126520e-03    4.45775838e-04
0        1.00000000e+09    1.24562078e-02   -4.82210863e-02    3.14421762e-02    1.27276334e-02   -4.53063133e-02    3.51297641e-02    1.40792927e-03    3.63688789e-04
0        1.00000000e+09    1.01333214e-02   -4.65206688e-02    3.31945898e-02    1.20609196e-02   -4.46987709e-02    3.41611421e-02    1.37085970e-03    2.98607128e-04
0        1.00000000e+09    8.26753580e-03   -4.48324124e-02    3.47228626e-02    1.14744213e-02   -4.43245725e-02    3.31119518e-02    1.33417418e-03    2.46039295e-04
0        1.00000000e+09    6.73778356e-03   -4.32268538e-02    3.60730261e-02    1.09606345e-02   -4.41106665e-02    3.20635865e-02    1.29985689e-03    2.02632776e-04
