Index       V(B)             I(V_E)      
0        5.00000000e-01    1.16547080e-08
1        5.10000000e-01    1.71124699e-08
2        5.20000000e-01    2.51257492e-08
3        5.30000000e-01    3.68907867e-08
4        5.40000000e-01    5.41633951e-08
5        5.50000000e-01    7.95202701e-08
6        5.60000000e-01    1.16741828e-07
7        5.70000000e-01    1.71372539e-07
8        5.80000000e-01    2.51539912e-07
9        5.90000000e-01    3.69149259e-07
10       6.00000000e-01    5.41622245e-07
11       6.10000000e-01    7.94418377e-07
12       6.20000000e-01    1.16467703e-06
13       6.30000000e-01    1.70645166e-06
14       6.40000000e-01    2.49818683e-06
15       6.50000000e-01    3.65331883e-06
16       6.60000000e-01    5.33515586e-06
17       6.70000000e-01    7.77748270e-06
18       6.80000000e-01    1.13125551e-05
19       6.90000000e-01    1.64081463e-05
20       7.00000000e-01    2.37148199e-05
21       7.10000000e-01    3.41232567e-05
22       7.20000000e-01    4.88288546e-05
23       7.30000000e-01    6.93966544e-05
24       7.40000000e-01    9.78140603e-05
25       7.50000000e-01    1.36512669e-04
26       7.60000000e-01    1.88336003e-04
27       7.70000000e-01    2.56430924e-04
28       7.80000000e-01    3.44051700e-04
29       7.90000000e-01    4.54288705e-04
30       8.00000000e-01    5.89762924e-04
31       8.10000000e-01    7.52348986e-04
32       8.20000000e-01    9.42989580e-04
33       8.30000000e-01    1.16163944e-03
34       8.40000000e-01    1.40733920e-03
35       8.50000000e-01    1.67838672e-03
36       8.60000000e-01    1.97255804e-03
37       8.70000000e-01    2.28733318e-03
38       8.80000000e-01    2.62009522e-03
39       8.90000000e-01    2.96828673e-03
40       9.00000000e-01    3.32951983e-03
41       9.10000000e-01    3.70164375e-03
42       9.20000000e-01    4.08277736e-03
43       9.30000000e-01    4.47131518e-03
44       9.40000000e-01    4.86591500e-03
45       9.50000000e-01    5.26547399e-03
46       9.60000000e-01    5.66909896e-03
47       9.70000000e-01    6.07607157e-03
48       9.80000000e-01    6.48583125e-03
49       9.90000000e-01    6.89792639e-03
50       1.00000000e+00    7.31200494e-03
51       1.01000000e+00    7.72779034e-03
52       1.02000000e+00    8.14506491e-03
53       1.03000000e+00    8.56365667e-03
54       1.04000000e+00    8.98342896e-03
55       1.05000000e+00    9.40427236e-03
56       1.06000000e+00    9.82609861e-03
57       1.07000000e+00    1.02488358e-02
58       1.08000000e+00    1.06724250e-02
59       1.09000000e+00    1.10968172e-02
60       1.10000000e+00    1.15219717e-02
61       1.11000000e+00    1.19478542e-02
62       1.12000000e+00    1.23744356e-02
63       1.13000000e+00    1.28016912e-02
64       1.14000000e+00    1.32295998e-02
65       1.15000000e+00    1.36581431e-02
66       1.16000000e+00    1.40873052e-02
67       1.17000000e+00    1.45170722e-02
68       1.18000000e+00    1.49474317e-02
69       1.19000000e+00    1.53783725e-02
70       1.20000000e+00    1.58098845e-02
End of Xyce(TM) Simulation
