Index       TIME              V(B)             I(V_B)      
0        0.00000000e+00    5.00000000e-01    1.11556048e-10
1        1.00000000e-03    5.00700000e-01    1.13841801e-10
2        3.00000000e-03    5.02100000e-01    1.18271528e-10
3        7.00000000e-03    5.04900000e-01    1.27673143e-10
4        1.50000000e-02    5.10500000e-01    1.49102210e-10
5        3.10000000e-02    5.21700000e-01    2.05165542e-10
6        6.30000000e-02    5.44100000e-01    4.02557623e-10
7        1.27000000e-01    5.88900000e-01    1.76643042e-09
8        2.27000000e-01    6.58900000e-01    2.25682888e-08
9        3.27000000e-01    7.28900000e-01    3.25284628e-07
10       3.81849106e-01    7.67294374e-01    1.40714239e-06
11       4.01500666e-01    7.81050466e-01    2.35700592e-06
12       4.21152227e-01    7.94806559e-01    3.90771395e-06
13       4.40803787e-01    8.08562651e-01    6.37789226e-06
14       4.60455347e-01    8.22318743e-01    1.01809129e-05
15       4.80106907e-01    8.36074835e-01    1.57892815e-05
16       4.99758467e-01    8.49830927e-01    2.36712290e-05
17       5.19410028e-01    8.63587019e-01    3.42593593e-05
18       5.39061588e-01    8.77343111e-01    4.80411363e-05
19       5.58713148e-01    8.91099204e-01    6.56501393e-05
20       5.60742720e-01    8.92519904e-01    6.77129480e-05
21       5.62772292e-01    8.93940604e-01    6.98240302e-05
22       5.66831435e-01    8.96782005e-01    7.41935686e-05
23       5.74949722e-01    9.02464806e-01    8.35389354e-05
24       5.83068009e-01    9.08147607e-01    9.37247850e-05
25       5.91186297e-01    9.13830408e-01    1.04789322e-04
26       6.07422871e-01    9.25196010e-01    1.29711872e-04
27       6.23659445e-01    9.36561612e-01    1.58623078e-04
28       6.56132594e-01    9.59292816e-01    2.29695227e-04
29       6.88605742e-01    9.82024020e-01    3.20499000e-04
30       7.53552039e-01    1.02748643e+00    5.69897384e-04
31       8.18498337e-01    1.07294884e+00    9.19735274e-04
32       9.18498337e-01    1.14294884e+00    1.66597919e-03
33       1.00000000e+00    1.20000000e+00    2.46698235e-03
0        0.00000000e+00    5.00000000e-01    1.49621942e-08
1        1.00000000e-03    5.00700000e-01    1.52733163e-08
2        3.00000000e-03    5.02100000e-01    1.59255588e-08
3        7.00000000e-03    5.04900000e-01    1.73091806e-08
4        1.50000000e-02    5.10500000e-01    2.04562039e-08
5        3.10000000e-02    5.21700000e-01    2.86152864e-08
6        6.30000000e-02    5.44100000e-01    5.62834975e-08
7        1.27000000e-01    5.88900000e-01    2.20616123e-07
8        1.91000000e-01    6.33700000e-01    8.67476941e-07
9        2.00426134e-01    6.40298294e-01    1.06009411e-06
10       2.09852269e-01    6.46896588e-01    1.29467022e-06
11       2.28704537e-01    6.60093176e-01    1.92613510e-06
12       2.47556806e-01    6.73289764e-01    2.85204427e-06
13       2.66409075e-01    6.86486352e-01    4.19457507e-06
14       2.85261343e-01    6.99682940e-01    6.11230519e-06
15       3.04113612e-01    7.12879528e-01    8.80002022e-06
16       3.22965881e-01    7.26076116e-01    1.24821945e-05
17       3.41818149e-01    7.39272704e-01    1.74043438e-05
18       3.58785191e-01    7.51149634e-01    2.31202550e-05
19       3.75752233e-01    7.63026563e-01    3.03112241e-05
20       3.77754554e-01    7.64428188e-01    3.12711094e-05
21       3.79756875e-01    7.65829812e-01    3.22563566e-05
22       3.83761516e-01    7.68633061e-01    3.43051072e-05
23       3.91770800e-01    7.74239560e-01    3.87310073e-05
24       3.99780083e-01    7.79846058e-01    4.36237249e-05
25       4.07789367e-01    7.85452557e-01    4.90180271e-05
26       4.23807934e-01    7.96665554e-01    6.14520470e-05
27       4.55845068e-01    8.19091548e-01    9.39320313e-05
28       5.19919336e-01    8.63943535e-01    1.98208215e-04
29       5.83993604e-01    9.08795523e-01    3.72009783e-04
30       6.48067872e-01    9.53647510e-01    6.32921476e-04
31       7.48067872e-01    1.02364751e+00    1.24942166e-03
32       8.48067872e-01    1.09364751e+00    2.97623069e-03
33       8.61644871e-01    1.10315141e+00    3.46507722e-03
34       8.75221870e-01    1.11265531e+00    4.03635324e-03
35       9.02375867e-01    1.13166311e+00    5.43069472e-03
36       9.56683863e-01    1.16967870e+00    9.05407165e-03
37       1.00000000e+00    1.20000000e+00    1.24315773e-02
End of Xyce(TM) Parameter Sweep
