Index       V(1)            {-I(VDS)}    
112      2.24000000e+00    1.40535636e-03
113      2.26000000e+00    1.42971632e-03
114      2.28000000e+00    1.45419968e-03
115      2.30000000e+00    1.47880355e-03
116      2.32000000e+00    1.50352508e-03
117      2.34000000e+00    1.52836140e-03
118      2.36000000e+00    1.55330970e-03
119      2.38000000e+00    1.57836716e-03
120      2.40000000e+00    1.60353098e-03
121      2.42000000e+00    1.62879838e-03
122      2.44000000e+00    1.65416662e-03
123      2.46000000e+00    1.67963296e-03
124      2.48000000e+00    1.70519469e-03
125      2.50000000e+00    1.73084913e-03
126      2.52000000e+00    1.75659361e-03
127      2.54000000e+00    1.78242548e-03
128      2.56000000e+00    1.80834214e-03
129      2.58000000e+00    1.83434100e-03
130      2.60000000e+00    1.86041950e-03
131      2.62000000e+00    1.88657508e-03
132      2.64000000e+00    1.91280525e-03
133      2.66000000e+00    1.93910752e-03
134      2.68000000e+00    1.96547944e-03
135      2.70000000e+00    1.99191856e-03
136      2.72000000e+00    2.01842250e-03
137      2.74000000e+00    2.04498887e-03
138      2.76000000e+00    2.07161533e-03
139      2.78000000e+00    2.09829956e-03
140      2.80000000e+00    2.12503927e-03
141      2.82000000e+00    2.15183220e-03
142      2.84000000e+00    2.17867611e-03
143      2.86000000e+00    2.20556879e-03
144      2.88000000e+00    2.23250806e-03
145      2.90000000e+00    2.25949178e-03
146      2.92000000e+00    2.28651781e-03
147      2.94000000e+00    2.31358407e-03
148      2.96000000e+00    2.34068848e-03
149      2.98000000e+00    2.36782899e-03
150      3.00000000e+00    2.39500360e-03
End of Xyce(TM) Simulation
