Index         TIME               V(3)               V(4)           {I(VID)+0.5}
0       0.0000000000e+00   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
1       5.0000000000e-10   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
2       1.5000000000e-09   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
3       3.5000000000e-09   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
4       5.5000000000e-09   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
5       7.5000000000e-09   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
6       9.5000000000e-09   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
7       1.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
8       1.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
9       1.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
10      1.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
11      1.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
12      2.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
13      2.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
14      2.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
15      2.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
16      2.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
17      3.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
18      3.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
19      3.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
20      3.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
21      3.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
22      4.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
23      4.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
24      4.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
25      4.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
26      4.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
27      5.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
28      5.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
29      5.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
30      5.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
31      5.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
32      6.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
33      6.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
34      6.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
35      6.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
36      6.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
37      7.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
38      7.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
39      7.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
40      7.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
41      7.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
42      8.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
43      8.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
44      8.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
45      8.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
46      8.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
47      9.1500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
48      9.3500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
49      9.5500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
50      9.7500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
51      9.9500000000e-08   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
52      1.0150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
53      1.0350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
54      1.0550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
55      1.0750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
56      1.0950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
57      1.1150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
58      1.1350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
59      1.1550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
60      1.1750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
61      1.1950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
62      1.2150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
63      1.2350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
64      1.2550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
65      1.2750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
66      1.2950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
67      1.3150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
68      1.3350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
69      1.3550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
70      1.3750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
71      1.3950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
72      1.4150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
73      1.4350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
74      1.4550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
75      1.4750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
76      1.4950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
77      1.5150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
78      1.5350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
79      1.5550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
80      1.5750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
81      1.5950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
82      1.6150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
83      1.6350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
84      1.6550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
85      1.6750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
86      1.6950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
87      1.7150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
88      1.7350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
89      1.7550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
90      1.7750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
91      1.7950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
92      1.8150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
93      1.8350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
94      1.8550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
95      1.8750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
96      1.8950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
97      1.9150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
98      1.9350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
99      1.9550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
100     1.9750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
101     1.9950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
102     2.0150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
103     2.0350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
104     2.0550000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
105     2.0750000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
106     2.0950000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
107     2.1150000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
108     2.1350000000e-07   5.0000000000e-01   0.0000000000e+00   5.0000000000e-01   
