Index       TIME              V(1)             V(4,5)            {V(6)}      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    6.28318531e-10    1.04719755e-10    1.04719755e-10
2        3.00000000e-10    1.88495559e-09    3.14159265e-10    3.14159265e-10
3        7.00000000e-10    4.39822972e-09    7.33038286e-10    7.33038286e-10
4        1.50000000e-09    9.42477796e-09    1.57079633e-09    1.57079633e-09
5        3.10000000e-09    1.94778745e-08    3.24631241e-09    3.24631241e-09
6        6.30000000e-09    3.95840674e-08    6.59734457e-09    6.59734457e-09
7        1.27000000e-08    7.97964534e-08    1.32994089e-08    1.32994089e-08
8        2.55000000e-08    1.60221225e-07    2.67035376e-08    2.67035376e-08
9        5.11000000e-08    3.21070769e-07    5.35117949e-08    5.35117949e-08
10       1.02300000e-07    6.42769857e-07    1.07128309e-07    1.07128309e-07
11       2.04700000e-07    1.28616803e-06    2.14361339e-07    2.14361339e-07
12       4.09500000e-07    2.57296438e-06    4.28827397e-07    4.28827397e-07
13       8.19100000e-07    5.14655709e-06    8.57759514e-07    8.57759514e-07
14       1.63830000e-06    1.02937425e-05    1.71562375e-06    1.71562375e-06
15       3.27670000e-06    2.05881133e-05    3.43135222e-06    3.43135222e-06
16       6.55350000e-06    4.11768549e-05    6.86280915e-06    6.86280915e-06
17       1.31071000e-05    8.23543380e-05    1.37257230e-05    1.37257230e-05
18       2.62143000e-05    1.64709304e-04    2.74515506e-05    2.74515506e-05
19       5.24287000e-05    3.29419232e-04    5.49032053e-05    5.49032053e-05
20       1.04857500e-04    6.58839056e-04    1.09806509e-04    1.09806509e-04
21       2.09715100e-04    1.31767845e-03    2.19613076e-04    2.19613076e-04
22       4.19430300e-04    2.63535525e-03    4.39225875e-04    4.39225875e-04
23       8.38860700e-04    5.27069282e-03    8.78448804e-04    8.78448804e-04
24       1.67772150e-03    1.05412398e-02    1.75687331e-03    1.75687331e-03
25       3.35544310e-03    2.10813090e-02    3.51355150e-03    3.51355150e-03
26       6.71088630e-03    4.21532485e-02    7.02554142e-03    7.02554142e-03
27       1.34217727e-02    8.42315625e-02    1.40385937e-02    1.40385937e-02
28       2.01326591e-02    1.26160139e-01    2.10266898e-02    2.10266898e-02
29       2.68435455e-02    1.67864443e-01    2.79774071e-02    2.79774071e-02
30       3.35544319e-02    2.09270336e-01    3.48783893e-02    3.48783893e-02
31       4.02653183e-02    2.50304212e-01    4.17173686e-02    4.17173686e-02
32       4.69762047e-02    2.90893125e-01    4.84821875e-02    4.84821875e-02
33       5.36870911e-02    3.30964922e-01    5.51608204e-02    5.51608204e-02
34       6.03979775e-02    3.70448367e-01    6.17413945e-02    6.17413945e-02
35       6.71088639e-02    4.09273271e-01    6.82122119e-02    6.82122119e-02
36       7.38197503e-02    4.47370616e-01    7.45617693e-02    7.45617693e-02
37       8.05306367e-02    4.84672675e-01    8.07787792e-02    8.07787792e-02
38       8.72415231e-02    5.21113139e-01    8.68521898e-02    8.68521898e-02
39       9.39524095e-02    5.56627227e-01    9.27712045e-02    9.27712045e-02
40       1.00663296e-01    5.91151806e-01    9.85253010e-02    9.85253010e-02
41       1.07374182e-01    6.24625503e-01    1.04104250e-01    1.04104250e-01
42       1.14085069e-01    6.56988811e-01    1.09498135e-01    1.09498135e-01
43       1.20795955e-01    6.88184199e-01    1.14697367e-01    1.14697367e-01
44       1.27506842e-01    7.18156212e-01    1.19692702e-01    1.19692702e-01
45       1.34217728e-01    7.46851568e-01    1.24475261e-01    1.24475261e-01
46       1.40928614e-01    7.74219256e-01    1.29036543e-01    1.29036543e-01
47       1.47639501e-01    8.00210625e-01    1.33368437e-01    1.33368437e-01
48       1.54350387e-01    8.24779470e-01    1.37463245e-01    1.37463245e-01
49       1.61061274e-01    8.47882116e-01    1.41313686e-01    1.41313686e-01
50       1.67772160e-01    8.69477494e-01    1.44912916e-01    1.44912916e-01
51       1.74483046e-01    8.89527213e-01    1.48254535e-01    1.48254535e-01
52       1.81193933e-01    9.07995632e-01    1.51332605e-01    1.51332605e-01
53       1.87904819e-01    9.24849919e-01    1.54141653e-01    1.54141653e-01
54       1.94615706e-01    9.40060113e-01    1.56676685e-01    1.56676685e-01
55       2.01326592e-01    9.53599174e-01    1.58933196e-01    1.58933196e-01
56       2.08037478e-01    9.65443036e-01    1.60907173e-01    1.60907173e-01
57       2.14748365e-01    9.75570642e-01    1.62595107e-01    1.62595107e-01
58       2.21459251e-01    9.83963990e-01    1.63993998e-01    1.63993998e-01
59       2.28170138e-01    9.90608158e-01    1.65101360e-01    1.65101360e-01
60       2.34881024e-01    9.95491336e-01    1.65915223e-01    1.65915223e-01
61       2.41591910e-01    9.98604842e-01    1.66434140e-01    1.66434140e-01
62       2.48302797e-01    9.99943142e-01    1.66657190e-01    1.66657190e-01
63       2.55013683e-01    9.99503856e-01    1.66583976e-01    1.66583976e-01
64       2.61724570e-01    9.97287766e-01    1.66214628e-01    1.66214628e-01
65       2.68435456e-01    9.93298811e-01    1.65549802e-01    1.65549802e-01
66       2.75146342e-01    9.87544082e-01    1.64590680e-01    1.64590680e-01
67       2.81857229e-01    9.80033810e-01    1.63338968e-01    1.63338968e-01
