Index   TIME           V(1)           V(2)           V(3)           V(4)           
66      2.91013552e+00   8.98735784e+03   6.24556862e+00   3.95363203e+00   7.95571984e-01   
67      2.93234443e+00   6.76648932e+03   6.30597685e+00   3.83036340e+00   7.99752372e-01   
68      2.95455334e+00   4.54562079e+03   6.36638508e+00   3.65759320e+00   8.03892904e-01   
69      2.96523334e+00   3.47763099e+03   6.39543469e+00   3.54128350e+00   8.05870068e-01   
70      2.97324335e+00   2.67663863e+03   6.41722190e+00   3.42758974e+00   8.07347057e-01   
71      2.97925085e+00   2.07589437e+03   6.43356231e+00   3.31720525e+00   8.08451511e-01   
72      2.98525835e+00   1.47515011e+03   6.44990272e+00   3.16883622e+00   8.09553164e-01   
73      2.98853954e+00   1.14703499e+03   6.45882754e+00   3.05957667e+00   8.10153688e-01   
74      2.99100042e+00   9.00948651e+02   6.46552115e+00   2.95470004e+00   8.10603537e-01   
75      2.99284609e+00   7.16383897e+02   6.47054136e+00   2.85514581e+00   8.10940618e-01   
76      2.99423034e+00   5.77960331e+02   6.47430652e+00   2.76189803e+00   8.11193257e-01   
77      2.99561459e+00   4.39536766e+02   6.47807168e+00   2.64299521e+00   8.11445749e-01   
78      2.99663659e+00   3.37337416e+02   6.48085153e+00   2.52806451e+00   8.11632072e-01   
79      2.99740309e+00   2.60687904e+02   6.48293642e+00   2.41612088e+00   8.11771762e-01   
80      2.99797797e+00   2.03200770e+02   6.48450008e+00   2.30792535e+00   8.11876500e-01   
81      2.99840913e+00   1.60085419e+02   6.48567283e+00   2.20435178e+00   8.11955037e-01   
82      2.99865166e+00   1.35833034e+02   6.48633250e+00   2.13300540e+00   8.11999208e-01   
83      2.99889418e+00   1.11580650e+02   6.48699218e+00   2.04758889e+00   8.12043374e-01   
84      2.99907608e+00   9.33913612e+01   6.48748693e+00   1.97030671e+00   8.12076496e-01   
85      2.99925797e+00   7.52020726e+01   6.48798168e+00   1.87622981e+00   8.12109615e-01   
86      2.99939439e+00   6.15601062e+01   6.48835275e+00   1.78929936e+00   8.12134453e-01   
87      2.99949123e+00   5.18764842e+01   6.48861615e+00   1.71497054e+00   8.12152083e-01   
88      2.99958807e+00   4.21928621e+01   6.48887954e+00   1.62523899e+00   8.12169712e-01   
89      2.99965841e+00   3.51585230e+01   6.48907088e+00   1.54603062e+00   8.12182518e-01   
90      2.99972876e+00   2.81241838e+01   6.48926221e+00   1.44907993e+00   8.12195323e-01   
