Index        V(D)             V(G)             I(VS)
105     2.16000000e-01   2.55000000e+00   1.49873295e-06   
106     2.88000000e-01   2.55000000e+00   1.91943080e-06   
107     3.60000000e-01   2.55000000e+00   2.30078680e-06   
108     4.32000000e-01   2.55000000e+00   2.64286816e-06   
109     5.04000000e-01   2.55000000e+00   2.94575386e-06   
110     5.76000000e-01   2.55000000e+00   3.20954498e-06   
111     6.48000000e-01   2.55000000e+00   3.43438668e-06   
112     7.20000000e-01   2.55000000e+00   3.62051822e-06   
113     7.92000000e-01   2.55000000e+00   3.76839484e-06   
114     8.64000000e-01   2.55000000e+00   3.87899895e-06   
115     9.36000000e-01   2.55000000e+00   3.95460634e-06   
116     1.00800000e+00   2.55000000e+00   4.00022082e-06   
117     1.08000000e+00   2.55000000e+00   4.02438051e-06   
118     1.15200000e+00   2.55000000e+00   4.03647659e-06   
119     1.22400000e+00   2.55000000e+00   4.04292749e-06   
120     1.29600000e+00   2.55000000e+00   4.04686321e-06   
121     1.36800000e+00   2.55000000e+00   4.04962138e-06   
122     1.44000000e+00   2.55000000e+00   4.05177998e-06   
123     1.51200000e+00   2.55000000e+00   4.05360658e-06   
124     1.58400000e+00   2.55000000e+00   4.05523538e-06   
125     1.65600000e+00   2.55000000e+00   4.05673888e-06   
126     1.72800000e+00   2.55000000e+00   4.05815890e-06   
127     1.80000000e+00   2.55000000e+00   4.05952089e-06   
128     1.87200000e+00   2.55000000e+00   4.06084113e-06   
129     1.94400000e+00   2.55000000e+00   4.06213041e-06   
130     2.01600000e+00   2.55000000e+00   4.06339616e-06   
131     2.08800000e+00   2.55000000e+00   4.06464363e-06   
132     2.16000000e+00   2.55000000e+00   4.06587663e-06   
133     2.23200000e+00   2.55000000e+00   4.06709801e-06   
134     2.30400000e+00   2.55000000e+00   4.06830990e-06   
135     2.37600000e+00   2.55000000e+00   4.06951395e-06   
136     2.44800000e+00   2.55000000e+00   4.07071145e-06   
137     2.52000000e+00   2.55000000e+00   4.07190344e-06   
138     2.59200000e+00   2.55000000e+00   4.07309071e-06   
139     2.66400000e+00   2.55000000e+00   4.07427396e-06   
140     2.73600000e+00   2.55000000e+00   4.07545371e-06   
141     2.80800000e+00   2.55000000e+00   4.07663043e-06   
142     2.88000000e+00   2.55000000e+00   4.07780449e-06   
143     2.95200000e+00   2.55000000e+00   4.07897621e-06   
144     3.02400000e+00   2.55000000e+00   4.08014586e-06   
145     3.09600000e+00   2.55000000e+00   4.08131366e-06   
146     3.16800000e+00   2.55000000e+00   4.08247982e-06   
147     3.24000000e+00   2.55000000e+00   4.08364450e-06   
148     3.31200000e+00   2.55000000e+00   4.08480785e-06   
149     3.38400000e+00   2.55000000e+00   4.08596999e-06   
150     3.45600000e+00   2.55000000e+00   4.08713105e-06   
151     3.52800000e+00   2.55000000e+00   4.08829112e-06   
152     3.60000000e+00   2.55000000e+00   4.08945028e-06   
153     0.00000000e+00   3.07500000e+00   0.00000000e+00   
154     7.20000000e-02   3.07500000e+00   6.71218756e-07   
155     1.44000000e-01   3.07500000e+00   1.30892767e-06   
156     2.16000000e-01   3.07500000e+00   1.91316613e-06   
157     2.88000000e-01   3.07500000e+00   2.48397382e-06   
158     3.60000000e-01   3.07500000e+00   3.02139086e-06   
159     4.32000000e-01   3.07500000e+00   3.52545797e-06   
160     5.04000000e-01   3.07500000e+00   3.99621678e-06   
161     5.76000000e-01   3.07500000e+00   4.43371027e-06   
162     6.48000000e-01   3.07500000e+00   4.83798344e-06   
163     7.20000000e-01   3.07500000e+00   5.20908447e-06   
164     7.92000000e-01   3.07500000e+00   5.54706653e-06   
165     8.64000000e-01   3.07500000e+00   5.85199106e-06   
166     9.36000000e-01   3.07500000e+00   6.12393350e-06   
167     1.00800000e+00   3.07500000e+00   6.36299422e-06   
168     1.08000000e+00   3.07500000e+00   6.56931997e-06   
169     1.15200000e+00   3.07500000e+00   6.74314818e-06   
170     1.22400000e+00   3.07500000e+00   6.88490253e-06   
171     1.29600000e+00   3.07500000e+00   6.99540256e-06   
172     1.36800000e+00   3.07500000e+00   7.07630241e-06   
173     1.44000000e+00   3.07500000e+00   7.13083422e-06   
174     1.51200000e+00   3.07500000e+00   7.16441666e-06   
175     1.58400000e+00   3.07500000e+00   7.18387574e-06   
176     1.65600000e+00   3.07500000e+00   7.19523535e-06   
177     1.72800000e+00   3.07500000e+00   7.20236966e-06   
178     1.80000000e+00   3.07500000e+00   7.20732741e-06   
179     1.87200000e+00   3.07500000e+00   7.21111876e-06   
180     1.94400000e+00   3.07500000e+00   7.21424692e-06   
181     2.01600000e+00   3.07500000e+00   7.21697440e-06   
182     2.08800000e+00   3.07500000e+00   7.21944605e-06   
183     2.16000000e+00   3.07500000e+00   7.22174635e-06   
184     2.23200000e+00   3.07500000e+00   7.22392708e-06   
185     2.30400000e+00   3.07500000e+00   7.22602146e-06   
186     2.37600000e+00   3.07500000e+00   7.22805159e-06   
187     2.44800000e+00   3.07500000e+00   7.23003272e-06   
188     2.52000000e+00   3.07500000e+00   7.23197564e-06   
189     2.59200000e+00   3.07500000e+00   7.23388823e-06   
190     2.66400000e+00   3.07500000e+00   7.23577633e-06   
191     2.73600000e+00   3.07500000e+00   7.23764439e-06   
192     2.80800000e+00   3.07500000e+00   7.23949581e-06   
193     2.88000000e+00   3.07500000e+00   7.24133331e-06   
194     2.95200000e+00   3.07500000e+00   7.24315900e-06   
195     3.02400000e+00   3.07500000e+00   7.24497461e-06   
196     3.09600000e+00   3.07500000e+00   7.24678154e-06   
197     3.16800000e+00   3.07500000e+00   7.24858093e-06   
198     3.24000000e+00   3.07500000e+00   7.25037375e-06   
199     3.31200000e+00   3.07500000e+00   7.25216080e-06   
200     3.38400000e+00   3.07500000e+00   7.25394274e-06   
201     3.45600000e+00   3.07500000e+00   7.25572015e-06   
202     3.52800000e+00   3.07500000e+00   7.25749352e-06   
203     3.60000000e+00   3.07500000e+00   7.25926327e-06   
204     0.00000000e+00   3.60000000e+00   -5.08219768e-21  
205     7.20000000e-02   3.60000000e+00   7.93219983e-07   
206     1.44000000e-01   3.60000000e+00   1.55851440e-06   
207     2.16000000e-01   3.60000000e+00   2.29591286e-06   
208     2.88000000e-01   3.60000000e+00   3.00544500e-06   
209     3.60000000e-01   3.60000000e+00   3.68714050e-06   
210     4.32000000e-01   3.60000000e+00   4.34102907e-06   
211     5.04000000e-01   3.60000000e+00   4.96714054e-06   
212     5.76000000e-01   3.60000000e+00   5.56550482e-06   
213     6.48000000e-01   3.60000000e+00   6.13615200e-06   
214     7.20000000e-01   3.60000000e+00   6.67911238e-06   
215     7.92000000e-01   3.60000000e+00   7.19441659e-06   
216     8.64000000e-01   3.60000000e+00   7.68209568e-06   
217     9.36000000e-01   3.60000000e+00   8.14218127e-06   
218     1.00800000e+00   3.60000000e+00   8.57470585e-06   
219     1.08000000e+00   3.60000000e+00   8.97970310e-06   
220     1.15200000e+00   3.60000000e+00   9.35720840e-06   
221     1.22400000e+00   3.60000000e+00   9.70725967e-06   
222     1.29600000e+00   3.60000000e+00   1.00298987e-05   
223     1.36800000e+00   3.60000000e+00   1.03251730e-05   
224     1.44000000e+00   3.60000000e+00   1.05931396e-05   
225     1.51200000e+00   3.60000000e+00   1.08338704e-05   
226     1.58400000e+00   3.60000000e+00   1.10474630e-05   
227     1.65600000e+00   3.60000000e+00   1.12340595e-05   
228     1.72800000e+00   3.60000000e+00   1.13938825e-05   
229     1.80000000e+00   3.60000000e+00   1.15273051e-05   
230     1.87200000e+00   3.60000000e+00   1.16349861e-05   
231     1.94400000e+00   3.60000000e+00   1.17181194e-05   
232     2.01600000e+00   3.60000000e+00   1.17788202e-05   
233     2.08800000e+00   3.60000000e+00   1.18204949e-05   
234     2.16000000e+00   3.60000000e+00   1.18477059e-05   
235     2.23200000e+00   3.60000000e+00   1.18652054e-05   
236     2.30400000e+00   3.60000000e+00   1.18768078e-05   
237     2.37600000e+00   3.60000000e+00   1.18850034e-05   
238     2.44800000e+00   3.60000000e+00   1.18912329e-05   
239     2.52000000e+00   3.60000000e+00   1.18962938e-05   
240     2.59200000e+00   3.60000000e+00   1.19006303e-05   
241     2.66400000e+00   3.60000000e+00   1.19044972e-05   
242     2.73600000e+00   3.60000000e+00   1.19080464e-05   
243     2.80800000e+00   3.60000000e+00   1.19113726e-05   
244     2.88000000e+00   3.60000000e+00   1.19145370e-05   
245     2.95200000e+00   3.60000000e+00   1.19175806e-05   
246     3.02400000e+00   3.60000000e+00   1.19205318e-05   
247     3.09600000e+00   3.60000000e+00   1.19234106e-05   
248     3.16800000e+00   3.60000000e+00   1.19262319e-05   
249     3.24000000e+00   3.60000000e+00   1.19290066e-05   
250     3.31200000e+00   3.60000000e+00   1.19317430e-05   
251     3.38400000e+00   3.60000000e+00   1.19344476e-05   
252     3.45600000e+00   3.60000000e+00   1.19371254e-05   
253     3.52800000e+00   3.60000000e+00   1.19397806e-05   
254     3.60000000e+00   3.60000000e+00   1.19424163e-05   
End of Xyce(TM) Simulation
