Index         TIME              V(VOUT)          {V(IN)+1.0}           V(1)
130     1.1351784957e-10   5.3870621087e-01   2.8313482975e+00   2.0000000000e+00   
131     1.1594763590e-10   5.1278525125e-01   2.8376197554e+00   2.0000000000e+00   
132     1.1788727863e-10   4.9547840429e-01   2.8430755842e+00   2.0000000000e+00   
133     1.1982692137e-10   4.8173108673e-01   2.8490331677e+00   2.0000000000e+00   
134     1.2176656410e-10   4.7138102459e-01   2.8554525247e+00   2.0000000000e+00   
135     1.2346054422e-10   4.6466762696e-01   2.8613440085e+00   2.0000000000e+00   
136     1.2515452435e-10   4.5988445779e-01   2.8674236930e+00   2.0000000000e+00   
137     1.2684850448e-10   4.5661251480e-01   2.8735841330e+00   2.0000000000e+00   
138     1.2821553201e-10   4.5475026820e-01   2.8785540364e+00   2.0000000000e+00   
139     1.2958255955e-10   4.5347992268e-01   2.8834750346e+00   2.0000000000e+00   
140     1.3075994223e-10   4.5272424532e-01   2.8876510376e+00   2.0000000000e+00   
141     1.3193732491e-10   4.5222360535e-01   2.8917441170e+00   2.0000000000e+00   
142     1.3311470760e-10   4.5191165278e-01   2.8957384677e+00   2.0000000000e+00   
143     1.3429209028e-10   4.5173675279e-01   2.8996227630e+00   2.0000000000e+00   
144     1.3546947296e-10   4.5165944964e-01   2.9033894667e+00   2.0000000000e+00   
145     1.3664685565e-10   4.5165005970e-01   2.9070341149e+00   2.0000000000e+00   
146     1.3782423833e-10   4.5168655926e-01   2.9105546524e+00   2.0000000000e+00   
147     1.3900162102e-10   4.5175281969e-01   2.9139508584e+00   2.0000000000e+00   
148     1.4135638638e-10   4.5193433214e-01   2.9202623106e+00   2.0000000000e+00   
149     1.4371115175e-10   4.5212539736e-01   2.9261153879e+00   2.0000000000e+00   
150     1.4606591712e-10   4.5230564810e-01   2.9315377586e+00   2.0000000000e+00   
151     1.5077544786e-10   4.5258892055e-01   2.9408874892e+00   2.0000000000e+00   
152     1.5548497859e-10   4.5278842216e-01   2.9489437338e+00   2.0000000000e+00   
153     1.6490404006e-10   4.5297182190e-01   2.9611565341e+00   2.0000000000e+00   
154     1.7432310153e-10   4.5301138257e-01   2.9704209966e+00   2.0000000000e+00   
155     1.8374216301e-10   4.5297349076e-01   2.9774588144e+00   2.0000000000e+00   
156     1.9316122448e-10   4.5290176564e-01   2.9828120195e+00   2.0000000000e+00   
157     2.0258028595e-10   4.5282094749e-01   2.9868880728e+00   2.0000000000e+00   
158     2.1199934742e-10   4.5274361709e-01   2.9899941506e+00   2.0000000000e+00   
159     2.3083747036e-10   4.5262840605e-01   2.9938234897e+00   2.0000000000e+00   
160     2.4967559331e-10   4.5254720320e-01   2.9961857290e+00   2.0000000000e+00   
161     2.6851371625e-10   4.5249288071e-01   2.9976438769e+00   2.0000000000e+00   
162     3.0618996213e-10   4.5244155923e-01   2.9989468043e+00   2.0000000000e+00   
163     3.4386620802e-10   4.5241786931e-01   2.9995291463e+00   2.0000000000e+00   
164     4.1921869979e-10   4.5240415032e-01   2.9998644538e+00   2.0000000000e+00   
165     4.9457119156e-10   4.5240037761e-01   2.9999610050e+00   2.0000000000e+00   
166     6.4527617511e-10   4.5239948429e-01   2.9999934803e+00   2.0000000000e+00   
167     9.4668614219e-10   4.5240020460e-01   2.9999994459e+00   2.0000000000e+00   
168     1.5495060764e-09   4.5240214998e-01   3.0000000206e+00   2.0000000000e+00   
169     2.7551459447e-09   4.5240608723e-01   3.0000000489e+00   2.0000000000e+00   
170     5.1664256814e-09   4.5241394236e-01   3.0000000495e+00   2.0000000000e+00   
171     9.9889851548e-09   4.5242956565e-01   3.0000000492e+00   2.0000000000e+00   
172     1.9634104102e-08   4.5246043972e-01   3.0000000487e+00   2.0000000000e+00   
173     2.9279223048e-08   4.5249096913e-01   3.0000000481e+00   2.0000000000e+00   
174     4.8569460942e-08   4.5255065820e-01   3.0000000471e+00   2.0000000000e+00   
175     6.7859698835e-08   4.5260900307e-01   3.0000000460e+00   2.0000000000e+00   
176     1.0644017462e-07   4.5272057497e-01   3.0000000440e+00   2.0000000000e+00   
