Index       TIME              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
147      0.00000000e+00    4.65317345e-01    4.65317345e-01    0.00000000e+00    0.00000000e+00    4.65317345e-01    4.65317345e-01    0.00000000e+00    0.00000000e+00   -6.64501518e+00   -6.64501518e+00   -4.65317345e-04   -4.65317345e-04    0.00000000e+00    0.00000000e+00    4.65317345e-04    4.65317345e-04    3.14159265e+00    3.14159265e+00   -6.66450152e+01   -6.66450152e+01
148      1.00000000e-10    4.65327332e-01    4.65327332e-01    0.00000000e+00    0.00000000e+00    4.65327332e-01    4.65327332e-01    0.00000000e+00    0.00000000e+00   -6.64482875e+00   -6.64482875e+00   -4.65427205e-04   -4.65427205e-04    0.00000000e+00    0.00000000e+00    4.65427205e-04    4.65427205e-04    3.14159265e+00    3.14159265e+00   -6.66429647e+01   -6.66429647e+01
149      3.00000000e-10    4.65347327e-01    4.65347327e-01    0.00000000e+00    0.00000000e+00    4.65347327e-01    4.65347327e-01    0.00000000e+00    0.00000000e+00   -6.64445552e+00   -6.64445552e+00   -4.65447304e-04   -4.65447304e-04    0.00000000e+00    0.00000000e+00    4.65447304e-04    4.65447304e-04    3.14159265e+00    3.14159265e+00   -6.66425896e+01   -6.66425896e+01
150      7.00000000e-10    4.65387316e-01    4.65387316e-01    0.00000000e+00    0.00000000e+00    4.65387316e-01    4.65387316e-01    0.00000000e+00    0.00000000e+00   -6.64370915e+00   -6.64370915e+00   -4.65487288e-04   -4.65487288e-04    0.00000000e+00    0.00000000e+00    4.65487288e-04    4.65487288e-04    3.14159265e+00    3.14159265e+00   -6.66418435e+01   -6.66418435e+01
151      1.50000000e-09    4.65467287e-01    4.65467287e-01    0.00000000e+00    0.00000000e+00    4.65467287e-01    4.65467287e-01    0.00000000e+00    0.00000000e+00   -6.64221671e+00   -6.64221671e+00   -4.65567252e-04   -4.65567252e-04    0.00000000e+00    0.00000000e+00    4.65567252e-04    4.65567252e-04    3.14159265e+00    3.14159265e+00   -6.66403515e+01   -6.66403515e+01
152      3.10000000e-09    4.65627204e-01    4.65627204e-01    0.00000000e+00    0.00000000e+00    4.65627204e-01    4.65627204e-01    0.00000000e+00    0.00000000e+00   -6.63923308e+00   -6.63923308e+00   -4.65727152e-04   -4.65727152e-04    0.00000000e+00    0.00000000e+00    4.65727152e-04    4.65727152e-04    3.14159265e+00    3.14159265e+00   -6.66373688e+01   -6.66373688e+01
153      6.30000000e-09    4.65946935e-01    4.65946935e-01    0.00000000e+00    0.00000000e+00    4.65946935e-01    4.65946935e-01    0.00000000e+00    0.00000000e+00   -6.63327081e+00   -6.63327081e+00   -4.66046851e-04   -4.66046851e-04    0.00000000e+00    0.00000000e+00    4.66046851e-04    4.66046851e-04    3.14159265e+00    3.14159265e+00   -6.66314084e+01   -6.66314084e+01
154      1.27000000e-08    4.66585988e-01    4.66585988e-01    0.00000000e+00    0.00000000e+00    4.66585988e-01    4.66585988e-01    0.00000000e+00    0.00000000e+00   -6.62136615e+00   -6.62136615e+00   -4.66685840e-04   -4.66685840e-04    0.00000000e+00    0.00000000e+00    4.66685840e-04    4.66685840e-04    3.14159265e+00    3.14159265e+00   -6.66195075e+01   -6.66195075e+01
155      2.55000000e-08    4.67862490e-01    4.67862490e-01    0.00000000e+00    0.00000000e+00    4.67862490e-01    4.67862490e-01    0.00000000e+00    0.00000000e+00   -6.59763545e+00   -6.59763545e+00   -4.67962216e-04   -4.67962216e-04    0.00000000e+00    0.00000000e+00    4.67962216e-04    4.67962216e-04    3.14159265e+00    3.14159265e+00   -6.65957842e+01   -6.65957842e+01
156      5.11000000e-08    4.70409285e-01    4.70409285e-01    0.00000000e+00    0.00000000e+00    4.70409285e-01    4.70409285e-01    0.00000000e+00    0.00000000e+00   -6.55048229e+00   -6.55048229e+00   -4.70508769e-04   -4.70508769e-04    0.00000000e+00    0.00000000e+00    4.70508769e-04    4.70508769e-04    3.14159265e+00    3.14159265e+00   -6.65486456e+01   -6.65486456e+01
