Index       FREQ              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
15      -3.50000000e+05   -8.61036895e-04   -8.61036895e-04    2.94589755e-05    2.94589755e-05    8.61540693e-04    8.61540693e-04    3.10739262e+00    3.10739262e+00   -6.12944841e+01   -6.12944841e+01    8.60972111e-07    8.60972111e-07   -3.13524945e-08   -3.13524945e-08    8.61542776e-07    8.61542776e-07   -3.63991430e-02   -3.63991430e-02   -1.21294463e+02   -1.21294463e+02
16      -3.40000000e+05   -2.14705876e-04   -2.14705876e-04    1.10487226e-04    1.10487226e-04    2.41466437e-04    2.41466437e-04    2.66633492e+00    2.66633492e+00   -7.23428645e+01   -7.23428645e+01    2.14469844e-07    2.14469844e-07   -1.10945899e-07   -1.10945899e-07    2.41466988e-07    2.41466988e-07   -4.77394014e-01   -4.77394014e-01   -1.32342845e+02   -1.32342845e+02
17      -3.30000000e+05   -6.23985697e-04   -6.23985697e-04    4.58916764e-04    4.58916764e-04    7.74572622e-04    7.74572622e-04    2.50746202e+00    2.50746202e+00   -6.22187572e+01   -6.22187572e+01    6.23034156e-07    6.23034156e-07   -4.60210568e-07   -4.60210568e-07    7.74574287e-07    7.74574287e-07   -6.36204082e-01   -6.36204082e-01   -1.22218738e+02   -1.22218738e+02
18      -3.20000000e+05   -7.81668069e-05   -7.81668069e-05    9.28699781e-05    9.28699781e-05    1.21387324e-04    1.21387324e-04    2.27044035e+00    2.27044035e+00   -7.83165332e+01   -7.83165332e+01    7.79800808e-08    7.79800808e-08   -9.30271417e-08   -9.30271417e-08    1.21387570e-07    1.21387570e-07   -8.73162919e-01   -8.73162919e-01   -1.38316516e+02   -1.38316516e+02
19      -3.10000000e+05   -1.23474349e-04   -1.23474349e-04    3.06166275e-04    3.06166275e-04    3.30126798e-04    3.30126798e-04    1.95413724e+00    1.95413724e+00   -6.96263844e+01   -6.96263844e+01    1.22878002e-07    1.22878002e-07   -3.06406777e-07   -3.06406777e-07    3.30127424e-07    3.30127424e-07   -1.18940320e+00   -1.18940320e+00   -1.29626368e+02   -1.29626368e+02
20      -3.00000000e+05   -4.60762141e-05   -4.60762141e-05   -2.79613796e-05   -2.79613796e-05    5.38967184e-05    5.38967184e-05   -2.59615114e+00   -2.59615114e+00   -8.53687535e+01   -8.53687535e+01    4.61289201e-08    4.61289201e-08    2.78745280e-08    2.78745280e-08    5.38968142e-08    5.38968142e-08    5.43556555e-01    5.43556555e-01   -1.45368738e+02   -1.45368738e+02
21      -2.90000000e+05   -1.60976715e-04   -1.60976715e-04   -3.51550531e-04   -3.51550531e-04    3.86653952e-04    3.86653952e-04   -2.00020450e+00   -2.00020450e+00   -6.82535509e+01   -6.82535509e+01    1.61617283e-07    1.61617283e-07    3.51257211e-07    3.51257211e-07    3.86654593e-07    3.86654593e-07    1.13956603e+00    1.13956603e+00   -1.28253537e+02   -1.28253537e+02
22      -2.80000000e+05   -1.39779894e-04   -1.39779894e-04   -8.99619085e-05   -8.99619085e-05    1.66227446e-04    1.66227446e-04   -2.56973190e+00   -2.56973190e+00   -7.55859454e+01   -7.55859454e+01    1.39938163e-07    1.39938163e-07    8.97159948e-08    8.97159948e-08    1.66227703e-07    1.66227703e-07    5.70101462e-01    5.70101462e-01   -1.35585932e+02   -1.35585932e+02
23      -2.70000000e+05   -9.54928250e-04   -9.54928250e-04   -6.26907240e-04   -6.26907240e-04    1.14232248e-03    1.14232248e-03   -2.56066389e+00   -2.56066389e+00   -5.88442255e+01   -5.88442255e+01    9.55991773e-07    9.55991773e-07    6.25287242e-07    6.25287242e-07    1.14232412e-06    1.14232412e-06    5.79232309e-01    5.79232309e-01   -1.18844213e+02   -1.18844213e+02
24      -2.60000000e+05   -2.23166178e-04   -2.23166178e-04   -2.08022933e-05   -2.08022933e-05    2.24133617e-04    2.24133617e-04   -3.04864687e+00   -3.04864687e+00   -7.29898600e+01   -7.29898600e+01    2.23200161e-07    2.23200161e-07    2.04377227e-08    2.04377227e-08    2.24133916e-07    2.24133916e-07    9.13121583e-02    9.13121583e-02   -1.32989848e+02   -1.32989848e+02
25      -2.50000000e+05   -1.63032683e-03   -1.63032683e-03    4.83532898e-05    4.83532898e-05    1.63104372e-03    1.63104372e-03    3.11194270e+00    3.11194270e+00   -5.57506880e+01   -5.57506880e+01    1.63025087e-06    1.63025087e-06   -5.09142012e-08   -5.09142012e-08    1.63104573e-06    1.63104573e-06   -3.12207516e-02   -3.12207516e-02   -1.15750677e+02   -1.15750677e+02
26      -2.40000000e+05   -1.86492438e-04   -1.86492438e-04    8.41359517e-05    8.41359517e-05    2.04592981e-04    2.04592981e-04    2.71778330e+00    2.71778330e+00   -7.37821854e+01   -7.37821854e+01    1.86365564e-07    1.86365564e-07   -8.44171757e-08   -8.44171757e-08    2.04593214e-07    2.04593214e-07   -4.25317320e-01   -4.25317320e-01   -1.33782176e+02   -1.33782176e+02
27      -2.30000000e+05   -1.23419784e-03   -1.23419784e-03    9.29986454e-04    9.29986454e-04    1.54535404e-03    1.54535404e-03    2.49584580e+00    2.49584580e+00   -5.62194402e+01   -5.62194402e+01    1.23285388e-06    1.23285388e-06   -9.31770033e-07   -9.31770033e-07    1.54535565e-06    1.54535565e-06   -6.47191981e-01   -6.47191981e-01   -1.16219431e+02   -1.16219431e+02
28      -2.20000000e+05   -7.51773694e-05   -7.51773694e-05    9.55036965e-05    9.55036965e-05    1.21542556e-04    1.21542556e-04    2.23766321e+00    2.23766321e+00   -7.83054327e+01   -7.83054327e+01    7.50453545e-08    7.50453545e-08   -9.56076143e-08   -9.56076143e-08    1.21542672e-07    1.21542672e-07   -9.05311743e-01   -9.05311743e-01   -1.38305424e+02   -1.38305424e+02
29      -2.10000000e+05   -2.22765471e-04   -2.22765471e-04    6.61917229e-04    6.61917229e-04    6.98397361e-04    6.98397361e-04    1.89543532e+00    1.89543532e+00   -6.31179482e+01   -6.31179482e+01    2.21892092e-07    2.21892092e-07   -6.62211162e-07   -6.62211162e-07    6.98397969e-07    6.98397969e-07   -1.24747680e+00   -1.24747680e+00   -1.23117941e+02   -1.23117941e+02
30      -2.00000000e+05   -1.84558733e-05   -1.84558733e-05    6.41845233e-06    6.41845233e-06    1.95401072e-05    1.95401072e-05    2.80690328e+00    2.80690328e+00   -9.41814611e+01   -9.41814611e+01    1.84478077e-08    1.84478077e-08   -6.44164467e-09   -6.44164467e-09    1.95401227e-08    1.95401227e-08   -3.35946014e-01   -3.35946014e-01   -1.54181454e+02   -1.54181454e+02
31      -1.90000000e+05   -3.13525840e-04   -3.13525840e-04   -8.08321532e-04   -8.08321532e-04    8.66996051e-04    8.66996051e-04   -1.94080460e+00   -1.94080460e+00   -6.12396576e+01   -6.12396576e+01    3.14490818e-07    3.14490818e-07    8.07947244e-07    8.07947244e-07    8.66996669e-07    8.66996669e-07    1.19959425e+00    1.19959425e+00   -1.21239651e+02   -1.21239651e+02
32      -1.80000000e+05   -7.12562941e-05   -7.12562941e-05   -7.30279309e-05   -7.30279309e-05    1.02032045e-04    1.02032045e-04   -2.34391631e+00   -2.34391631e+00   -7.98252682e+01   -7.98252682e+01    7.13388867e-08    7.13388867e-08    7.29473419e-08    7.29473419e-08    1.02032110e-07    1.02032110e-07    7.96545371e-01    7.96545371e-01   -1.39825263e+02   -1.39825263e+02
33      -1.70000000e+05   -2.31085279e-03   -2.31085279e-03   -1.57172667e-03   -1.57172667e-03    2.79470309e-03    2.79470309e-03   -2.54431339e+00   -2.54431339e+00   -5.10732865e+01   -5.10732865e+01    2.31253162e-06    2.31253162e-06    1.56925836e-06    1.56925836e-06    2.79470468e-06    2.79470468e-06    5.96211125e-01    5.96211125e-01   -1.11073282e+02   -1.11073282e+02
34      -1.60000000e+05   -1.60072157e-04   -1.60072157e-04   -4.94118464e-05   -4.94118464e-05    1.67525001e-04    1.67525001e-04   -2.84218729e+00   -2.84218729e+00   -7.55184074e+01   -7.55184074e+01    1.60121831e-07    1.60121831e-07    4.92509243e-08    4.92509243e-08    1.67525086e-07    1.67525086e-07    2.98400050e-01    2.98400050e-01   -1.35518403e+02   -1.35518403e+02
35      -1.50000000e+05   -4.39895045e-03   -4.39895045e-03    1.09088249e-04    1.09088249e-04    4.40030286e-03    4.40030286e-03    3.11679904e+00    3.11679904e+00   -4.71303486e+01   -4.71303486e+01    4.39884763e-06    4.39884763e-06   -1.13234162e-07   -1.13234162e-07    4.40030482e-06    4.40030482e-06   -2.57360950e-02   -2.57360950e-02   -1.07130345e+02   -1.07130345e+02
36      -1.40000000e+05   -1.68792493e-04   -1.68792493e-04    5.70331512e-05    5.70331512e-05    1.78167579e-04    1.78167579e-04    2.81574749e+00    2.81574749e+00   -7.49834264e+01   -7.49834264e+01    1.68742324e-07    1.68742324e-07   -5.71816288e-08   -5.71816288e-08    1.78167648e-07    1.78167648e-07   -3.26724811e-01   -3.26724811e-01   -1.34983423e+02   -1.34983423e+02
37      -1.30000000e+05   -3.74108500e-03   -3.74108500e-03    2.84154590e-03    2.84154590e-03    4.69788251e-03    4.69788251e-03    2.49200670e+00    2.49200670e+00   -4.65619570e+01   -4.65619570e+01    3.73876399e-06    3.73876399e-06   -2.84460167e-06   -2.84460167e-06    4.69788408e-06    4.69788408e-06   -6.50402769e-01   -6.50402769e-01   -1.06561954e+02   -1.06561954e+02
38      -1.20000000e+05   -5.08349931e-05   -5.08349931e-05    1.34652964e-04    1.34652964e-04    1.43929209e-04    1.43929209e-04    1.93177972e+00    1.93177972e+00   -7.68370212e+01   -7.68370212e+01    5.07334672e-08    5.07334672e-08   -1.34691292e-07   -1.34691292e-07    1.43929250e-07    1.43929250e-07   -1.21056692e+00   -1.21056692e+00   -1.36837019e+02   -1.36837019e+02
39      -1.10000000e+05   -7.16292967e-04   -7.16292967e-04    2.35062863e-03    2.35062863e-03    2.45734218e-03    2.45734218e-03    1.86658141e+00    1.86658141e+00   -5.21906873e+01   -5.21906873e+01    7.14668329e-07    7.14668329e-07   -2.35112370e-06   -2.35112370e-06    2.45734276e-06    2.45734276e-06   -1.27570239e+00   -1.27570239e+00   -1.12190685e+02   -1.12190685e+02
40      -1.00000000e+05    1.28283817e-04    1.28283817e-04    7.12712794e-05    7.12712794e-05    1.46752625e-04    1.46752625e-04    5.07113351e-01    5.07113351e-01   -7.66682825e+01   -7.66682825e+01   -1.28328598e-07   -1.28328598e-07   -7.11906763e-08   -7.11906763e-08    1.46752654e-07    1.46752654e-07   -2.63510762e+00   -2.63510762e+00   -1.36668281e+02   -1.36668281e+02
41      -9.00000000e+04   -1.23590799e-03   -1.23590799e-03   -3.60499120e-03   -3.60499120e-03    3.81096184e-03    3.81096184e-03   -1.90107159e+00   -1.90107159e+00   -4.83793080e+01   -4.83793080e+01    1.23794657e-06    1.23794657e-06    3.60429232e-06    3.60429232e-06    3.81096245e-06    3.81096245e-06    1.23995557e+00    1.23995557e+00   -1.08379307e+02   -1.08379307e+02
42      -8.00000000e+04    2.23863609e-04    2.23863609e-04   -1.58825582e-04   -1.58825582e-04    2.74482205e-04    2.74482205e-04   -6.17056605e-01   -6.17056605e-01   -7.12297161e+01   -7.12297161e+01   -2.23783774e-07   -2.23783774e-07    1.58938108e-07    1.58938108e-07    2.74482239e-07    2.74482239e-07    2.52403339e+00    2.52403339e+00   -1.31229715e+02   -1.31229715e+02
43      -7.00000000e+04   -1.32268815e-02   -1.32268815e-02   -9.34829856e-03   -9.34829856e-03    1.61969466e-02    1.61969466e-02   -2.52634075e+00   -2.52634075e+00   -3.58113370e+01   -3.58113370e+01    1.32309931e-05    1.32309931e-05    9.34248107e-06    9.34248107e-06    1.61969482e-05    1.61969482e-05    6.14812079e-01    6.14812079e-01   -9.58113361e+01   -9.58113361e+01
44      -6.00000000e+04    1.00357670e-04    1.00357670e-04   -4.47654575e-04   -4.47654575e-04    4.58766041e-04    4.58766041e-04   -1.35025726e+00   -1.35025726e+00   -6.67681747e+01   -6.67681747e+01   -1.00188908e-07   -1.00188908e-07    4.47692409e-07    4.47692409e-07    4.58766074e-07    4.58766074e-07    1.79095840e+00    1.79095840e+00   -1.26768174e+02   -1.26768174e+02
45      -5.00000000e+04   -3.89976137e-02   -3.89976137e-02    3.79877955e-04    3.79877955e-04    3.89994639e-02    3.89994639e-02    3.13185191e+00    3.13185191e+00   -2.81788273e+01   -2.81788273e+01    3.89974944e-05    3.89974944e-05   -3.92129417e-07   -3.92129417e-07    3.89994658e-05    3.89994658e-05   -1.00549076e-02   -1.00549076e-02   -8.81788268e+01   -8.81788268e+01
46      -4.00000000e+04   -2.49631405e-04   -2.49631405e-04   -5.88662491e-04   -5.88662491e-04    6.39405479e-04    6.39405479e-04   -1.97187511e+00   -1.97187511e+00   -6.38844729e+01   -6.38844729e+01    2.49779352e-07    2.49779352e-07    5.88599752e-07    5.88599752e-07    6.39405499e-07    6.39405499e-07    1.16946622e+00    1.16946622e+00   -1.23884473e+02   -1.23884473e+02
47      -3.00000000e+04   -7.03464105e-02   -7.03464105e-02    5.17613672e-02    5.17613672e-02    8.73376013e-02    8.73376013e-02    2.50723725e+00    2.50723725e+00   -2.11759748e+01   -2.11759748e+01    7.03366537e-05    7.03366537e-05   -5.17746272e-05   -5.17746272e-05    8.73376028e-05    8.73376028e-05   -6.34543902e-01   -6.34543902e-01   -8.11759746e+01   -8.11759746e+01
48      -2.00000000e+04   -6.44570228e-04   -6.44570228e-04   -4.22634870e-04   -4.22634870e-04    7.70772996e-04    7.70772996e-04   -2.56123150e+00   -2.56123150e+00   -6.22614702e+01   -6.22614702e+01    6.44623338e-07    6.44623338e-07    4.22553870e-07    4.22553870e-07    7.70773002e-07    7.70773002e-07    5.80235492e-01    5.80235492e-01   -1.22261470e+02   -1.22261470e+02
49      -1.00000000e+04   -9.20403026e-02   -9.20403026e-02    2.85256883e-01    2.85256883e-01    2.99738063e-01    2.99738063e-01    1.88290815e+00    1.88290815e+00   -1.04651621e+01   -1.04651621e+01    9.20223794e-05    9.20223794e-05   -2.85262666e-04   -2.85262666e-04    2.99738064e-04    2.99738064e-04   -1.25874733e+00   -1.25874733e+00   -7.04651621e+01   -7.04651621e+01
50       0.00000000e+00    9.43061545e-01    9.43061545e-01    0.00000000e+00    0.00000000e+00    9.43061545e-01    9.43061545e-01    0.00000000e+00    0.00000000e+00   -5.09199283e-01   -5.09199283e-01   -9.43061545e-04   -9.43061545e-04    0.00000000e+00    0.00000000e+00    9.43061545e-04    9.43061545e-04    3.14159265e+00    3.14159265e+00   -6.05091993e+01   -6.05091993e+01
51       1.00000000e+04   -9.20403026e-02   -9.20403026e-02   -2.85256883e-01   -2.85256883e-01    2.99738063e-01    2.99738063e-01   -1.88290815e+00   -1.88290815e+00   -1.04651621e+01   -1.04651621e+01    9.20223794e-05    9.20223794e-05    2.85262666e-04    2.85262666e-04    2.99738064e-04    2.99738064e-04    1.25874733e+00    1.25874733e+00   -7.04651621e+01   -7.04651621e+01
52       2.00000000e+04   -6.44570228e-04   -6.44570228e-04    4.22634870e-04    4.22634870e-04    7.70772996e-04    7.70772996e-04    2.56123150e+00    2.56123150e+00   -6.22614702e+01   -6.22614702e+01    6.44623338e-07    6.44623338e-07   -4.22553870e-07   -4.22553870e-07    7.70773002e-07    7.70773002e-07   -5.80235492e-01   -5.80235492e-01   -1.22261470e+02   -1.22261470e+02
53       3.00000000e+04   -7.03464105e-02   -7.03464105e-02   -5.17613672e-02   -5.17613672e-02    8.73376013e-02    8.73376013e-02   -2.50723725e+00   -2.50723725e+00   -2.11759748e+01   -2.11759748e+01    7.03366537e-05    7.03366537e-05    5.17746272e-05    5.17746272e-05    8.73376028e-05    8.73376028e-05    6.34543902e-01    6.34543902e-01   -8.11759746e+01   -8.11759746e+01
54       4.00000000e+04   -2.49631405e-04   -2.49631405e-04    5.88662491e-04    5.88662491e-04    6.39405479e-04    6.39405479e-04    1.97187511e+00    1.97187511e+00   -6.38844729e+01   -6.38844729e+01    2.49779352e-07    2.49779352e-07   -5.88599752e-07   -5.88599752e-07    6.39405499e-07    6.39405499e-07   -1.16946622e+00   -1.16946622e+00   -1.23884473e+02   -1.23884473e+02
55       5.00000000e+04   -3.89976137e-02   -3.89976137e-02   -3.79877955e-04   -3.79877955e-04    3.89994639e-02    3.89994639e-02   -3.13185191e+00   -3.13185191e+00   -2.81788273e+01   -2.81788273e+01    3.89974944e-05    3.89974944e-05    3.92129417e-07    3.92129417e-07    3.89994658e-05    3.89994658e-05    1.00549076e-02    1.00549076e-02   -8.81788268e+01   -8.81788268e+01
56       6.00000000e+04    1.00357670e-04    1.00357670e-04    4.47654575e-04    4.47654575e-04    4.58766041e-04    4.58766041e-04    1.35025726e+00    1.35025726e+00   -6.67681747e+01   -6.67681747e+01   -1.00188908e-07   -1.00188908e-07   -4.47692409e-07   -4.47692409e-07    4.58766074e-07    4.58766074e-07   -1.79095840e+00   -1.79095840e+00   -1.26768174e+02   -1.26768174e+02
57       7.00000000e+04   -1.32268815e-02   -1.32268815e-02    9.34829856e-03    9.34829856e-03    1.61969466e-02    1.61969466e-02    2.52634075e+00    2.52634075e+00   -3.58113370e+01   -3.58113370e+01    1.32309931e-05    1.32309931e-05   -9.34248107e-06   -9.34248107e-06    1.61969482e-05    1.61969482e-05   -6.14812079e-01   -6.14812079e-01   -9.58113361e+01   -9.58113361e+01
58       8.00000000e+04    2.23863609e-04    2.23863609e-04    1.58825582e-04    1.58825582e-04    2.74482205e-04    2.74482205e-04    6.17056605e-01    6.17056605e-01   -7.12297161e+01   -7.12297161e+01   -2.23783774e-07   -2.23783774e-07   -1.58938108e-07   -1.58938108e-07    2.74482239e-07    2.74482239e-07   -2.52403339e+00   -2.52403339e+00   -1.31229715e+02   -1.31229715e+02
59       9.00000000e+04   -1.23590799e-03   -1.23590799e-03    3.60499120e-03    3.60499120e-03    3.81096184e-03    3.81096184e-03    1.90107159e+00    1.90107159e+00   -4.83793080e+01   -4.83793080e+01    1.23794657e-06    1.23794657e-06   -3.60429232e-06   -3.60429232e-06    3.81096245e-06    3.81096245e-06   -1.23995557e+00   -1.23995557e+00   -1.08379307e+02   -1.08379307e+02
60       1.00000000e+05    1.28283817e-04    1.28283817e-04   -7.12712794e-05   -7.12712794e-05    1.46752625e-04    1.46752625e-04   -5.07113351e-01   -5.07113351e-01   -7.66682825e+01   -7.66682825e+01   -1.28328598e-07   -1.28328598e-07    7.11906763e-08    7.11906763e-08    1.46752654e-07    1.46752654e-07    2.63510762e+00    2.63510762e+00   -1.36668281e+02   -1.36668281e+02
61       1.10000000e+05   -7.16292967e-04   -7.16292967e-04   -2.35062863e-03   -2.35062863e-03    2.45734218e-03    2.45734218e-03   -1.86658141e+00   -1.86658141e+00   -5.21906873e+01   -5.21906873e+01    7.14668329e-07    7.14668329e-07    2.35112370e-06    2.35112370e-06    2.45734276e-06    2.45734276e-06    1.27570239e+00    1.27570239e+00   -1.12190685e+02   -1.12190685e+02
62       1.20000000e+05   -5.08349931e-05   -5.08349931e-05   -1.34652964e-04   -1.34652964e-04    1.43929209e-04    1.43929209e-04   -1.93177972e+00   -1.93177972e+00   -7.68370212e+01   -7.68370212e+01    5.07334672e-08    5.07334672e-08    1.34691292e-07    1.34691292e-07    1.43929250e-07    1.43929250e-07    1.21056692e+00    1.21056692e+00   -1.36837019e+02   -1.36837019e+02
63       1.30000000e+05   -3.74108500e-03   -3.74108500e-03   -2.84154590e-03   -2.84154590e-03    4.69788251e-03    4.69788251e-03   -2.49200670e+00   -2.49200670e+00   -4.65619570e+01   -4.65619570e+01    3.73876399e-06    3.73876399e-06    2.84460167e-06    2.84460167e-06    4.69788408e-06    4.69788408e-06    6.50402769e-01    6.50402769e-01   -1.06561954e+02   -1.06561954e+02
64       1.40000000e+05   -1.68792493e-04   -1.68792493e-04   -5.70331512e-05   -5.70331512e-05    1.78167579e-04    1.78167579e-04   -2.81574749e+00   -2.81574749e+00   -7.49834264e+01   -7.49834264e+01    1.68742324e-07    1.68742324e-07    5.71816288e-08    5.71816288e-08    1.78167648e-07    1.78167648e-07    3.26724811e-01    3.26724811e-01   -1.34983423e+02   -1.34983423e+02
65       1.50000000e+05   -4.39895045e-03   -4.39895045e-03   -1.09088249e-04   -1.09088249e-04    4.40030286e-03    4.40030286e-03   -3.11679904e+00   -3.11679904e+00   -4.71303486e+01   -4.71303486e+01    4.39884763e-06    4.39884763e-06    1.13234162e-07    1.13234162e-07    4.40030482e-06    4.40030482e-06    2.57360950e-02    2.57360950e-02   -1.07130345e+02   -1.07130345e+02
66       1.60000000e+05   -1.60072157e-04   -1.60072157e-04    4.94118464e-05    4.94118464e-05    1.67525001e-04    1.67525001e-04    2.84218729e+00    2.84218729e+00   -7.55184074e+01   -7.55184074e+01    1.60121831e-07    1.60121831e-07   -4.92509243e-08   -4.92509243e-08    1.67525086e-07    1.67525086e-07   -2.98400050e-01   -2.98400050e-01   -1.35518403e+02   -1.35518403e+02
