Index       TIME              R1:R              V(2)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-03    5.00000000e-03    9.99800040e-01
2        5.15625000e-03    5.15625000e-03    9.99793793e-01
3        5.29687500e-03    5.29687500e-03    9.99788170e-01
4        5.57812500e-03    5.57812500e-03    9.99776925e-01
5        6.14062500e-03    6.14062500e-03    9.99754435e-01
6        7.26562500e-03    7.26562500e-03    9.99709459e-01
7        9.51562500e-03    9.51562500e-03    9.99619520e-01
8        1.40156250e-02    1.40156250e-02    9.99439689e-01
9        2.30156250e-02    2.30156250e-02    9.99080222e-01
10       4.10156250e-02    4.10156250e-02    9.98362062e-01
11       7.70156250e-02    7.70156250e-02    9.96928836e-01
12       1.49015625e-01    1.49015625e-01    9.94074694e-01
13       2.49015625e-01    2.49015625e-01    9.90137611e-01
14       3.49015625e-01    3.49015625e-01    9.86231591e-01
15       4.49015625e-01    4.49015625e-01    9.82356267e-01
16       5.49015625e-01    5.49015625e-01    9.78511281e-01
17       6.49015625e-01    6.49015625e-01    9.74696276e-01
18       7.49015625e-01    7.49015625e-01    9.70910903e-01
19       8.49015625e-01    8.49015625e-01    9.67154818e-01
20       9.49015625e-01    9.49015625e-01    9.63427683e-01
21       1.00000000e+00    1.00000000e+00    9.61538462e-01
End of Xyce(TM) Simulation
