Index       TIME          {V(6,2)+0.1}     {V(15,10)+0.1}     {V(5,3)+1.5}   
82       3.61044815e-07    1.17179269e-01    1.24945869e-01    1.56467684e+00
83       3.64489598e-07    1.13054694e-01    1.27705013e-01    1.59725369e+00
84       3.67934380e-07    1.08832329e-01    1.30347387e-01    1.61519720e+00
85       3.71379163e-07    1.04543801e-01    1.32861854e-01    1.61738055e+00
86       3.74823945e-07    1.00221236e-01    1.35237816e-01    1.60329271e+00
87       3.78268728e-07    9.58970143e-02    1.37465259e-01    1.57312424e+00
88       3.81713510e-07    9.16035273e-02    1.39534795e-01    1.52776512e+00
89       3.85158293e-07    8.73729371e-02    1.41437700e-01    1.46876180e+00
90       3.88603075e-07    8.32369346e-02    1.43165956e-01    1.39818630e+00
91       3.92047858e-07    7.92265020e-02    1.44712277e-01    1.31848534e+00
92       3.95492641e-07    7.53716809e-02    1.46070147e-01    1.23228576e+00
93       3.98937423e-07    7.17013472e-02    1.47233842e-01    1.14222922e+00
94       4.05826988e-07    6.50225302e-02    1.48959928e-01    9.61149562e-01
95       4.12716553e-07    5.93897967e-02    1.49861465e-01    7.90437638e-01
96       4.19606119e-07    5.49716070e-02    1.49923270e-01    6.41800928e-01
97       4.25806727e-07    5.21436994e-02    1.49259771e-01    5.32607016e-01
98       4.31387275e-07    5.05888913e-02    1.48087482e-01    4.56603939e-01
99       4.36967823e-07    5.00044722e-02    1.46383590e-01    4.02715563e-01
100      4.42548370e-07    5.04019198e-02    1.44166931e-01    3.71433802e-01
101      4.48128918e-07    5.17734285e-02    1.41462011e-01    3.63124910e-01
102      4.53709466e-07    5.40920631e-02    1.38298731e-01    3.78147475e-01
103      4.59290014e-07    5.73122878e-02    1.34712062e-01    4.16833813e-01
104      4.64870561e-07    6.13708602e-02    1.30741655e-01    4.79265472e-01
105      4.70451109e-07    6.61880737e-02    1.26431401e-01    5.64861365e-01
106      4.76031657e-07    7.16693227e-02    1.21828950e-01    6.71722985e-01
107      4.81612205e-07    7.77069603e-02    1.16985182e-01    7.95847820e-01
