Index       V(4)            I(VMON1)          I(VMON2)            V(1)              V(2)       
67       6.70000000e-01    3.31703436e-07    2.96638010e-04    5.44947805e-01    7.67239799e-02
68       6.80000000e-01    3.53653103e-07    3.02011074e-04    5.46672780e-01    7.59778520e-02
69       6.90000000e-01    3.75833938e-07    3.07339976e-04    5.48310605e-01    7.53200486e-02
70       7.00000000e-01    3.98225648e-07    3.12632223e-04    5.49868931e-01    7.47355536e-02
71       7.10000000e-01    4.20810313e-07    3.17893624e-04    5.51354512e-01    7.42127515e-02
72       7.20000000e-01    4.43572060e-07    3.23128746e-04    5.52773334e-01    7.37425081e-02
73       7.30000000e-01    4.66496785e-07    3.28341692e-04    5.54130712e-01    7.33166166e-02
74       7.40000000e-01    4.89571946e-07    3.33535564e-04    5.55431376e-01    7.29288718e-02
75       7.50000000e-01    5.12786238e-07    3.38712932e-04    5.56679588e-01    7.25741362e-02
76       7.60000000e-01    5.36129570e-07    3.43875914e-04    5.57879152e-01    7.22481713e-02
77       7.70000000e-01    5.59592852e-07    3.49026290e-04    5.59033495e-01    7.19474199e-02
78       7.80000000e-01    5.83167874e-07    3.54165559e-04    5.60145711e-01    7.16688828e-02
79       7.90000000e-01    6.06847209e-07    3.59294995e-04    5.61218602e-01    7.14100090e-02
80       8.00000000e-01    6.30624114e-07    3.64415685e-04    5.62254709e-01    7.11686302e-02
81       8.10000000e-01    6.54492453e-07    3.69528560e-04    5.63256345e-01    7.09428801e-02
82       8.20000000e-01    6.78446630e-07    3.74634427e-04    5.64225620e-01    7.07311469e-02
83       8.30000000e-01    7.02481530e-07    3.79733984e-04    5.65164463e-01    7.05320322e-02
84       8.40000000e-01    7.26592463e-07    3.84827842e-04    5.66074642e-01    7.03443169e-02
85       8.50000000e-01    7.50775125e-07    3.89916533e-04    5.66957778e-01    7.01669338e-02
86       8.60000000e-01    7.75025555e-07    3.95000528e-04    5.67815366e-01    6.99989445e-02
87       8.70000000e-01    7.99340100e-07    4.00080239e-04    5.68648782e-01    6.98395210e-02
88       8.80000000e-01    8.23715387e-07    4.05156037e-04    5.69459299e-01    6.96879263e-02
89       8.90000000e-01    8.48148295e-07    4.10228246e-04    5.70248093e-01    6.95435089e-02
90       9.00000000e-01    8.72635929e-07    4.15297155e-04    5.71016255e-01    6.94056909e-02
91       9.10000000e-01    8.97175601e-07    4.20363024e-04    5.71764799e-01    6.92739522e-02
92       9.20000000e-01    9.21764812e-07    4.25426087e-04    5.72494666e-01    6.91478266e-02
93       9.30000000e-01    9.46401235e-07    4.30486553e-04    5.73206734e-01    6.90268946e-02
94       9.40000000e-01    9.71082697e-07    4.35544611e-04    5.73901823e-01    6.89107777e-02
95       9.50000000e-01    9.95807169e-07    4.40600433e-04    5.74580697e-01    6.87991337e-02
96       9.60000000e-01    1.02057275e-06    4.45654174e-04    5.75244072e-01    6.86916527e-02
97       9.70000000e-01    1.04537767e-06    4.50705974e-04    5.75892618e-01    6.85880527e-02
98       9.80000000e-01    1.07022026e-06    4.55755961e-04    5.76526964e-01    6.84880774e-02
99       9.90000000e-01    1.09509894e-06    4.60804254e-04    5.77147700e-01    6.83914926e-02
100      1.00000000e+00    1.12001225e-06    4.65850958e-04    5.77755381e-01    6.82980843e-02
101      1.01000000e+00    1.14495880e-06    4.70896172e-04    5.78350531e-01    6.82076565e-02
102      1.02000000e+00    1.16993729e-06    4.75939985e-04    5.78933641e-01    6.81200294e-02
103      1.03000000e+00    1.19494648e-06    4.80982481e-04    5.79505176e-01    6.80350375e-02
104      1.04000000e+00    1.21998521e-06    4.86023736e-04    5.80065574e-01    6.79525284e-02
105      1.05000000e+00    1.24505238e-06    4.91063822e-04    5.80615252e-01    6.78723562e-02
106      1.06000000e+00    1.27014695e-06    4.96102802e-04    5.81154599e-01    6.77943961e-02
107      1.07000000e+00    1.29526793e-06    5.01140736e-04    5.81683989e-01    6.77185286e-02
108      1.08000000e+00    1.32041439e-06    5.06177679e-04    5.82203774e-01    6.76446422e-02
109      1.09000000e+00    1.34558544e-06    5.11213683e-04    5.82714287e-01    6.75726336e-02
110      1.10000000e+00    1.37078025e-06    5.16248797e-04    5.83215847e-01    6.75024069e-02
111      1.11000000e+00    1.39599800e-06    5.21283064e-04    5.83708754e-01    6.74338726e-02
112      1.12000000e+00    1.42123794e-06    5.26316527e-04    5.84193296e-01    6.73669450e-02
113      1.13000000e+00    1.44649935e-06    5.31349227e-04    5.84669745e-01    6.73015452e-02
114      1.14000000e+00    1.47178153e-06    5.36381198e-04    5.85138362e-01    6.72376044e-02
115      1.15000000e+00    1.49708384e-06    5.41412473e-04    5.85599394e-01    6.71750549e-02
116      1.16000000e+00    1.52240563e-06    5.46443083e-04    5.86053079e-01    6.71138332e-02
117      1.17000000e+00    1.54774631e-06    5.51473060e-04    5.86499641e-01    6.70538798e-02
118      1.18000000e+00    1.57310531e-06    5.56502431e-04    5.86939297e-01    6.69951389e-02
119      1.19000000e+00    1.59848209e-06    5.61531221e-04    5.87372253e-01    6.69375579e-02
120      1.20000000e+00    1.62387611e-06    5.66559456e-04    5.87798706e-01    6.68810877e-02
121      1.21000000e+00    1.64928688e-06    5.71587159e-04    5.88218844e-01    6.68256818e-02
122      1.22000000e+00    1.67471393e-06    5.76614352e-04    5.88632849e-01    6.67712965e-02
123      1.23000000e+00    1.70015678e-06    5.81641055e-04    5.89040894e-01    6.67178907e-02
124      1.24000000e+00    1.72561500e-06    5.86667287e-04    5.89443144e-01    6.66654255e-02
125      1.25000000e+00    1.75108817e-06    5.91693068e-04    5.89839760e-01    6.66138642e-02
126      1.26000000e+00    1.77657588e-06    5.96718414e-04    5.90230893e-01    6.65631721e-02
127      1.27000000e+00    1.80207774e-06    6.01743342e-04    5.90616691e-01    6.65133163e-02
128      1.28000000e+00    1.82759338e-06    6.06767867e-04    5.90997294e-01    6.64642659e-02
129      1.29000000e+00    1.85312244e-06    6.11792004e-04    5.91372840e-01    6.64159913e-02
130      1.30000000e+00    1.87866457e-06    6.16815768e-04    5.91743457e-01    6.63684647e-02
131      1.31000000e+00    1.90421944e-06    6.21839170e-04    5.92109271e-01    6.63216596e-02
132      1.32000000e+00    1.92978673e-06    6.26862225e-04    5.92470403e-01    6.62755507e-02
133      1.33000000e+00    1.95536613e-06    6.31884943e-04    5.92826971e-01    6.62301143e-02
134      1.34000000e+00    1.98095734e-06    6.36907336e-04    5.93179085e-01    6.61853276e-02
135      1.35000000e+00    2.00656007e-06    6.41929415e-04    5.93526853e-01    6.61411690e-02
136      1.36000000e+00    2.03217406e-06    6.46951191e-04    5.93870381e-01    6.60976179e-02
137      1.37000000e+00    2.05779902e-06    6.51972673e-04    5.94209769e-01    6.60546546e-02
138      1.38000000e+00    2.08343471e-06    6.56993870e-04    5.94545113e-01    6.60122606e-02
139      1.39000000e+00    2.10908088e-06    6.62014791e-04    5.94876507e-01    6.59704178e-02
140      1.40000000e+00    2.13473729e-06    6.67035445e-04    5.95204043e-01    6.59291093e-02
141      1.41000000e+00    2.16040369e-06    6.72055841e-04    5.95527807e-01    6.58883189e-02
142      1.42000000e+00    2.18607988e-06    6.77075985e-04    5.95847885e-01    6.58480310e-02
143      1.43000000e+00    2.21176563e-06    6.82095885e-04    5.96164357e-01    6.58082307e-02
144      1.44000000e+00    2.23746073e-06    6.87115548e-04    5.96477304e-01    6.57689038e-02
145      1.45000000e+00    2.26316498e-06    6.92134982e-04    5.96786801e-01    6.57300367e-02
146      1.46000000e+00    2.28887819e-06    6.97154192e-04    5.97092923e-01    6.56916164e-02
