Index        TIME          {V(2)+2.0}       {V(3)+2.0}       {V(4)+2.0}       {V(6)+2.0}       {V(7)+2.0}       {V(8)+2.0}       {V(13)+2.0}      {V(14)+2.0}      {V(17)+2.0}      {V(21)+2.0}      {V(22)+2.0}
0       0.00000000e+00   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00000011e+00   2.00000009e+00   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00000000e+00   
1       5.00000000e-12   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00112996e+00   2.01244738e+00   2.01244737e+00   2.01337004e+00   2.01620294e+00   2.01309438e+00   2.00114585e+00   2.00114585e+00   
2       5.62500000e-12   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00127400e+00   2.01399869e+00   2.01399868e+00   2.01505141e+00   2.01822913e+00   2.01474244e+00   2.00129212e+00   2.00129212e+00   
3       6.87500000e-12   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00156220e+00   2.01705174e+00   2.01705173e+00   2.01841925e+00   2.02228361e+00   2.01804514e+00   2.00158580e+00   2.00158580e+00   
4       8.12500000e-12   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00184906e+00   2.02005340e+00   2.02005339e+00   2.02178939e+00   2.02633941e+00   2.02134930e+00   2.00187915e+00   2.00187915e+00   
5       1.06250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00241755e+00   2.02586038e+00   2.02586036e+00   2.02853707e+00   2.03445461e+00   2.02795878e+00   2.00246459e+00   2.00246459e+00   
6       1.31250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00298006e+00   2.03147898e+00   2.03147897e+00   2.03529260e+00   2.04257426e+00   2.03456935e+00   2.00304801e+00   2.00304801e+00   
7       1.81250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00408474e+00   2.04203660e+00   2.04203658e+00   2.04883331e+00   2.05882740e+00   2.04779309e+00   2.00421016e+00   2.00421016e+00   
8       2.31250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00516649e+00   2.05196812e+00   2.05196810e+00   2.06240566e+00   2.07509782e+00   2.06102067e+00   2.00536479e+00   2.00536479e+00   
9       2.81250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00622582e+00   2.06132821e+00   2.06132820e+00   2.07600974e+00   2.09138518e+00   2.07425183e+00   2.00651224e+00   2.00651224e+00   
10      3.81250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.00828621e+00   2.07884095e+00   2.07884093e+00   2.10329726e+00   2.12400768e+00   2.10072497e+00   2.00878373e+00   2.00878373e+00   
11      4.81250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01024806e+00   2.09399909e+00   2.09399908e+00   2.13075523e+00   2.15673006e+00   2.12721050e+00   2.01103939e+00   2.01103939e+00   
12      5.81250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01213219e+00   2.10786500e+00   2.10786498e+00   2.15834461e+00   2.18968385e+00   2.15370976e+00   2.01327366e+00   2.01327366e+00   
13      6.81250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01394206e+00   2.12066607e+00   2.12066606e+00   2.18606618e+00   2.22297991e+00   2.18022159e+00   2.01548848e+00   2.01548848e+00   
14      8.81250000e-11   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.01737474e+00   2.14420092e+00   2.14420090e+00   2.24184792e+00   2.29063242e+00   2.23328189e+00   2.01985432e+00   2.01985432e+00   
15      1.08125000e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02049884e+00   2.16483428e+00   2.16483427e+00   2.29836858e+00   2.35979431e+00   2.28638549e+00   2.02419748e+00   2.02419748e+00   
16      1.28125000e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02339043e+00   2.18422199e+00   2.18422198e+00   2.35550642e+00   2.43055241e+00   2.33953285e+00   2.02849596e+00   2.02849596e+00   
17      1.48125000e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02606805e+00   2.20280658e+00   2.20280656e+00   2.41330726e+00   2.50301517e+00   2.39272012e+00   2.03275850e+00   2.03275850e+00   
18      1.57628018e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02728169e+00   2.21136010e+00   2.21136008e+00   2.44095334e+00   2.53790334e+00   2.41800594e+00   2.03476453e+00   2.03476453e+00   
19      1.63974982e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02807017e+00   2.21698381e+00   2.21698380e+00   2.45949545e+00   2.56121668e+00   2.43489848e+00   2.03609936e+00   2.03609936e+00   
20      1.69687250e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02876394e+00   2.22198941e+00   2.22198940e+00   2.47624467e+00   2.58217792e+00   2.45010473e+00   2.03729845e+00   2.03729845e+00   
21      1.75399517e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.02944268e+00   2.22694317e+00   2.22694315e+00   2.49305524e+00   2.60311933e+00   2.46531382e+00   2.03849588e+00   2.03849588e+00   
22      1.80540558e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03004129e+00   2.23135506e+00   2.23135504e+00   2.50823533e+00   2.62194914e+00   2.47900446e+00   2.03957199e+00   2.03957199e+00   
23      1.84614130e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03050776e+00   2.23481818e+00   2.23481816e+00   2.52029578e+00   2.63685713e+00   2.48985405e+00   2.04042347e+00   2.04042347e+00   
24      1.87785706e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03086623e+00   2.23749423e+00   2.23749421e+00   2.52970533e+00   2.64845658e+00   2.49830224e+00   2.04108568e+00   2.04108568e+00   
25      1.90640125e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03118523e+00   2.23988792e+00   2.23988790e+00   2.53818940e+00   2.65889041e+00   2.50590631e+00   2.04168125e+00   2.04168125e+00   
26      1.96348962e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03181117e+00   2.24464008e+00   2.24464006e+00   2.55521393e+00   2.67974237e+00   2.52111631e+00   2.04287289e+00   2.04287289e+00   
27      2.00240641e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03223083e+00   2.24784474e+00   2.24784472e+00   2.56684958e+00   2.69394460e+00   2.53148658e+00   2.04368400e+00   2.04368400e+00   
28      2.04132321e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03264424e+00   2.25102284e+00   2.25102282e+00   2.57851324e+00   2.70813637e+00   2.54185800e+00   2.04449460e+00   2.04449460e+00   
29      2.08024001e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03305153e+00   2.25417407e+00   2.25417405e+00   2.59020485e+00   2.72231772e+00   2.55223064e+00   2.04530474e+00   2.04530474e+00   
30      2.15807360e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03384521e+00   2.26040323e+00   2.26040321e+00   2.61369075e+00   2.75064954e+00   2.57297934e+00   2.04692626e+00   2.04692626e+00   
31      2.22201397e-10   2.00000000e+00   2.00000000e+00   2.00000000e+00   2.03448056e+00   2.26544057e+00   2.26544056e+00   2.63306158e+00   2.77389244e+00   2.59002815e+00   2.04825647e+00   2.04825647e+00   
