Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
48       2.04790000e-06    9.59924730e-01    5.84495068e-04    9.59340235e-04    9.59340235e-04   -9.59340235e-04
49       2.09910000e-06    9.68442375e-01    6.09271595e-04    9.67833104e-04    9.67833104e-04   -9.67833104e-04
50       2.15030000e-06    9.75957864e-01    6.34239880e-04    9.75323624e-04    9.75323624e-04   -9.75323624e-04
51       2.20150000e-06    9.82463417e-01    6.59374064e-04    9.81804043e-04    9.81804043e-04   -9.81804043e-04
52       2.25270000e-06    9.87952304e-01    6.84648116e-04    9.87267656e-04    9.87267656e-04   -9.87267656e-04
53       2.30390000e-06    9.92418844e-01    7.10035861e-04    9.91708808e-04    9.91708808e-04   -9.91708808e-04
54       2.35510000e-06    9.95858416e-01    7.35511007e-04    9.95122905e-04    9.95122905e-04   -9.95122905e-04
55       2.40630000e-06    9.98267459e-01    7.61047172e-04    9.97506412e-04    9.97506412e-04   -9.97506412e-04
56       2.45750000e-06    9.99643482e-01    7.86617907e-04    9.98856864e-04    9.98856864e-04   -9.98856864e-04
57       2.50870000e-06    9.99985059e-01    8.12196733e-04    9.99172863e-04    9.99172863e-04   -9.99172863e-04
58       2.55990000e-06    9.99291839e-01    8.37757157e-04    9.98454082e-04    9.98454082e-04   -9.98454082e-04
59       2.61110000e-06    9.97564537e-01    8.63272709e-04    9.96701265e-04    9.96701265e-04   -9.96701265e-04
60       2.66230000e-06    9.94804942e-01    8.88716965e-04    9.93916225e-04    9.93916225e-04   -9.93916225e-04
61       2.71350000e-06    9.91015909e-01    9.14063572e-04    9.90101846e-04    9.90101846e-04   -9.90101846e-04
62       2.76470000e-06    9.86201359e-01    9.39286281e-04    9.85262073e-04    9.85262073e-04   -9.85262073e-04
63       2.81590000e-06    9.80366275e-01    9.64358970e-04    9.79401916e-04    9.79401916e-04   -9.79401916e-04
64       2.86710000e-06    9.73516693e-01    9.89255673e-04    9.72527438e-04    9.72527438e-04   -9.72527438e-04
65       2.91830000e-06    9.65659704e-01    1.01395060e-03    9.64645753e-04    9.64645753e-04   -9.64645753e-04
66       2.96950000e-06    9.56803436e-01    1.03841819e-03    9.55765018e-04    9.55765018e-04   -9.55765018e-04
67       3.02070000e-06    9.46957055e-01    1.06263309e-03    9.45894422e-04    9.45894422e-04   -9.45894422e-04
68       3.07190000e-06    9.36130750e-01    1.08657022e-03    9.35044180e-04    9.35044180e-04   -9.35044180e-04
69       3.12310000e-06    9.24335724e-01    1.11020479e-03    9.23225519e-04    9.23225519e-04   -9.23225519e-04
70       3.17430000e-06    9.11584182e-01    1.13351233e-03    9.10450670e-04    9.10450670e-04   -9.10450670e-04
71       3.22550000e-06    8.97889320e-01    1.15646869e-03    8.96732852e-04    8.96732852e-04   -8.96732852e-04
72       3.27670000e-06    8.83265311e-01    1.17905010e-03    8.82086261e-04    8.82086261e-04   -8.82086261e-04
73       3.32790000e-06    8.67727286e-01    1.20123316e-03    8.66526053e-04    8.66526053e-04   -8.66526053e-04
74       3.37910000e-06    8.51291325e-01    1.22299491e-03    8.50068330e-04    8.50068330e-04   -8.50068330e-04
75       3.43030000e-06    8.33974436e-01    1.24431280e-03    8.32730123e-04    8.32730123e-04   -8.32730123e-04
76       3.48150000e-06    8.15794539e-01    1.26516476e-03    8.14529374e-04    8.14529374e-04   -8.14529374e-04
77       3.53270000e-06    7.96770446e-01    1.28552917e-03    7.95484917e-04    7.95484917e-04   -7.95484917e-04
78       3.58390000e-06    7.76921844e-01    1.30538495e-03    7.75616460e-04    7.75616460e-04   -7.75616460e-04
79       3.63510000e-06    7.56269273e-01    1.32471153e-03    7.54944562e-04    7.54944562e-04   -7.54944562e-04
80       3.68630000e-06    7.34834104e-01    1.34348889e-03    7.33490615e-04    7.33490615e-04   -7.33490615e-04
81       3.73750000e-06    7.12638519e-01    1.36169758e-03    7.11276821e-04    7.11276821e-04   -7.11276821e-04
82       3.78870000e-06    6.89705485e-01    1.37931873e-03    6.88326167e-04    6.88326167e-04   -6.88326167e-04
83       3.83990000e-06    6.66058735e-01    1.39633409e-03    6.64662401e-04    6.64662401e-04   -6.64662401e-04
84       3.89110000e-06    6.41722738e-01    1.41272602e-03    6.40310012e-04    6.40310012e-04   -6.40310012e-04
85       3.94230000e-06    6.16722677e-01    1.42847755e-03    6.15294200e-04    6.15294200e-04   -6.15294200e-04
86       3.99350000e-06    5.91084423e-01    1.44357236e-03    5.89640851e-04    5.89640851e-04   -5.89640851e-04
87       4.04470000e-06    5.64834507e-01    1.45799480e-03    5.63376513e-04    5.63376513e-04   -5.63376513e-04
88       4.09590000e-06    5.38000093e-01    1.47172992e-03    5.36528363e-04    5.36528363e-04   -5.36528363e-04
89       4.14710000e-06    5.10608948e-01    1.48476350e-03    5.09124185e-04    5.09124185e-04   -5.09124185e-04
90       4.19830000e-06    4.82689419e-01    1.49708203e-03    4.81192337e-04    4.81192337e-04   -4.81192337e-04
91       4.24950000e-06    4.54270395e-01    1.50867273e-03    4.52761723e-04    4.52761723e-04   -4.52761723e-04
92       4.30070000e-06    4.25381287e-01    1.51952359e-03    4.23861763e-04    4.23861763e-04   -4.23861763e-04
93       4.35190000e-06    3.96051988e-01    1.52962336e-03    3.94522364e-04    3.94522364e-04   -3.94522364e-04
