Index       TIME              V(1)              I(L1)      
0        0.00000000e+00    5.84393118e-01    2.25302193e-06
1        4.70079443e-11    5.55902205e-01    3.50585411e-04
2        9.40158887e-11    4.79676112e-01    6.66865212e-04
3        1.41023833e-10    3.62935152e-01    9.24205877e-04
4        1.88031777e-10    2.14994069e-01    1.10076902e-03
5        2.35039722e-10    4.70393860e-02    1.18092145e-03
6        2.82047666e-10   -1.27390653e-01    1.15649849e-03
7        3.29055610e-10   -2.92341368e-01    1.02831301e-03
8        3.76063555e-10   -4.31189313e-01    8.07196871e-04
9        4.23071499e-10   -5.29834714e-01    5.13464374e-04
10       4.70079443e-10   -5.79294988e-01    1.74516554e-04
11       5.17087388e-10   -5.76459975e-01   -1.78585839e-04
12       5.64095332e-10   -5.23362735e-01   -5.14515564e-04
13       6.11103276e-10   -4.25829739e-01   -8.04400374e-04
14       6.58111221e-10   -2.92213038e-01   -1.02372035e-03
15       7.05119165e-10   -1.32734375e-01   -1.15359913e-03
16       7.52127109e-10    4.03164413e-02   -1.18195894e-03
17       7.99135054e-10    2.12109030e-01   -1.10493746e-03
18       8.46142998e-10    3.66006988e-01   -9.28303685e-04
19       8.93150943e-10    4.86236846e-01   -6.67823184e-04
20       9.40158887e-10    5.61041550e-01   -3.47744787e-04
End of Xyce(TM) Simulation
