Index       TIME              V(1)              I(V1)      
92       2.33177500e-04    8.70879462e-01   -8.70879462e-02
93       2.33587100e-04    8.57943344e-01   -8.57943344e-02
94       2.33996700e-04    8.44439008e-01   -8.44439008e-02
95       2.34406300e-04    8.30375400e-01   -8.30375400e-02
96       2.34815900e-04    8.15761833e-01   -8.15761833e-02
97       2.35225500e-04    8.00607986e-01   -8.00607986e-02
98       2.35635100e-04    7.84923895e-01   -7.84923895e-02
99       2.36044700e-04    7.68719947e-01   -7.68719947e-02
100      2.36454300e-04    7.52006876e-01   -7.52006876e-02
101      2.36863900e-04    7.34795749e-01   -7.34795749e-02
102      2.37273500e-04    7.17097966e-01   -7.17097966e-02
103      2.37683100e-04    6.98925248e-01   -6.98925248e-02
104      2.38092700e-04    6.80289631e-01   -6.80289631e-02
105      2.38502300e-04    6.61203457e-01   -6.61203457e-02
106      2.38911900e-04    6.41679368e-01   -6.41679368e-02
107      2.39321500e-04    6.21730293e-01   -6.21730293e-02
108      2.39731100e-04    6.01369445e-01   -6.01369445e-02
109      2.40140700e-04    5.80610309e-01   -5.80610309e-02
110      2.40550300e-04    5.59466635e-01   -5.59466635e-02
111      2.40959900e-04    5.37952425e-01   -5.37952425e-02
112      2.41369500e-04    5.16081928e-01   -5.16081928e-02
113      2.41779100e-04    4.93869629e-01   -4.93869629e-02
114      2.42188700e-04    4.71330240e-01   -4.71330240e-02
115      2.42598300e-04    4.48478688e-01   -4.48478688e-02
116      2.43007900e-04    4.25330109e-01   -4.25330109e-02
117      2.43417500e-04    4.01899832e-01   -4.01899832e-02
118      2.43827100e-04    3.78203377e-01   -3.78203377e-02
119      2.44236700e-04    3.54256437e-01   -3.54256437e-02
120      2.44646300e-04    3.30074872e-01   -3.30074872e-02
121      2.45055900e-04    3.05674699e-01   -3.05674699e-02
122      2.45465500e-04    2.81072077e-01   -2.81072077e-02
123      2.45875100e-04    2.56283300e-01   -2.56283300e-02
124      2.46284700e-04    2.31324786e-01   -2.31324786e-02
125      2.46694300e-04    2.06213066e-01   -2.06213066e-02
126      2.47103900e-04    1.80964771e-01   -1.80964771e-02
127      2.47513500e-04    1.55596622e-01   -1.55596622e-02
128      2.47923100e-04    1.30125421e-01   -1.30125421e-02
129      2.48332700e-04    1.04568039e-01   -1.04568039e-02
130      2.48742300e-04    7.89414004e-02   -7.89414004e-03
131      2.49151900e-04    5.32624791e-02   -5.32624791e-03
132      2.49561500e-04    2.75482819e-02   -2.75482819e-03
133      2.49971100e-04    1.81583956e-03   -1.81583956e-04
134      2.50380700e-04   -2.39178055e-02    2.39178055e-03
135      2.50790300e-04   -4.96356097e-02    4.96356097e-03
136      2.51199900e-04   -7.53205402e-02    7.53205402e-03
137      2.51609500e-04   -1.00955586e-01    1.00955586e-02
138      2.52019100e-04   -1.26523768e-01    1.26523768e-02
139      2.52428700e-04   -1.52008154e-01    1.52008154e-02
140      2.52838300e-04   -1.77391865e-01    1.77391865e-02
141      2.53247900e-04   -2.02658088e-01    2.02658088e-02
142      2.53657500e-04   -2.27790091e-01    2.27790091e-02
143      2.54067100e-04   -2.52771228e-01    2.52771228e-02
144      2.54476700e-04   -2.77584955e-01    2.77584955e-02
145      2.54886300e-04   -3.02214836e-01    3.02214836e-02
146      2.55295900e-04   -3.26644561e-01    3.26644561e-02
147      2.55705500e-04   -3.50857948e-01    3.50857948e-02
148      2.56115100e-04   -3.74838961e-01    3.74838961e-02
149      2.56524700e-04   -3.98571718e-01    3.98571718e-02
150      2.56934300e-04   -4.22040501e-01    4.22040501e-02
151      2.57343900e-04   -4.45229765e-01    4.45229765e-02
152      2.57753500e-04   -4.68124153e-01    4.68124153e-02
153      2.58163100e-04   -4.90708502e-01    4.90708502e-02
154      2.58572700e-04   -5.12967854e-01    5.12967854e-02
155      2.58982300e-04   -5.34887467e-01    5.34887467e-02
156      2.59391900e-04   -5.56452823e-01    5.56452823e-02
157      2.59801500e-04   -5.77649639e-01    5.77649639e-02
158      2.60211100e-04   -5.98463877e-01    5.98463877e-02
159      2.60620700e-04   -6.18881752e-01    6.18881752e-02
160      2.61030300e-04   -6.38889741e-01    6.38889741e-02
161      2.61439900e-04   -6.58474592e-01    6.58474592e-02
162      2.61849500e-04   -6.77623334e-01    6.77623334e-02
163      2.62259100e-04   -6.96323286e-01    6.96323286e-02
164      2.62668700e-04   -7.14562061e-01    7.14562061e-02
165      2.63078300e-04   -7.32327582e-01    7.32327582e-02
166      2.63487900e-04   -7.49608080e-01    7.49608080e-02
167      2.63897500e-04   -7.66392113e-01    7.66392113e-02
168      2.64307100e-04   -7.82668562e-01    7.82668562e-02
169      2.64716700e-04   -7.98426649e-01    7.98426649e-02
170      2.65126300e-04   -8.13655937e-01    8.13655937e-02
171      2.65535900e-04   -8.28346340e-01    8.28346340e-02
172      2.65945500e-04   -8.42488128e-01    8.42488128e-02
173      2.66355100e-04   -8.56071934e-01    8.56071934e-02
174      2.66764700e-04   -8.69088763e-01    8.69088763e-02
175      2.67174300e-04   -8.81529994e-01    8.81529994e-02
176      2.67583900e-04   -8.93387386e-01    8.93387386e-02
177      2.67993500e-04   -9.04653086e-01    9.04653086e-02
178      2.68403100e-04   -9.15319633e-01    9.15319633e-02
179      2.68812700e-04   -9.25379963e-01    9.25379963e-02
180      2.69222300e-04   -9.34827412e-01    9.34827412e-02
181      2.69631900e-04   -9.43655724e-01    9.43655724e-02
182      2.70041500e-04   -9.51859051e-01    9.51859051e-02
183      2.70451100e-04   -9.59431960e-01    9.59431960e-02
184      2.70860700e-04   -9.66369437e-01    9.66369437e-02
185      2.71270300e-04   -9.72666886e-01    9.72666886e-02
186      2.71679900e-04   -9.78320136e-01    9.78320136e-02
187      2.72089500e-04   -9.83325443e-01    9.83325443e-02
188      2.72499100e-04   -9.87679493e-01    9.87679493e-02
189      2.72908700e-04   -9.91379401e-01    9.91379401e-02
190      2.73318300e-04   -9.94422717e-01    9.94422717e-02
191      2.73727900e-04   -9.96807426e-01    9.96807426e-02
192      2.74137500e-04   -9.98531947e-01    9.98531947e-02
193      2.74547100e-04   -9.99595140e-01    9.99595140e-02
194      2.74956700e-04   -9.99996299e-01    9.99996299e-02
195      2.75366300e-04   -9.99735159e-01    9.99735159e-02
196      2.75775900e-04   -9.98811894e-01    9.98811894e-02
197      2.76185500e-04   -9.97227114e-01    9.97227114e-02
198      2.76595100e-04   -9.94981869e-01    9.94981869e-02
199      2.77004700e-04   -9.92077646e-01    9.92077646e-02
200      2.77414300e-04   -9.88516369e-01    9.88516369e-02
201      2.77823900e-04   -9.84300396e-01    9.84300396e-02
202      2.78233500e-04   -9.79432519e-01    9.79432519e-02
203      2.78643100e-04   -9.73915963e-01    9.73915963e-02
204      2.79052700e-04   -9.67754381e-01    9.67754381e-02
205      2.79462300e-04   -9.60951854e-01    9.60951854e-02
