Index       TIME             I(VPR2)          V(NODE3)           V(PR1)      
0        0.00000000e+00    3.38813179e-21   -1.73472348e-18   -1.73472348e-18
1        2.85714286e-08    2.04688876e-04    6.73289804e-01    6.73289804e-01
2        5.71428571e-08    3.30162710e-03    7.45173876e-01    7.45173876e-01
3        8.57142857e-08    6.44564508e-03    7.62468093e-01    7.62468093e-01
4        1.14285714e-07    9.29906050e-03    7.71942804e-01    7.71942804e-01
5        1.42857143e-07    1.17467136e-02    7.77983213e-01    7.77983213e-01
6        1.71428571e-07    1.37020923e-02    7.81963662e-01    7.81963662e-01
7        2.00000000e-07    1.50987658e-02    7.84472900e-01    7.84472900e-01
8        2.28571429e-07    1.58900285e-02    7.85793351e-01    7.85793351e-01
9        2.57142857e-07    1.60496030e-02    7.86051666e-01    7.86051666e-01
10       2.85714286e-07    1.55722030e-02    7.85271044e-01    7.85271044e-01
11       3.14285714e-07    1.44736563e-02    7.83379836e-01    7.83379836e-01
12       3.42857143e-07    1.27905451e-02    7.80184001e-01    7.80184001e-01
13       3.71428571e-07    1.05795085e-02    7.75277761e-01    7.75277761e-01
14       4.00000000e-07    7.91679190e-03    7.67782630e-01    7.67782630e-01
15       4.28571429e-07    4.90075260e-03    7.55384436e-01    7.55384436e-01
16       4.57142857e-07    1.68203910e-03    7.27739563e-01    7.27739563e-01
17       4.85714286e-07    1.05636042e-09    3.58557024e-01    3.58557024e-01
18       5.14285714e-07   -1.83623676e-09   -3.58556868e-01   -3.58556868e-01
19       5.42857143e-07   -1.74851293e-03   -7.14444797e-01   -7.14444797e-01
20       5.71428571e-07   -4.97041195e-03   -7.41452567e-01   -7.41452567e-01
21       6.00000000e-07   -7.98713219e-03   -7.53714571e-01   -7.53714571e-01
22       6.28571429e-07   -1.06501321e-02   -7.61153026e-01   -7.61153026e-01
23       6.57142857e-07   -1.28613155e-02   -7.66029911e-01   -7.66029911e-01
24       6.85714286e-07   -1.45445087e-02   -7.69209345e-01   -7.69209345e-01
25       7.14285714e-07   -1.56430995e-02   -7.71091740e-01   -7.71091740e-01
26       7.42857143e-07   -1.61205168e-02   -7.71868904e-01   -7.71868904e-01
27       7.71428571e-07   -1.59609366e-02   -7.71611722e-01   -7.71611722e-01
28       8.00000000e-07   -1.51696441e-02   -7.70297239e-01   -7.70297239e-01
29       8.28571429e-07   -1.37729097e-02   -7.67800195e-01   -7.67800195e-01
30       8.57142857e-07   -1.18174215e-02   -7.63841623e-01   -7.63841623e-01
31       8.85714286e-07   -9.36956781e-03   -7.57841342e-01   -7.57841342e-01
32       9.14285714e-07   -6.51573088e-03   -7.48450934e-01   -7.48450934e-01
33       9.42857143e-07   -3.37044431e-03   -7.31410434e-01   -7.31410434e-01
34       9.71428571e-07   -2.50214386e-04   -6.64184702e-01   -6.64184702e-01
End of Xyce(TM) Simulation
