Index       TIME              V(1)              I(V1)      
92       6.05938600e-05   -6.17556228e-01    6.17556228e-02
93       6.11488738e-05   -6.44603392e-01    6.44603392e-02
94       6.17038876e-05   -6.70866736e-01    6.70866736e-02
95       6.22589013e-05   -6.96314326e-01    6.96314326e-02
96       6.28139151e-05   -7.20915218e-01    7.20915218e-02
97       6.33689288e-05   -7.44639498e-01    7.44639498e-02
98       6.39239426e-05   -7.67458318e-01    7.67458318e-02
99       6.44789564e-05   -7.89343930e-01    7.89343930e-02
100      6.50339701e-05   -8.10269723e-01    8.10269723e-02
101      6.55889839e-05   -8.30210252e-01    8.30210252e-02
102      6.61439977e-05   -8.49141269e-01    8.49141269e-02
103      6.66990114e-05   -8.67039755e-01    8.67039755e-02
104      6.72540252e-05   -8.83883946e-01    8.83883946e-02
105      6.78090390e-05   -8.99653360e-01    8.99653360e-02
106      6.83640527e-05   -9.14328821e-01    9.14328821e-02
107      6.89190665e-05   -9.27892484e-01    9.27892484e-02
108      6.94740802e-05   -9.40327858e-01    9.40327858e-02
109      7.00290940e-05   -9.51619819e-01    9.51619819e-02
110      7.05841078e-05   -9.61754639e-01    9.61754639e-02
111      7.11391215e-05   -9.70719993e-01    9.70719993e-02
112      7.16941353e-05   -9.78504980e-01    9.78504980e-02
113      7.22491491e-05   -9.85100132e-01    9.85100132e-02
114      7.28041628e-05   -9.90497432e-01    9.90497432e-02
115      7.33591766e-05   -9.94690315e-01    9.94690315e-02
116      7.39141904e-05   -9.97673684e-01    9.97673684e-02
117      7.44692041e-05   -9.99443911e-01    9.99443911e-02
118      7.50242179e-05   -9.99998842e-01    9.99998842e-02
119      7.55792316e-05   -9.99337804e-01    9.99337804e-02
120      7.61342454e-05   -9.97461600e-01    9.97461600e-02
121      7.66892592e-05   -9.94372512e-01    9.94372512e-02
122      7.72442729e-05   -9.90074296e-01    9.90074296e-02
123      7.77992867e-05   -9.84572178e-01    9.84572178e-02
124      7.83543005e-05   -9.77872848e-01    9.77872848e-02
125      7.89093142e-05   -9.69984454e-01    9.69984454e-02
126      7.94643280e-05   -9.60916587e-01    9.60916587e-02
127      8.00193418e-05   -9.50680272e-01    9.50680272e-02
128      8.05743555e-05   -9.39287959e-01    9.39287959e-02
129      8.11293693e-05   -9.26753498e-01    9.26753498e-02
130      8.16843830e-05   -9.13092132e-01    9.13092132e-02
131      8.22393968e-05   -8.98320472e-01    8.98320472e-02
132      8.27944106e-05   -8.82456480e-01    8.82456480e-02
133      8.33494243e-05   -8.65519447e-01    8.65519447e-02
134      8.39044381e-05   -8.47529968e-01    8.47529968e-02
135      8.44594519e-05   -8.28509916e-01    8.28509916e-02
136      8.50144656e-05   -8.08482421e-01    8.08482421e-02
137      8.55694794e-05   -7.87471834e-01    7.87471834e-02
138      8.61244932e-05   -7.65503705e-01    7.65503705e-02
139      8.66795069e-05   -7.42604745e-01    7.42604745e-02
140      8.72345207e-05   -7.18802799e-01    7.18802799e-02
141      8.77895344e-05   -6.94126810e-01    6.94126810e-02
142      8.83445482e-05   -6.68606782e-01    6.68606782e-02
143      8.88995620e-05   -6.42273748e-01    6.42273748e-02
144      8.94545757e-05   -6.15159728e-01    6.15159728e-02
145      9.00095895e-05   -5.87297692e-01    5.87297692e-02
146      9.05646033e-05   -5.58721518e-01    5.58721518e-02
147      9.11196170e-05   -5.29465956e-01    5.29465956e-02
148      9.16746308e-05   -4.99566578e-01    4.99566578e-02
149      9.22296446e-05   -4.69059741e-01    4.69059741e-02
150      9.27846583e-05   -4.37982542e-01    4.37982542e-02
151      9.33396721e-05   -4.06372768e-01    4.06372768e-02
152      9.38946858e-05   -3.74268857e-01    3.74268857e-02
153      9.44496996e-05   -3.41709846e-01    3.41709846e-02
154      9.50047134e-05   -3.08735326e-01    3.08735326e-02
155      9.55597271e-05   -2.75385392e-01    2.75385392e-02
156      9.61147409e-05   -2.41700598e-01    2.41700598e-02
157      9.66697547e-05   -2.07721902e-01    2.07721902e-02
158      9.77797822e-05   -1.39048385e-01    1.39048385e-02
159      9.88898097e-05   -6.96987573e-02    6.96987573e-03
160      9.99998372e-05   -1.02263038e-05    1.02263038e-06
161      1.00138591e-04    8.70779946e-03   -8.70779946e-04
162      1.00263469e-04    1.65534757e-02   -1.65534757e-03
163      1.00513225e-04    3.22412878e-02   -3.22412878e-03
164      1.01012737e-04    6.35892321e-02   -6.35892321e-03
165      1.01512250e-04    9.48745440e-02   -9.48745440e-03
166      1.02011762e-04    1.26066409e-01   -1.26066409e-02
167      1.02511275e-04    1.57134103e-01   -1.57134103e-02
168      1.03010787e-04    1.88047028e-01   -1.88047028e-02
169      1.03510299e-04    2.18774735e-01   -2.18774735e-02
170      1.04009812e-04    2.49286958e-01   -2.49286958e-02
171      1.04509324e-04    2.79553645e-01   -2.79553645e-02
172      1.05008836e-04    3.09544984e-01   -3.09544984e-02
173      1.05508349e-04    3.39231435e-01   -3.39231435e-02
174      1.06007861e-04    3.68583758e-01   -3.68583758e-02
175      1.06507374e-04    3.97573042e-01   -3.97573042e-02
176      1.07006886e-04    4.26170735e-01   -4.26170735e-02
177      1.07506398e-04    4.54348668e-01   -4.54348668e-02
178      1.08505423e-04    5.09334682e-01   -5.09334682e-02
179      1.09504448e-04    5.62314502e-01   -5.62314502e-02
180      1.10503473e-04    6.13079449e-01   -6.13079449e-02
181      1.11502497e-04    6.61429566e-01   -6.61429566e-02
182      1.12501522e-04    7.07174410e-01   -7.07174410e-02
183      1.13500547e-04    7.50133800e-01   -7.50133800e-02
184      1.14499572e-04    7.90138523e-01   -7.90138523e-02
185      1.15498597e-04    8.27031007e-01   -8.27031007e-02
186      1.16497621e-04    8.60665939e-01   -8.60665939e-02
187      1.17496646e-04    8.90910835e-01   -8.90910835e-02
188      1.18495671e-04    9.17646566e-01   -9.17646566e-02
189      1.19494696e-04    9.40767822e-01   -9.40767822e-02
190      1.20493720e-04    9.60183534e-01   -9.60183534e-02
191      1.21492745e-04    9.75817224e-01   -9.75817224e-02
192      1.22491770e-04    9.87607315e-01   -9.87607315e-02
193      1.23490795e-04    9.95507368e-01   -9.95507368e-02
194      1.24489820e-04    9.99486264e-01   -9.99486264e-02
195      1.25488844e-04    9.99528332e-01   -9.99528332e-02
196      1.26487869e-04    9.95633405e-01   -9.95633405e-02
197      1.27486894e-04    9.87816827e-01   -9.87816827e-02
198      1.28485919e-04    9.76109384e-01   -9.76109384e-02
199      1.29484943e-04    9.60557190e-01   -9.60557190e-02
200      1.30483968e-04    9.41221505e-01   -9.41221505e-02
201      1.31482993e-04    9.18178487e-01   -9.18178487e-02
202      1.32482018e-04    8.91518900e-01   -8.91518900e-02
203      1.33481043e-04    8.61347752e-01   -8.61347752e-02
204      1.34480067e-04    8.27783883e-01   -8.27783883e-02
205      1.35479092e-04    7.90959496e-01   -7.90959496e-02
206      1.36478117e-04    7.51019637e-01   -7.51019637e-02
207      1.37477142e-04    7.08121622e-01   -7.08121622e-02
208      1.38476166e-04    6.62434422e-01   -6.62434422e-02
209      1.39475191e-04    6.14137990e-01   -6.14137990e-02
210      1.40474216e-04    5.63422560e-01   -5.63422560e-02
211      1.41473241e-04    5.10487891e-01   -5.10487891e-02
212      1.42472265e-04    4.55542487e-01   -4.55542487e-02
213      1.43471290e-04    3.98802768e-01   -3.98802768e-02
214      1.44470315e-04    3.40492224e-01   -3.40492224e-02
215      1.45469340e-04    2.80840531e-01   -2.80840531e-02
216      1.46468365e-04    2.20082650e-01   -2.20082650e-02
217      1.47467389e-04    1.58457895e-01   -1.58457895e-02
218      1.48466414e-04    9.62089984e-02   -9.62089984e-03
219      1.49465439e-04    3.35811486e-02   -3.35811486e-03
220      1.50464464e-04   -2.91789724e-02    2.91789724e-03
221      1.51463488e-04   -9.18241617e-02    9.18241617e-03
222      1.52352013e-04   -1.47243995e-01    1.47243995e-02
223      1.53240537e-04   -2.02205029e-01    2.02205029e-02
224      1.54129061e-04   -2.56536010e-01    2.56536010e-02
225      1.55017585e-04   -3.10067646e-01    3.10067646e-02
226      1.55906110e-04   -3.62633138e-01    3.62633138e-02
227      1.56794634e-04   -4.14068696e-01    4.14068696e-02
228      1.57683158e-04   -4.64214052e-01    4.64214052e-02
229      1.58571682e-04   -5.12912957e-01    5.12912957e-02
230      1.59460206e-04   -5.60013669e-01    5.60013669e-02
231      1.60348731e-04   -6.05369427e-01    6.05369427e-02
232      1.61237255e-04   -6.48838905e-01    6.48838905e-02
233      1.62125779e-04   -6.90286658e-01    6.90286658e-02
234      1.63014303e-04   -7.29583536e-01    7.29583536e-02
235      1.63902827e-04   -7.66607095e-01    7.66607095e-02
236      1.64791352e-04   -8.01241972e-01    8.01241972e-02
237      1.65679876e-04   -8.33380248e-01    8.33380248e-02
238      1.66568400e-04   -8.62921782e-01    8.62921782e-02
239      1.67456924e-04   -8.89774527e-01    8.89774527e-02
240      1.68345449e-04   -9.13854810e-01    9.13854810e-02
