Index    FREQ    Re(V(1))    Im(V(1))    VR(1)    VI(1)    VM(1)    VP(1)    VDB(1)    Re(I(V1))    Im(I(V1))    IR(V1)    II(V1)    IM(V1)    IP(V1)    IDB(V1)    
21   -2.90000000e+005   -1.60976715e-004   -3.51550531e-004   -1.60976715e-004   -3.51550531e-004   3.86653952e-004   -2.00020450e+000   -6.82535509e+001   1.61617283e-007   3.51257211e-007   1.61617283e-007   3.51257211e-007   3.86654593e-007   1.13956603e+000   -1.28253537e+002   
22   -2.80000000e+005   -1.39779894e-004   -8.99619085e-005   -1.39779894e-004   -8.99619085e-005   1.66227446e-004   -2.56973190e+000   -7.55859454e+001   1.39938163e-007   8.97159948e-008   1.39938163e-007   8.97159948e-008   1.66227703e-007   5.70101462e-001   -1.35585932e+002   
23   -2.70000000e+005   -9.54928250e-004   -6.26907240e-004   -9.54928250e-004   -6.26907240e-004   1.14232248e-003   -2.56066389e+000   -5.88442255e+001   9.55991773e-007   6.25287242e-007   9.55991773e-007   6.25287242e-007   1.14232412e-006   5.79232309e-001   -1.18844213e+002   
24   -2.60000000e+005   -2.23166178e-004   -2.08022933e-005   -2.23166178e-004   -2.08022933e-005   2.24133617e-004   -3.04864687e+000   -7.29898600e+001   2.23200161e-007   2.04377227e-008   2.23200161e-007   2.04377227e-008   2.24133916e-007   9.13121583e-002   -1.32989848e+002   
25   -2.50000000e+005   -1.63032683e-003   4.83532898e-005   -1.63032683e-003   4.83532898e-005   1.63104372e-003   3.11194270e+000   -5.57506880e+001   1.63025087e-006   -5.09142012e-008   1.63025087e-006   -5.09142012e-008   1.63104573e-006   -3.12207516e-002   -1.15750677e+002   
26   -2.40000000e+005   -1.86492438e-004   8.41359517e-005   -1.86492438e-004   8.41359517e-005   2.04592981e-004   2.71778330e+000   -7.37821854e+001   1.86365564e-007   -8.44171757e-008   1.86365564e-007   -8.44171757e-008   2.04593214e-007   -4.25317320e-001   -1.33782176e+002   
27   -2.30000000e+005   -1.23419784e-003   9.29986454e-004   -1.23419784e-003   9.29986454e-004   1.54535404e-003   2.49584580e+000   -5.62194402e+001   1.23285388e-006   -9.31770033e-007   1.23285388e-006   -9.31770033e-007   1.54535565e-006   -6.47191981e-001   -1.16219431e+002   
28   -2.20000000e+005   -7.51773694e-005   9.55036965e-005   -7.51773694e-005   9.55036965e-005   1.21542556e-004   2.23766321e+000   -7.83054327e+001   7.50453545e-008   -9.56076143e-008   7.50453545e-008   -9.56076143e-008   1.21542672e-007   -9.05311743e-001   -1.38305424e+002   
29   -2.10000000e+005   -2.22765471e-004   6.61917229e-004   -2.22765471e-004   6.61917229e-004   6.98397361e-004   1.89543532e+000   -6.31179482e+001   2.21892092e-007   -6.62211162e-007   2.21892092e-007   -6.62211162e-007   6.98397969e-007   -1.24747680e+000   -1.23117941e+002   
30   -2.00000000e+005   -1.84558733e-005   6.41845233e-006   -1.84558733e-005   6.41845233e-006   1.95401072e-005   2.80690328e+000   -9.41814611e+001   1.84478077e-008   -6.44164467e-009   1.84478077e-008   -6.44164467e-009   1.95401227e-008   -3.35946014e-001   -1.54181454e+002   
31   -1.90000000e+005   -3.13525840e-004   -8.08321532e-004   -3.13525840e-004   -8.08321532e-004   8.66996051e-004   -1.94080460e+000   -6.12396576e+001   3.14490818e-007   8.07947244e-007   3.14490818e-007   8.07947244e-007   8.66996669e-007   1.19959425e+000   -1.21239651e+002   
32   -1.80000000e+005   -7.12562941e-005   -7.30279309e-005   -7.12562941e-005   -7.30279309e-005   1.02032045e-004   -2.34391631e+000   -7.98252682e+001   7.13388867e-008   7.29473419e-008   7.13388867e-008   7.29473419e-008   1.02032110e-007   7.96545371e-001   -1.39825263e+002   
33   -1.70000000e+005   -2.31085279e-003   -1.57172667e-003   -2.31085279e-003   -1.57172667e-003   2.79470309e-003   -2.54431339e+000   -5.10732865e+001   2.31253162e-006   1.56925836e-006   2.31253162e-006   1.56925836e-006   2.79470468e-006   5.96211125e-001   -1.11073282e+002   
34   -1.60000000e+005   -1.60072157e-004   -4.94118464e-005   -1.60072157e-004   -4.94118464e-005   1.67525001e-004   -2.84218729e+000   -7.55184074e+001   1.60121831e-007   4.92509243e-008   1.60121831e-007   4.92509243e-008   1.67525086e-007   2.98400050e-001   -1.35518403e+002   
35   -1.50000000e+005   -4.39895045e-003   1.09088249e-004   -4.39895045e-003   1.09088249e-004   4.40030286e-003   3.11679904e+000   -4.71303486e+001   4.39884763e-006   -1.13234162e-007   4.39884763e-006   -1.13234162e-007   4.40030482e-006   -2.57360950e-002   -1.07130345e+002   
