Index       TIME              VM(1)      
0        0.00000000e+00    4.74491393e-01
1        4.76190476e-06    9.27966176e-01
2        9.52380952e-06    1.38580585e+00
3        1.42857143e-05    1.43074398e+00
4        1.90476190e-05    1.43082030e+00
5        2.38095238e-05    1.43078505e+00
6        2.85714286e-05    1.43078173e+00
7        3.33333333e-05    1.43081007e+00
8        3.80952381e-05    1.43075692e+00
9        4.28571429e-05    1.43085287e+00
10       4.76190476e-05    1.43061365e+00
11       5.23809524e-05    1.19771750e+00
12       5.71428571e-05    7.38064592e-01
13       6.19047619e-05    4.71438857e-01
14       6.66666667e-05    4.73533899e-01
15       7.14285714e-05    4.73120592e-01
16       7.61904762e-05    4.73245951e-01
17       8.09523810e-05    4.73255233e-01
18       8.57142857e-05    4.73130816e-01
19       9.04761905e-05    4.73414713e-01
20       9.52380952e-05    4.72809230e-01


0        0.00000000e+00    4.86402305e-01
1        4.76190476e-06    9.40315434e-01
2        9.52380952e-06    1.39836304e+00
3        1.42857143e-05    1.44332333e+00
4        1.90476190e-05    1.44339800e+00
5        2.38095238e-05    1.44336383e+00
6        2.85714286e-05    1.44335979e+00
7        3.33333333e-05    1.44338860e+00
8        3.80952381e-05    1.44333520e+00
9        4.28571429e-05    1.44343106e+00
10       4.76190476e-05    1.44319309e+00
11       5.23809524e-05    1.21024331e+00
12       5.71428571e-05    7.50376886e-01
13       6.19047619e-05    4.83403823e-01
14       6.66666667e-05    4.85464475e-01
15       7.14285714e-05    4.85059759e-01
16       7.61904762e-05    4.85181948e-01
17       8.09523810e-05    4.85191960e-01
18       8.57142857e-05    4.85068882e-01
19       9.04761905e-05    4.85348488e-01
20       9.52380952e-05    4.84753524e-01


0        0.00000000e+00    4.95312050e-01
1        4.76190476e-06    9.49542108e-01
2        9.52380952e-06    1.40773881e+00
3        1.42857143e-05    1.45271476e+00
4        1.90476190e-05    1.45278811e+00
5        2.38095238e-05    1.45275480e+00
6        2.85714286e-05    1.45275018e+00
7        3.33333333e-05    1.45277940e+00
8        3.80952381e-05    1.45272575e+00
9        4.28571429e-05    1.45282161e+00
10       4.76190476e-05    1.45258449e+00
11       5.23809524e-05    1.21959601e+00
12       5.71428571e-05    7.59574146e-01
13       6.19047619e-05    4.92350613e-01
14       6.66666667e-05    4.94388139e-01
15       7.14285714e-05    4.93989499e-01
16       7.61904762e-05    4.94109384e-01
17       8.09523810e-05    4.94120011e-01
18       8.57142857e-05    4.93997751e-01
19       9.04761905e-05    4.94274483e-01
20       9.52380952e-05    4.93686771e-01


0        0.00000000e+00    5.02434491e-01
1        4.76190476e-06    9.56911891e-01
2        9.52380952e-06    1.41522406e+00
3        1.42857143e-05    1.46021193e+00
4        1.90476190e-05    1.46028417e+00
5        2.38095238e-05    1.46025158e+00
6        2.85714286e-05    1.46024645e+00
7        3.33333333e-05    1.46027604e+00
8        3.80952381e-05    1.46022215e+00
9        4.28571429e-05    1.46031805e+00
10       4.76190476e-05    1.46008157e+00
11       5.23809524e-05    1.22706283e+00
12       5.71428571e-05    7.66918858e-01
13       6.19047619e-05    4.99500454e-01
14       6.66666667e-05    5.01521220e-01
15       7.14285714e-05    5.01127225e-01
16       7.61904762e-05    5.01245303e-01
17       8.09523810e-05    5.01256474e-01
18       8.57142857e-05    5.01134742e-01
19       9.04761905e-05    5.01409400e-01
20       9.52380952e-05    5.00827087e-01
End of Xyce(TM) Parameter Sweep
