Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
17       1.68316832e-05    1.42244048e+00    1.42244048e+00    0.00000000e+00    1.42244048e+00    0.00000000e+00    3.06068204e+00   -1.42243938e-03   -1.42243938e-03    0.00000000e+00    1.42243938e-03    1.80000000e+02   -5.69393247e+01    1.42244048e-03    1.42244048e-03    0.00000000e+00    1.42244048e-03    0.00000000e+00   -5.69393180e+01
18       1.78217822e-05    1.42244610e+00    1.42244610e+00    0.00000000e+00    1.42244610e+00    0.00000000e+00    3.06071636e+00   -1.42244694e-03   -1.42244694e-03    0.00000000e+00    1.42244694e-03    1.80000000e+02   -5.69392785e+01    1.42244610e-03    1.42244610e-03    0.00000000e+00    1.42244610e-03    0.00000000e+00   -5.69392836e+01
19       1.88118812e-05    1.42244153e+00    1.42244153e+00    0.00000000e+00    1.42244153e+00    0.00000000e+00    3.06068849e+00   -1.42244088e-03   -1.42244088e-03    0.00000000e+00    1.42244088e-03    1.80000000e+02   -5.69393155e+01    1.42244153e-03    1.42244153e-03    0.00000000e+00    1.42244153e-03    0.00000000e+00   -5.69393115e+01
20       1.98019802e-05    1.42244499e+00    1.42244499e+00    0.00000000e+00    1.42244499e+00    0.00000000e+00    3.06070958e+00   -1.42244549e-03   -1.42244549e-03    0.00000000e+00    1.42244549e-03    1.80000000e+02   -5.69392874e+01    1.42244499e-03    1.42244499e-03    0.00000000e+00    1.42244499e-03    0.00000000e+00   -5.69392904e+01
21       2.07920792e-05    1.42244231e+00    1.42244231e+00    0.00000000e+00    1.42244231e+00    0.00000000e+00    3.06069325e+00   -1.42244193e-03   -1.42244193e-03    0.00000000e+00    1.42244193e-03    1.80000000e+02   -5.69393091e+01    1.42244231e-03    1.42244231e-03    0.00000000e+00    1.42244231e-03    0.00000000e+00   -5.69393068e+01
22       2.17821782e-05    1.42244434e+00    1.42244434e+00    0.00000000e+00    1.42244434e+00    0.00000000e+00    3.06070563e+00   -1.42244463e-03   -1.42244463e-03    0.00000000e+00    1.42244463e-03    1.80000000e+02   -5.69392926e+01    1.42244434e-03    1.42244434e-03    0.00000000e+00    1.42244434e-03    0.00000000e+00   -5.69392944e+01
23       2.27722772e-05    1.42244283e+00    1.42244283e+00    0.00000000e+00    1.42244283e+00    0.00000000e+00    3.06069641e+00   -1.42244262e-03   -1.42244262e-03    0.00000000e+00    1.42244262e-03    1.80000000e+02   -5.69393049e+01    1.42244283e-03    1.42244283e-03    0.00000000e+00    1.42244283e-03    0.00000000e+00   -5.69393036e+01
24       2.37623762e-05    1.42244391e+00    1.42244391e+00    0.00000000e+00    1.42244391e+00    0.00000000e+00    3.06070300e+00   -1.42244405e-03   -1.42244405e-03    0.00000000e+00    1.42244405e-03    1.80000000e+02   -5.69392961e+01    1.42244391e-03    1.42244391e-03    0.00000000e+00    1.42244391e-03    0.00000000e+00   -5.69392970e+01
25       2.47524752e-05    1.42244319e+00    1.42244319e+00    0.00000000e+00    1.42244319e+00    0.00000000e+00    3.06069861e+00   -1.42244310e-03   -1.42244310e-03    0.00000000e+00    1.42244310e-03    1.80000000e+02   -5.69393019e+01    1.42244319e-03    1.42244319e-03    0.00000000e+00    1.42244319e-03    0.00000000e+00   -5.69393014e+01
26       2.57425743e-05    1.42244360e+00    1.42244360e+00    0.00000000e+00    1.42244360e+00    0.00000000e+00    3.06070112e+00   -1.42244364e-03   -1.42244364e-03    0.00000000e+00    1.42244364e-03    1.80000000e+02   -5.69392986e+01    1.42244360e-03    1.42244360e-03    0.00000000e+00    1.42244360e-03    0.00000000e+00   -5.69392989e+01
27       2.67326733e-05    1.42244346e+00    1.42244346e+00    0.00000000e+00    1.42244346e+00    0.00000000e+00    3.06070024e+00   -1.42244346e-03   -1.42244346e-03    0.00000000e+00    1.42244346e-03    1.80000000e+02   -5.69392997e+01    1.42244346e-03    1.42244346e-03    0.00000000e+00    1.42244346e-03    0.00000000e+00   -5.69392998e+01
28       2.77227723e-05    1.42244337e+00    1.42244337e+00    0.00000000e+00    1.42244337e+00    0.00000000e+00    3.06069970e+00   -1.42244333e-03   -1.42244333e-03    0.00000000e+00    1.42244333e-03    1.80000000e+02   -5.69393005e+01    1.42244337e-03    1.42244337e-03    0.00000000e+00    1.42244337e-03    0.00000000e+00   -5.69393003e+01
