Index       TIME             I(VPR2)          V(NODE3)           V(PR1)      
72       2.20633694e-06    1.53277573e-02    7.84862037e-01    7.84862037e-01
73       2.21060909e-06    1.54650932e-02    7.85092630e-01    7.85092630e-01
74       2.21488125e-06    1.55885833e-02    7.85298235e-01    7.85298235e-01
75       2.21915340e-06    1.56981359e-02    7.85479275e-01    7.85479275e-01
76       2.22342555e-06    1.57936695e-02    7.85636120e-01    7.85636120e-01
77       2.22769771e-06    1.58751131e-02    7.85769085e-01    7.85769085e-01
78       2.23196986e-06    1.59424063e-02    7.85878434e-01    7.85878434e-01
79       2.23624201e-06    1.59954990e-02    7.85964383e-01    7.85964383e-01
80       2.24051417e-06    1.60343519e-02    7.86027099e-01    7.86027099e-01
81       2.24478632e-06    1.60589362e-02    7.86066705e-01    7.86066705e-01
82       2.24905847e-06    1.60692337e-02    7.86083276e-01    7.86083276e-01
83       2.25333063e-06    1.60652366e-02    7.86076845e-01    7.86076845e-01
84       2.25760278e-06    1.60469479e-02    7.86047399e-01    7.86047399e-01
85       2.26187493e-06    1.60143813e-02    7.85994882e-01    7.85994882e-01
86       2.26614709e-06    1.59675608e-02    7.85919191e-01    7.85919191e-01
87       2.27041924e-06    1.59065213e-02    7.85820180e-01    7.85820180e-01
88       2.27469139e-06    1.58313080e-02    7.85697653e-01    7.85697653e-01
89       2.27896355e-06    1.57419768e-02    7.85551370e-01    7.85551370e-01
90       2.28323570e-06    1.56385940e-02    7.85381036e-01    7.85381036e-01
91       2.28750785e-06    1.55212365e-02    7.85186308e-01    7.85186308e-01
92       2.29178001e-06    1.53899914e-02    7.84966785e-01    7.84966785e-01
93       2.29605216e-06    1.52449565e-02    7.84722008e-01    7.84722008e-01
94       2.30032431e-06    1.50862397e-02    7.84451458e-01    7.84451458e-01
95       2.30459647e-06    1.49139594e-02    7.84154546e-01    7.84154546e-01
96       2.30886862e-06    1.47282439e-02    7.83830614e-01    7.83830614e-01
97       2.31314077e-06    1.45292319e-02    7.83478924e-01    7.83478924e-01
98       2.31741293e-06    1.43170723e-02    7.83098655e-01    7.83098655e-01
99       2.32168508e-06    1.40919238e-02    7.82688892e-01    7.82688892e-01
100      2.32595723e-06    1.38539551e-02    7.82248618e-01    7.82248618e-01
101      2.33022939e-06    1.36033451e-02    7.81776704e-01    7.81776704e-01
102      2.33450154e-06    1.33402821e-02    7.81271894e-01    7.81271894e-01
103      2.33877369e-06    1.30649646e-02    7.80732793e-01    7.80732793e-01
104      2.34304585e-06    1.27776006e-02    7.80157850e-01    7.80157850e-01
105      2.34731800e-06    1.24784078e-02    7.79545335e-01    7.79545335e-01
106      2.35159015e-06    1.21676138e-02    7.78893319e-01    7.78893319e-01
107      2.35586231e-06    1.18454555e-02    7.78199642e-01    7.78199642e-01
108      2.36013446e-06    1.15121796e-02    7.77461884e-01    7.77461884e-01
109      2.36440661e-06    1.11680426e-02    7.76677323e-01    7.76677323e-01
110      2.36867877e-06    1.08133106e-02    7.75842889e-01    7.75842889e-01
111      2.37295092e-06    1.04482595e-02    7.74955101e-01    7.74955101e-01
112      2.37722307e-06    1.00731755e-02    7.74010002e-01    7.74010002e-01
113      2.38149523e-06    9.68835459e-03    7.73003070e-01    7.73003070e-01
114      2.38576738e-06    9.29410383e-03    7.71929108e-01    7.71929108e-01
115      2.39003953e-06    8.89074112e-03    7.70782109e-01    7.70782109e-01
116      2.39431169e-06    8.47859616e-03    7.69555086e-01    7.69555086e-01
117      2.39858384e-06    8.05801124e-03    7.68239850e-01    7.68239850e-01
118      2.40285599e-06    7.62934253e-03    7.66826723e-01    7.66826723e-01
119      2.40712815e-06    7.19296167e-03    7.65304164e-01    7.65304164e-01
120      2.41140030e-06    6.74925809e-03    7.63658267e-01    7.63658267e-01
121      2.41567245e-06    6.29864220e-03    7.61872070e-01    7.61872070e-01
122      2.41994461e-06    5.84154991e-03    7.59924613e-01    7.59924613e-01
123      2.42421676e-06    5.37844915e-03    7.57789579e-01    7.57789579e-01
124      2.42848891e-06    4.90984946e-03    7.55433329e-01    7.55433329e-01
125      2.43276106e-06    4.43631656e-03    7.52811941e-01    7.52811941e-01
126      2.43703322e-06    3.95849516e-03    7.49866596e-01    7.49866596e-01
127      2.44130537e-06    3.47714617e-03    7.46516089e-01    7.46516089e-01
128      2.44557752e-06    2.99321053e-03    7.42644006e-01    7.42644006e-01
129      2.44984968e-06    2.50792568e-03    7.38075384e-01    7.38075384e-01
130      2.45412183e-06    2.02305549e-03    7.32530668e-01    7.32530668e-01
131      2.45839398e-06    1.54139295e-03    7.25525123e-01    7.25525123e-01
132      2.46266614e-06    1.06854938e-03    7.16010940e-01    7.16010940e-01
133      2.46619320e-06    6.92432898e-04    7.04795882e-01    7.04795882e-01
134      2.46794806e-06    5.14906804e-04    6.97137541e-01    6.97137541e-01
135      2.46970292e-06    3.48906608e-04    6.87076748e-01    6.87076748e-01
136      2.47105243e-06    2.33927906e-04    6.76741649e-01    6.76741649e-01
137      2.47209519e-06    1.56735887e-04    6.66389422e-01    6.66389422e-01
138      2.47292041e-06    1.05610402e-04    6.56183163e-01    6.56183163e-01
139      2.47361129e-06    7.11203880e-05    6.45962002e-01    6.45962002e-01
140      2.47422639e-06    4.73748877e-05    6.35459100e-01    6.35459100e-01
141      2.47477997e-06    3.14901625e-05    6.24901002e-01    6.24901002e-01
142      2.47533356e-06    2.01953517e-05    6.13417283e-01    6.13417283e-01
143      2.47588715e-06    1.25841980e-05    6.01189364e-01    6.01189364e-01
144      2.47644074e-06    7.67700453e-06    5.88413347e-01    5.88413347e-01
145      2.47699433e-06    4.61568446e-06    5.75261019e-01    5.75261019e-01
146      2.47754792e-06    2.74884304e-06    5.61862824e-01    5.61862824e-01
147      2.47865510e-06    9.59630919e-07    5.34657294e-01    5.34657294e-01
148      2.47976227e-06    3.31682202e-07    5.07193627e-01    5.07193627e-01
149      2.48086945e-06    1.14169314e-07    4.79623325e-01    4.79623325e-01
150      2.48308381e-06    1.34568275e-08    4.24347559e-01    4.24347559e-01
151      2.48751252e-06    1.85271505e-10    3.13522686e-01    3.13522686e-01
152      2.49194123e-06    2.71987711e-12    2.02452447e-01    2.02452447e-01
153      2.49636994e-06    1.24309804e-13    9.12254218e-02    9.12254218e-02
154      2.50079865e-06   -2.06122019e-14   -2.00722360e-02   -2.00722360e-02
155      2.50522736e-06   -4.11188300e-13   -1.31354353e-01   -1.31354353e-01
156      2.50965607e-06   -2.08820357e-11   -2.42534763e-01   -2.42534763e-01
157      2.51408479e-06   -1.51159345e-09   -3.53527095e-01   -3.53527095e-01
158      2.51851350e-06   -1.09396843e-07   -4.64224425e-01   -4.64224425e-01
159      2.52145612e-06   -1.84436631e-06   -5.37250291e-01   -5.37250291e-01
160      2.52278851e-06   -6.42107763e-06   -5.69498456e-01   -5.69498456e-01
161      2.52412090e-06   -2.07052337e-05   -5.99765130e-01   -5.99765130e-01
162      2.52507614e-06   -4.34639649e-05   -6.18935040e-01   -6.18935040e-01
163      2.52575907e-06   -6.88095351e-05   -6.30811361e-01   -6.30811361e-01
164      2.52634506e-06   -9.70346323e-05   -6.39697095e-01   -6.39697095e-01
165      2.52687246e-06   -1.27297297e-04   -6.46714607e-01   -6.46714607e-01
166      2.52739985e-06   -1.61694580e-04   -6.52897814e-01   -6.52897814e-01
167      2.52792725e-06   -1.99689904e-04   -6.58353889e-01   -6.58353889e-01
168      2.52845464e-06   -2.40754679e-04   -6.63188405e-01   -6.63188405e-01
169      2.52898203e-06   -2.84412697e-04   -6.67496462e-01   -6.67496462e-01
170      2.52950943e-06   -3.30255237e-04   -6.71359660e-01   -6.71359660e-01
171      2.53003682e-06   -3.77940395e-04   -6.74846238e-01   -6.74846238e-01
172      2.53056422e-06   -4.27178039e-04   -6.78014078e-01   -6.78014078e-01
173      2.53161901e-06   -5.29467575e-04   -6.83561615e-01   -6.83561615e-01
174      2.53267380e-06   -6.35688601e-04   -6.88288180e-01   -6.88288180e-01
175      2.53372858e-06   -7.44875233e-04   -6.92385808e-01   -6.92385808e-01
176      2.53478337e-06   -8.56319985e-04   -6.95994857e-01   -6.95994857e-01
177      2.53583816e-06   -9.69572258e-04   -6.99204309e-01   -6.99204309e-01
178      2.53689295e-06   -1.08423374e-03   -7.02092693e-01   -7.02092693e-01
179      2.53900253e-06   -1.31667800e-03   -7.07122979e-01   -7.07122979e-01
180      2.54111211e-06   -1.55215025e-03   -7.11377168e-01   -7.11377168e-01
181      2.54322168e-06   -1.78962107e-03   -7.15052123e-01   -7.15052123e-01
182      2.54533126e-06   -2.02835259e-03   -7.18286429e-01   -7.18286429e-01
183      2.54744084e-06   -2.26784926e-03   -7.21170235e-01   -7.21170235e-01
184      2.55166000e-06   -2.74768224e-03   -7.26141873e-01   -7.26141873e-01
185      2.55587915e-06   -3.22710051e-03   -7.30300000e-01   -7.30300000e-01
186      2.56009831e-06   -3.70466749e-03   -7.33861633e-01   -7.33861633e-01
187      2.56431746e-06   -4.17929433e-03   -7.36974918e-01   -7.36974918e-01
188      2.56853662e-06   -4.65016907e-03   -7.39733353e-01   -7.39733353e-01
189      2.57275577e-06   -5.11661764e-03   -7.42203636e-01   -7.42203636e-01
190      2.57697493e-06   -5.57805592e-03   -7.44435297e-01   -7.44435297e-01
191      2.58119408e-06   -6.03396374e-03   -7.46465948e-01   -7.46465948e-01
192      2.58541324e-06   -6.48386765e-03   -7.48324780e-01   -7.48324780e-01
193      2.58963239e-06   -6.92732948e-03   -7.50034882e-01   -7.50034882e-01
194      2.59385155e-06   -7.36393877e-03   -7.51614825e-01   -7.51614825e-01
195      2.59807071e-06   -7.79330742e-03   -7.53079754e-01   -7.53079754e-01
196      2.60228986e-06   -8.21506600e-03   -7.54442178e-01   -7.54442178e-01
197      2.60650902e-06   -8.62886113e-03   -7.55712540e-01   -7.55712540e-01
198      2.61072817e-06   -9.03435352e-03   -7.56899648e-01   -7.56899648e-01
199      2.61494733e-06   -9.43121662e-03   -7.58010989e-01   -7.58010989e-01
200      2.61916648e-06   -9.81913554e-03   -7.59052983e-01   -7.59052983e-01
201      2.62338564e-06   -1.01978063e-02   -7.60031169e-01   -7.60031169e-01
202      2.62760479e-06   -1.05669354e-02   -7.60950356e-01   -7.60950356e-01
203      2.63182395e-06   -1.09262391e-02   -7.61814744e-01   -7.61814744e-01
204      2.63604310e-06   -1.12754435e-02   -7.62628019e-01   -7.62628019e-01
205      2.64026226e-06   -1.16142841e-02   -7.63393430e-01   -7.63393430e-01
206      2.64448142e-06   -1.19425057e-02   -7.64113853e-01   -7.64113853e-01
207      2.64870057e-06   -1.22598624e-02   -7.64791843e-01   -7.64791843e-01
208      2.65291973e-06   -1.25661173e-02   -7.65429678e-01   -7.65429678e-01
209      2.65713888e-06   -1.28610429e-02   -7.66029391e-01   -7.66029391e-01
210      2.66135804e-06   -1.31444207e-02   -7.66592806e-01   -7.66592806e-01
211      2.66557719e-06   -1.34160414e-02   -7.67121558e-01   -7.67121558e-01
212      2.66979635e-06   -1.36757048e-02   -7.67617119e-01   -7.67617119e-01
213      2.67401550e-06   -1.39232202e-02   -7.68080813e-01   -7.68080813e-01
214      2.67823466e-06   -1.41584061e-02   -7.68513835e-01   -7.68513835e-01
215      2.68245382e-06   -1.43810901e-02   -7.68917259e-01   -7.68917259e-01
216      2.68667297e-06   -1.45911097e-02   -7.69292056e-01   -7.69292056e-01
217      2.69089213e-06   -1.47883115e-02   -7.69639100e-01   -7.69639100e-01
218      2.69511128e-06   -1.49725518e-02   -7.69959178e-01   -7.69959178e-01
219      2.69933044e-06   -1.51436965e-02   -7.70252996e-01   -7.70252996e-01
220      2.70354959e-06   -1.53016210e-02   -7.70521186e-01   -7.70521186e-01
221      2.70776875e-06   -1.54462108e-02   -7.70764315e-01   -7.70764315e-01
222      2.71198790e-06   -1.55773607e-02   -7.70982885e-01   -7.70982885e-01
223      2.71620706e-06   -1.56949756e-02   -7.71177338e-01   -7.71177338e-01
224      2.72042621e-06   -1.57989703e-02   -7.71348063e-01   -7.71348063e-01
225      2.72464537e-06   -1.58892694e-02   -7.71495395e-01   -7.71495395e-01
226      2.72886453e-06   -1.59658076e-02   -7.71619620e-01   -7.71619620e-01
227      2.73308368e-06   -1.60285293e-02   -7.71720978e-01   -7.71720978e-01
