Index    TIME    V(1)    VR(1)    VI(1)    I(V1)    
56   6.26253900e-006   1.06277660e+000   1.06277660e+000   0.00000000e-001   -1.06287282e-003   
57   6.48021724e-006   1.08373937e+000   1.08373937e+000   0.00000000e-001   -1.08383567e-003   
58   6.69789547e-006   1.10471787e+000   1.10471787e+000   0.00000000e-001   -1.10481425e-003   
59   6.91557370e-006   1.12571153e+000   1.12571153e+000   0.00000000e-001   -1.12580797e-003   
60   7.13325194e-006   1.14671979e+000   1.14671979e+000   0.00000000e-001   -1.14681630e-003   
61   7.35093017e-006   1.16774213e+000   1.16774213e+000   0.00000000e-001   -1.16783871e-003   
62   7.56860840e-006   1.18877807e+000   1.18877807e+000   0.00000000e-001   -1.18887470e-003   
63   7.78628664e-006   1.20982712e+000   1.20982712e+000   0.00000000e-001   -1.20992382e-003   
64   8.00396487e-006   1.23088884e+000   1.23088884e+000   0.00000000e-001   -1.23098559e-003   
65   8.22164310e-006   1.25196280e+000   1.25196280e+000   0.00000000e-001   -1.25205961e-003   
66   8.43932134e-006   1.27304859e+000   1.27304859e+000   0.00000000e-001   -1.27314546e-003   
67   8.65699957e-006   1.29414583e+000   1.29414583e+000   0.00000000e-001   -1.29424275e-003   
68   8.87467780e-006   1.31525415e+000   1.31525415e+000   0.00000000e-001   -1.31535112e-003   
69   9.09235604e-006   1.33637318e+000   1.33637318e+000   0.00000000e-001   -1.33647020e-003   
70   9.31003427e-006   1.35750260e+000   1.35750260e+000   0.00000000e-001   -1.35759967e-003   
71   9.52771251e-006   1.37864209e+000   1.37864209e+000   0.00000000e-001   -1.37873920e-003   
72   9.96306897e-006   1.42094986e+000   1.42094986e+000   0.00000000e-001   -1.42104704e-003   
73   1.00000000e-005   1.42454056e+000   1.42454056e+000   0.00000000e-001   -1.42463779e-003   
74   1.00242821e-005   1.42447569e+000   1.42447569e+000   0.00000000e-001   -1.42447302e-003   
75   1.00461360e-005   1.42441903e+000   1.42441903e+000   0.00000000e-001   -1.42441643e-003   
76   1.00898438e-005   1.42431192e+000   1.42431192e+000   0.00000000e-001   -1.42430947e-003   
77   1.01772594e-005   1.42411999e+000   1.42411999e+000   0.00000000e-001   -1.42411779e-003   
78   1.02646750e-005   1.42394817e+000   1.42394817e+000   0.00000000e-001   -1.42394620e-003   
