Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
15       2.30300000e-07    4.63552566e-01    4.63552566e-01    0.00000000e+00    4.63552566e-01    0.00000000e+00   -6.67802021e+00   -9.27203022e-04   -9.27203022e-04    0.00000000e+00    9.27203022e-04    1.80000000e+02   -6.06565032e+01    9.27105132e-04    9.27105132e-04    0.00000000e+00    9.27105132e-04    0.00000000e+00   -6.06574203e+01
16       2.76380000e-07    4.68047891e-01    4.68047891e-01    0.00000000e+00    4.68047891e-01    0.00000000e+00   -6.59419415e+00   -9.36193337e-04   -9.36193337e-04    0.00000000e+00    9.36193337e-04    1.80000000e+02   -6.05726891e+01    9.36095782e-04    9.36095782e-04    0.00000000e+00    9.36095782e-04    0.00000000e+00   -6.05735942e+01
17       3.22460000e-07    4.72528793e-01    4.72528793e-01    0.00000000e+00    4.72528793e-01    0.00000000e+00   -6.51143447e+00   -9.45154827e-04   -9.45154827e-04    0.00000000e+00    9.45154827e-04    1.80000000e+02   -6.04899409e+01    9.45057586e-04    9.45057586e-04    0.00000000e+00    9.45057586e-04    0.00000000e+00   -6.04908346e+01
18       3.68540000e-07    4.76996271e-01    4.76996271e-01    0.00000000e+00    4.76996271e-01    0.00000000e+00   -6.42970033e+00   -9.54089492e-04   -9.54089492e-04    0.00000000e+00    9.54089492e-04    1.80000000e+02   -6.04082177e+01    9.53992542e-04    9.53992542e-04    0.00000000e+00    9.53992542e-04    0.00000000e+00   -6.04091004e+01
19       4.14620000e-07    4.81451275e-01    4.81451275e-01    0.00000000e+00    4.81451275e-01    0.00000000e+00   -6.34895319e+00   -9.62999229e-04   -9.62999229e-04    0.00000000e+00    9.62999229e-04    1.80000000e+02   -6.03274812e+01    9.62902549e-04    9.62902549e-04    0.00000000e+00    9.62902549e-04    0.00000000e+00   -6.03283533e+01
20       4.60700000e-07    4.85894705e-01    4.85894705e-01    0.00000000e+00    4.85894705e-01    0.00000000e+00   -6.26915667e+00   -9.71885839e-04   -9.71885839e-04    0.00000000e+00    9.71885839e-04    1.80000000e+02   -6.02476949e+01    9.71789410e-04    9.71789410e-04    0.00000000e+00    9.71789410e-04    0.00000000e+00   -6.02485568e+01
21       5.06780000e-07    4.90327417e-01    4.90327417e-01    0.00000000e+00    4.90327417e-01    0.00000000e+00   -6.19027645e+00   -9.80751030e-04   -9.80751030e-04    0.00000000e+00    9.80751030e-04    1.80000000e+02   -6.01688245e+01    9.80654834e-04    9.80654834e-04    0.00000000e+00    9.80654834e-04    0.00000000e+00   -6.01696765e+01
22       5.52860000e-07    4.94750217e-01    4.94750217e-01    0.00000000e+00    4.94750217e-01    0.00000000e+00   -6.11228014e+00   -9.89596415e-04   -9.89596415e-04    0.00000000e+00    9.89596415e-04    1.80000000e+02   -6.00908377e+01    9.89500434e-04    9.89500434e-04    0.00000000e+00    9.89500434e-04    0.00000000e+00   -6.00916802e+01
23       5.98940000e-07    4.99163868e-01    4.99163868e-01    0.00000000e+00    4.99163868e-01    0.00000000e+00   -6.03513717e+00   -9.98423518e-04   -9.98423518e-04    0.00000000e+00    9.98423518e-04    1.80000000e+02   -6.00137040e+01    9.98327736e-04    9.98327736e-04    0.00000000e+00    9.98327736e-04    0.00000000e+00   -6.00145373e+01
24       6.45020000e-07    5.03569089e-01    5.03569089e-01    0.00000000e+00    5.03569089e-01    0.00000000e+00   -5.95881872e+00   -1.00723378e-03   -1.00723378e-03    0.00000000e+00    1.00723378e-03    1.80000000e+02   -5.99373944e+01    1.00713818e-03    1.00713818e-03    0.00000000e+00    1.00713818e-03    0.00000000e+00   -5.99382188e+01
25       6.91100000e-07    5.07966559e-01    5.07966559e-01    0.00000000e+00    5.07966559e-01    0.00000000e+00   -5.88329756e+00   -1.01602855e-03   -1.01602855e-03    0.00000000e+00    1.01602855e-03    1.80000000e+02   -5.98618818e+01    1.01593312e-03    1.01593312e-03    0.00000000e+00    1.01593312e-03    0.00000000e+00   -5.98626976e+01
26       7.37180000e-07    5.12356913e-01    5.12356913e-01    0.00000000e+00    5.12356913e-01    0.00000000e+00   -5.80854799e+00   -1.02480910e-03   -1.02480910e-03    0.00000000e+00    1.02480910e-03    1.80000000e+02   -5.97871405e+01    1.02471383e-03    1.02471383e-03    0.00000000e+00    1.02471383e-03    0.00000000e+00   -5.97879481e+01
27       7.83260000e-07    5.16740751e-01    5.16740751e-01    0.00000000e+00    5.16740751e-01    0.00000000e+00   -5.73454576e+00   -1.03357664e-03   -1.03357664e-03    0.00000000e+00    1.03357664e-03    1.80000000e+02   -5.97131463e+01    1.03348150e-03    1.03348150e-03    0.00000000e+00    1.03348150e-03    0.00000000e+00   -5.97139458e+01
28       8.29340000e-07    5.21118635e-01    5.21118635e-01    0.00000000e+00    5.21118635e-01    0.00000000e+00   -5.66126792e+00   -1.04233228e-03   -1.04233228e-03    0.00000000e+00    1.04233228e-03    1.80000000e+02   -5.96398763e+01    1.04223727e-03    1.04223727e-03    0.00000000e+00    1.04223727e-03    0.00000000e+00   -5.96406680e+01
29       8.75420000e-07    5.25491092e-01    5.25491092e-01    0.00000000e+00    5.25491092e-01    0.00000000e+00   -5.58869283e+00   -1.05107707e-03   -1.05107707e-03    0.00000000e+00    1.05107707e-03    1.80000000e+02   -5.95673087e+01    1.05098218e-03    1.05098218e-03    0.00000000e+00    1.05098218e-03    0.00000000e+00   -5.95680929e+01
30       9.67580000e-07    5.34216364e-01    5.34216364e-01    0.00000000e+00    5.34216364e-01    0.00000000e+00   -5.44565626e+00   -1.06852740e-03   -1.06852740e-03    0.00000000e+00    1.06852740e-03    1.80000000e+02   -5.94242867e+01    1.06843273e-03    1.06843273e-03    0.00000000e+00    1.06843273e-03    0.00000000e+00   -5.94250563e+01
31       1.05052400e-06    5.42057114e-01    5.42057114e-01    0.00000000e+00    5.42057114e-01    0.00000000e+00   -5.31909902e+00   -1.08420876e-03   -1.08420876e-03    0.00000000e+00    1.08420876e-03    1.80000000e+02   -5.92977418e+01    1.08411423e-03    1.08411423e-03    0.00000000e+00    1.08411423e-03    0.00000000e+00   -5.92984991e+01
32       1.13346800e-06    5.49887741e-01    5.49887741e-01    0.00000000e+00    5.49887741e-01    0.00000000e+00   -5.19451924e+00   -1.09986989e-03   -1.09986989e-03    0.00000000e+00    1.09986989e-03    1.80000000e+02   -5.91731737e+01    1.09977548e-03    1.09977548e-03    0.00000000e+00    1.09977548e-03    0.00000000e+00   -5.91739193e+01
33       1.21641200e-06    5.57710146e-01    5.57710146e-01    0.00000000e+00    5.57710146e-01    0.00000000e+00   -5.07182909e+00   -1.11551460e-03   -1.11551460e-03    0.00000000e+00    1.11551460e-03    1.80000000e+02   -5.90504948e+01    1.11542029e-03    1.11542029e-03    0.00000000e+00    1.11542029e-03    0.00000000e+00   -5.90512292e+01
34       1.29935600e-06    5.65526008e-01    5.65526008e-01    0.00000000e+00    5.65526008e-01    0.00000000e+00   -4.95094835e+00   -1.13114625e-03   -1.13114625e-03    0.00000000e+00    1.13114625e-03    1.80000000e+02   -5.89296248e+01    1.13105202e-03    1.13105202e-03    0.00000000e+00    1.13105202e-03    0.00000000e+00   -5.89303484e+01
35       1.38230000e-06    5.73336802e-01    5.73336802e-01    0.00000000e+00    5.73336802e-01    0.00000000e+00   -4.83180361e+00   -1.14676777e-03   -1.14676777e-03    0.00000000e+00    1.14676777e-03    1.80000000e+02   -5.88104904e+01    1.14667360e-03    1.14667360e-03    0.00000000e+00    1.14667360e-03    0.00000000e+00   -5.88112037e+01
36       1.54818800e-06    5.88941091e-01    5.88941091e-01    0.00000000e+00    5.88941091e-01    0.00000000e+00   -4.59856287e+00   -1.17797625e-03   -1.17797625e-03    0.00000000e+00    1.17797625e-03    1.80000000e+02   -5.85772693e+01    1.17788218e-03    1.17788218e-03    0.00000000e+00    1.17788218e-03    0.00000000e+00   -5.85779630e+01
37       1.71407600e-06    6.04541537e-01    6.04541537e-01    0.00000000e+00    6.04541537e-01    0.00000000e+00   -4.37147708e+00   -1.20917712e-03   -1.20917712e-03    0.00000000e+00    1.20917712e-03    1.80000000e+02   -5.83502016e+01    1.20908307e-03    1.20908307e-03    0.00000000e+00    1.20908307e-03    0.00000000e+00   -5.83508772e+01
38       2.04585200e-06    6.35739129e-01    6.35739129e-01    0.00000000e+00    6.35739129e-01    0.00000000e+00   -3.93442115e+00   -1.27157229e-03   -1.27157229e-03    0.00000000e+00    1.27157229e-03    1.80000000e+02   -5.79131789e+01    1.27147826e-03    1.27147826e-03    0.00000000e+00    1.27147826e-03    0.00000000e+00   -5.79138212e+01
39       2.30723941e-06    6.60351598e-01    6.60351598e-01    0.00000000e+00    6.60351598e-01    0.00000000e+00   -3.60449534e+00   -1.32079736e-03   -1.32079736e-03    0.00000000e+00    1.32079736e-03    1.80000000e+02   -5.75832762e+01    1.32070320e-03    1.32070320e-03    0.00000000e+00    1.32070320e-03    0.00000000e+00   -5.75838954e+01
40       2.54248809e-06    6.82531131e-01    6.82531131e-01    0.00000000e+00    6.82531131e-01    0.00000000e+00   -3.31755070e+00   -1.36515654e-03   -1.36515654e-03    0.00000000e+00    1.36515654e-03    1.80000000e+02   -5.72963509e+01    1.36506226e-03    1.36506226e-03    0.00000000e+00    1.36506226e-03    0.00000000e+00   -5.72969508e+01
41       2.75421189e-06    7.02517891e-01    7.02517891e-01    0.00000000e+00    7.02517891e-01    0.00000000e+00   -3.06685222e+00   -1.40513018e-03   -1.40513018e-03    0.00000000e+00    1.40513018e-03    1.80000000e+02   -5.70456688e+01    1.40503578e-03    1.40503578e-03    0.00000000e+00    1.40503578e-03    0.00000000e+00   -5.70462523e+01
42       2.96593570e-06    7.22529209e-01    7.22529209e-01    0.00000000e+00    7.22529209e-01    0.00000000e+00   -2.82289183e+00   -1.44515293e-03   -1.44515293e-03    0.00000000e+00    1.44515293e-03    1.80000000e+02   -5.68017238e+01    1.44505842e-03    1.44505842e-03    0.00000000e+00    1.44505842e-03    0.00000000e+00   -5.68022919e+01
43       3.17765950e-06    7.42565855e-01    7.42565855e-01    0.00000000e+00    7.42565855e-01    0.00000000e+00   -2.58530050e+00   -1.48522634e-03   -1.48522634e-03    0.00000000e+00    1.48522634e-03    1.80000000e+02   -5.65641471e+01    1.48513171e-03    1.48513171e-03    0.00000000e+00    1.48513171e-03    0.00000000e+00   -5.65647006e+01
44       3.38938331e-06    7.62628073e-01    7.62628073e-01    0.00000000e+00    7.62628073e-01    0.00000000e+00   -2.35374424e+00   -1.52535090e-03   -1.52535090e-03    0.00000000e+00    1.52535090e-03    1.80000000e+02   -5.63326047e+01    1.52525615e-03    1.52525615e-03    0.00000000e+00    1.52525615e-03    0.00000000e+00   -5.63331443e+01
45       3.60110711e-06    7.82715743e-01    7.82715743e-01    0.00000000e+00    7.82715743e-01    0.00000000e+00   -2.12791862e+00   -1.56552636e-03   -1.56552636e-03    0.00000000e+00    1.56552636e-03    1.80000000e+02   -5.61067923e+01    1.56543149e-03    1.56543149e-03    0.00000000e+00    1.56543149e-03    0.00000000e+00   -5.61073187e+01
46       3.81283091e-06    8.02828487e-01    8.02828487e-01    0.00000000e+00    8.02828487e-01    0.00000000e+00   -1.90754451e+00   -1.60575197e-03   -1.60575197e-03    0.00000000e+00    1.60575197e-03    1.80000000e+02   -5.58864307e+01    1.60565697e-03    1.60565697e-03    0.00000000e+00    1.60565697e-03    0.00000000e+00   -5.58869446e+01
47       4.02455472e-06    8.22965757e-01    8.22965757e-01    0.00000000e+00    8.22965757e-01    0.00000000e+00   -1.69236470e+00   -1.64602663e-03   -1.64602663e-03    0.00000000e+00    1.64602663e-03    1.80000000e+02   -5.56712629e+01    1.64593151e-03    1.64593151e-03    0.00000000e+00    1.64593151e-03    0.00000000e+00   -5.56717648e+01
48       4.23627852e-06    8.43126892e-01    8.43126892e-01    0.00000000e+00    8.43126892e-01    0.00000000e+00   -1.48214117e+00   -1.68634901e-03   -1.68634901e-03    0.00000000e+00    1.68634901e-03    1.80000000e+02   -5.54610508e+01    1.68625378e-03    1.68625378e-03    0.00000000e+00    1.68625378e-03    0.00000000e+00   -5.54615413e+01
49       4.44800233e-06    8.63311161e-01    8.63311161e-01    0.00000000e+00    8.63311161e-01    0.00000000e+00   -1.27665288e+00   -1.72671766e-03   -1.72671766e-03    0.00000000e+00    1.72671766e-03    1.80000000e+02   -5.52555734e+01    1.72662232e-03    1.72662232e-03    0.00000000e+00    1.72662232e-03    0.00000000e+00   -5.52560530e+01
50       4.65972613e-06    8.83517801e-01    8.83517801e-01    0.00000000e+00    8.83517801e-01    0.00000000e+00   -1.07569392e+00   -1.76713104e-03   -1.76713104e-03    0.00000000e+00    1.76713104e-03    1.80000000e+02   -5.50546249e+01    1.76703560e-03    1.76703560e-03    0.00000000e+00    1.76703560e-03    0.00000000e+00   -5.50550940e+01
51       4.87144994e-06    9.03746029e-01    9.03746029e-01    0.00000000e+00    9.03746029e-01    0.00000000e+00   -8.79071963e-01   -1.80758760e-03   -1.80758760e-03    0.00000000e+00    1.80758760e-03    1.80000000e+02   -5.48580129e+01    1.80749206e-03    1.80749206e-03    0.00000000e+00    1.80749206e-03    0.00000000e+00   -5.48584721e+01
52       5.08317374e-06    9.23995065e-01    9.23995065e-01    0.00000000e+00    9.23995065e-01    0.00000000e+00   -6.86606965e-01   -1.84808577e-03   -1.84808577e-03    0.00000000e+00    1.84808577e-03    1.80000000e+02   -5.46655575e+01    1.84799013e-03    1.84799013e-03    0.00000000e+00    1.84799013e-03    0.00000000e+00   -5.46660071e+01
53       5.29489755e-06    9.44264142e-01    9.44264142e-01    0.00000000e+00    9.44264142e-01    0.00000000e+00   -4.98130041e-01   -1.88862402e-03   -1.88862402e-03    0.00000000e+00    1.88862402e-03    1.80000000e+02   -5.44770898e+01    1.88852828e-03    1.88852828e-03    0.00000000e+00    1.88852828e-03    0.00000000e+00   -5.44775301e+01
54       5.50662135e-06    9.64552511e-01    9.64552511e-01    0.00000000e+00    9.64552511e-01    0.00000000e+00   -3.13482481e-01   -1.92920085e-03   -1.92920085e-03    0.00000000e+00    1.92920085e-03    1.80000000e+02   -5.42924511e+01    1.92910502e-03    1.92910502e-03    0.00000000e+00    1.92910502e-03    0.00000000e+00   -5.42928826e+01
55       5.71834516e-06    9.84859446e-01    9.84859446e-01    0.00000000e+00    9.84859446e-01    0.00000000e+00   -1.32514904e-01   -1.96981480e-03   -1.96981480e-03    0.00000000e+00    1.96981480e-03    1.80000000e+02   -5.41114921e+01    1.96971889e-03    1.96971889e-03    0.00000000e+00    1.96971889e-03    0.00000000e+00   -5.41119150e+01
56       5.93006896e-06    1.00518425e+00    1.00518425e+00    0.00000000e+00    1.00518425e+00    0.00000000e+00    4.49135001e-02   -2.01046450e-03   -2.01046450e-03    0.00000000e+00    2.01046450e-03    1.80000000e+02   -5.39340718e+01    2.01036850e-03    2.01036850e-03    0.00000000e+00    2.01036850e-03    0.00000000e+00   -5.39344866e+01
57       6.14179277e-06    1.02552625e+00    1.02552625e+00    0.00000000e+00    1.02552625e+00    0.00000000e+00    2.18935638e-01   -2.05114858e-03   -2.05114858e-03    0.00000000e+00    2.05114858e-03    1.80000000e+02   -5.37600576e+01    2.05105250e-03    2.05105250e-03    0.00000000e+00    2.05105250e-03    0.00000000e+00   -5.37604644e+01
58       6.35351657e-06    1.04588481e+00    1.04588481e+00    0.00000000e+00    1.04588481e+00    0.00000000e+00    3.89677113e-01   -2.09186578e-03   -2.09186578e-03    0.00000000e+00    2.09186578e-03    1.80000000e+02   -5.35893237e+01    2.09176962e-03    2.09176962e-03    0.00000000e+00    2.09176962e-03    0.00000000e+00   -5.35897230e+01
59       6.56524038e-06    1.06625931e+00    1.06625931e+00    0.00000000e+00    1.06625931e+00    0.00000000e+00    5.57256758e-01   -2.13261486e-03   -2.13261486e-03    0.00000000e+00    2.13261486e-03    1.80000000e+02   -5.34217514e+01    2.13251863e-03    2.13251863e-03    0.00000000e+00    2.13251863e-03    0.00000000e+00   -5.34221433e+01
