Index       TIME              V(A)              V(B)             V(A,B)            VR(A,B)           VI(A,B)           VM(A,B)          VDB(A,B)           VP(A,B)     
0        0.00000000e+00    1.00000000e+00    7.41157059e-01    2.58842941e-01    2.58842941e-01    0.00000000e+00    2.58842941e-01   -1.17392735e+01    0.00000000e+00
1        4.76190476e-06    5.00000000e+00    3.50830595e+00    1.49169405e+00    1.49169405e+00    0.00000000e+00    1.49169405e+00    3.47359518e+00    0.00000000e+00
2        9.52380952e-06    5.00000000e+00    3.26485293e+00    1.73514707e+00    1.73514707e+00    0.00000000e+00    1.73514707e+00    4.78672581e+00    0.00000000e+00
3        1.42857143e-05    5.00000000e+00    3.37998019e+00    1.62001981e+00    1.62001981e+00    0.00000000e+00    1.62001981e+00    4.19040653e+00    0.00000000e+00
4        1.90476190e-05    5.00000000e+00    3.29509308e+00    1.70490692e+00    1.70490692e+00    0.00000000e+00    1.70490692e+00    4.63401346e+00    0.00000000e+00
5        2.38095238e-05    5.00000000e+00    3.36812667e+00    1.63187333e+00    1.63187333e+00    0.00000000e+00    1.63187333e+00    4.25372888e+00    0.00000000e+00
6        2.85714286e-05    5.00000000e+00    3.29912485e+00    1.70087515e+00    1.70087515e+00    0.00000000e+00    1.70087515e+00    4.61344873e+00    0.00000000e+00
7        3.33333333e-05    5.00000000e+00    3.36952601e+00    1.63047399e+00    1.63047399e+00    0.00000000e+00    1.63047399e+00    4.24627753e+00    0.00000000e+00
8        3.80952381e-05    5.00000000e+00    3.29152416e+00    1.70847584e+00    1.70847584e+00    0.00000000e+00    1.70847584e+00    4.65217682e+00    0.00000000e+00
9        4.28571429e-05    5.00000000e+00    3.38864927e+00    1.61135073e+00    1.61135073e+00    0.00000000e+00    1.61135073e+00    4.14380161e+00    0.00000000e+00
10       4.76190476e-05    5.00000000e+00    3.23529602e+00    1.76470398e+00    1.76470398e+00    0.00000000e+00    1.76470398e+00    4.93343728e+00    0.00000000e+00
11       5.23809524e-05    1.00000000e+00    5.15117227e-01    4.84882773e-01    4.84882773e-01    0.00000000e+00    4.84882773e-01   -6.28726490e+00    0.00000000e+00
12       5.71428571e-05    1.00000000e+00    7.11316258e-01    2.88683742e-01    2.88683742e-01    0.00000000e+00    2.88683742e-01   -1.07915535e+01    0.00000000e+00
13       6.19047619e-05    1.00000000e+00    6.44837506e-01    3.55162494e-01    3.55162494e-01    0.00000000e+00    3.55162494e-01   -8.99145807e+00    0.00000000e+00
14       6.66666667e-05    1.00000000e+00    6.78398572e-01    3.21601428e-01    3.21601428e-01    0.00000000e+00    3.21601428e-01   -9.85364063e+00    0.00000000e+00
15       7.14285714e-05    1.00000000e+00    6.61019304e-01    3.38980696e-01    3.38980696e-01    0.00000000e+00    3.38980696e-01   -9.39650067e+00    0.00000000e+00
16       7.61904762e-05    1.00000000e+00    6.67683341e-01    3.32316659e-01    3.32316659e-01    0.00000000e+00    3.32316659e-01   -9.56895773e+00    0.00000000e+00
17       8.09523810e-05    1.00000000e+00    6.70046409e-01    3.29953591e-01    3.29953591e-01    0.00000000e+00    3.29953591e-01   -9.63094282e+00    0.00000000e+00
18       8.57142857e-05    1.00000000e+00    6.58081181e-01    3.41918819e-01    3.41918819e-01    0.00000000e+00    3.41918819e-01   -9.32153991e+00    0.00000000e+00
19       9.04761905e-05    1.00000000e+00    6.82963587e-01    3.17036413e-01    3.17036413e-01    0.00000000e+00    3.17036413e-01   -9.97781707e+00    0.00000000e+00
20       9.52380952e-05    1.00000000e+00    6.35567095e-01    3.64432905e-01    3.64432905e-01    0.00000000e+00    3.64432905e-01   -8.76764834e+00    0.00000000e+00
End of Xyce(TM) Simulation
