Index       FREQ            Re(V(1))          Im(V(1))            VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)           Re(I(V1))         Im(I(V1))          IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)          Re(I(R1))         Im(I(R1))          IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
14      -3.60000000e+05   -2.85614232e-04   -1.25958579e-05   -2.85614232e-04   -1.25958579e-05    2.85891841e-04   -1.77474838e+02   -7.08759648e+01    5.71256955e-07    2.45456716e-08    5.71256955e-07    2.45456716e-08    5.71784049e-07    2.46036191e+00   -1.24855359e+02   -5.71228463e-07   -2.51917158e-08   -5.71228463e-07   -2.51917158e-08    5.71783683e-07   -1.77474838e+02   -1.24855365e+02
15      -3.50000000e+05   -8.60351725e-04    3.04187305e-05   -8.60351725e-04    3.04187305e-05    8.60889301e-04    1.77975085e+02   -6.13010538e+01    1.72063655e-06   -6.27294732e-08    1.72063655e-06   -6.27294732e-08    1.72177964e-06   -2.08791507e+00   -1.15280449e+02   -1.72070345e-06    6.08374610e-08   -1.72070345e-06    6.08374610e-08    1.72177860e-06    1.77975085e+02   -1.15280454e+02
16      -3.40000000e+05   -2.14370740e-04    1.10732204e-04   -2.14370740e-04    1.10732204e-04    2.41280823e-04    1.52681596e+02   -7.23495439e+01    4.28504925e-07   -2.21922365e-07    4.28504925e-07   -2.21922365e-07    4.82561920e-07   -2.73796036e+01   -1.26328939e+02   -4.28741481e-07    2.21464408e-07   -4.28741481e-07    2.21464408e-07    4.82561645e-07    1.52681596e+02   -1.26328944e+02
17      -3.30000000e+05   -6.22837285e-04    4.59497703e-04   -6.22837285e-04    4.59497703e-04    7.73992521e-04    1.43581979e+02   -6.22252647e+01    1.24472182e-06   -9.20286829e-07    1.24472182e-06   -9.20286829e-07    1.54798587e-06   -3.64774212e+01   -1.16204660e+02   -1.24567457e-06    9.18995407e-07   -1.24567457e-06    9.18995407e-07    1.54798504e-06    1.43581979e+02   -1.16204665e+02
18      -3.20000000e+05   -7.79263108e-05    9.35620561e-05   -7.79263108e-05    9.35620561e-05    1.21763575e-04    1.29790364e+02   -7.82896522e+01    1.55664504e-07   -1.87280792e-07    1.55664504e-07   -1.87280792e-07    2.43527273e-07   -5.02672363e+01   -1.32269048e+02   -1.55852622e-07    1.87124112e-07   -1.55852622e-07    1.87124112e-07    2.43527150e-07    1.29790364e+02   -1.32269052e+02
19      -3.10000000e+05   -1.22582296e-04    3.06228708e-04   -1.22582296e-04    3.06228708e-04    3.29852150e-04    1.11816056e+02   -6.96336136e+01    2.44568124e-07   -6.12696180e-07    2.44568124e-07   -6.12696180e-07    6.59704613e-07   -6.82397444e+01   -1.23613010e+02   -2.45164592e-07    6.12457416e-07   -2.45164592e-07    6.12457416e-07    6.59704300e-07    1.11816056e+02   -1.23613014e+02
20      -3.00000000e+05   -4.52957942e-05   -2.69023989e-05   -4.52957942e-05   -2.69023989e-05    5.26825212e-05   -1.49292777e+02   -8.55666690e+01    9.06422982e-08    5.37194173e-08    9.06422982e-08    5.37194173e-08    1.05365089e-07    3.06532235e+01   -1.39546065e+02   -9.05915883e-08   -5.38047978e-08   -9.05915883e-08   -5.38047978e-08    1.05365042e-07   -1.49292777e+02   -1.39546069e+02
21      -2.90000000e+05   -1.60729541e-04   -3.51189556e-04   -1.60729541e-04   -3.51189556e-04    3.86222850e-04   -1.14592232e+02   -6.82632407e+01    3.22098992e-07    7.02086243e-07    3.22098992e-07    7.02086243e-07    7.72446020e-07    6.53555682e+01   -1.22242637e+02   -3.21459082e-07   -7.02379113e-07   -3.21459082e-07   -7.02379113e-07    7.72445700e-07   -1.14592232e+02   -1.22242641e+02
22      -2.80000000e+05   -1.38342335e-04   -8.92803577e-05   -1.38342335e-04   -8.92803577e-05    1.64649883e-04   -1.47163493e+02   -7.56687715e+01    2.76841741e-07    1.78317331e-07    2.76841741e-07    1.78317331e-07    3.29299893e-07    3.27861066e+01   -1.29648168e+02   -2.76684670e-07   -1.78560715e-07   -2.76684670e-07   -1.78560715e-07    3.29299766e-07   -1.47163493e+02   -1.29648172e+02
23      -2.70000000e+05   -9.54482337e-04   -6.25478710e-04   -9.54482337e-04   -6.25478710e-04    1.14116614e-03   -1.46762904e+02   -5.88530225e+01    1.91002577e-06    1.24933818e-06    1.91002577e-06    1.24933818e-06    2.28233309e-06    3.31884957e+01   -1.12832419e+02   -1.90896467e-06   -1.25095742e-06   -1.90896467e-06   -1.25095742e-06    2.28233227e-06   -1.46762904e+02   -1.12832423e+02
