Index       TIME              VM(1)      
0        0.00000000e+00    4.65316936e-01
1        1.00000000e-10    4.65326924e-01
2        3.00000000e-10    4.65346919e-01
3        7.00000000e-10    4.65386908e-01
4        1.50000000e-09    4.65466880e-01
5        3.10000000e-09    4.65626798e-01
6        6.30000000e-09    4.65946530e-01
7        1.27000000e-08    4.66585587e-01
8        2.55000000e-08    4.67862095e-01
9        5.11000000e-08    4.70408904e-01
10       1.02300000e-07    4.75479312e-01
11       2.04700000e-07    4.85538860e-01
12       4.09500000e-07    5.05407540e-01
13       8.19100000e-07    5.44543349e-01
14       1.22870000e-06    5.83380545e-01
15       2.04790000e-06    6.60704806e-01
16       3.68630000e-06    8.15993963e-01
17       5.32470000e-06    9.72589486e-01
18       6.96310000e-06    1.13025843e+00
19       8.60150000e-06    1.28874318e+00
20       1.00000000e-05    1.42452841e+00
21       1.03276800e-05    1.42389607e+00
22       1.09830400e-05    1.42322269e+00
23       1.22937600e-05    1.42272362e+00
24       1.36044800e-05    1.42254664e+00
25       1.62259200e-05    1.42246621e+00
26       2.14688000e-05    1.42244617e+00
27       3.14688000e-05    1.42244365e+00
28       4.14688000e-05    1.42244348e+00
29       5.00000000e-05    1.42244347e+00
30       5.00625000e-05    1.41620644e+00
31       5.01250000e-05    1.40998061e+00
32       5.02500000e-05    1.39756769e+00
33       5.05000000e-05    1.37286047e+00
34       5.10000000e-05    1.32374627e+00
35       5.20000000e-05    1.22612560e+00
36       5.40000000e-05    1.03207134e+00
37       5.60000000e-05    8.39321801e-01
38       5.80000000e-05    6.48267318e-01
39       6.00000000e-05    4.59876282e-01
40       6.02000000e-05    4.60943365e-01
41       6.04000000e-05    4.61822681e-01
42       6.08000000e-05    4.62998294e-01
43       6.12000000e-05    4.63787591e-01
44       6.20000000e-05    4.64562027e-01
45       6.28000000e-05    4.64948421e-01
46       6.44000000e-05    4.65195975e-01
47       6.60000000e-05    4.65278276e-01
48       6.92000000e-05    4.65309717e-01
49       7.56000000e-05    4.65316508e-01
50       8.56000000e-05    4.65317285e-01
51       9.56000000e-05    4.65317341e-01
52       1.00000000e-04    4.65317344e-01
End of Xyce(TM) Simulation
