TIME,V(1),V(2),I(V1)
5.93910000e-06,-5.56405837e-01,2.88795748e-03,1.11858759e-03
5.99030000e-06,-5.82843659e-01,2.85796956e-03,1.17140326e-03
6.04150000e-06,-6.08678346e-01,2.82666050e-03,1.22301001e-03
6.09270000e-06,-6.33883165e-01,2.79406263e-03,1.27335445e-03
6.14390000e-06,-6.58432032e-01,2.76020958e-03,1.32238448e-03
6.19510000e-06,-6.82299545e-01,2.72513632e-03,1.37004936e-03
6.24630000e-06,-7.05461005e-01,2.68887905e-03,1.41629977e-03
6.29750000e-06,-7.27892444e-01,2.65147520e-03,1.46108784e-03
6.34870000e-06,-7.49570651e-01,2.61296340e-03,1.50436723e-03
6.39990000e-06,-7.70473191e-01,2.57338341e-03,1.54609315e-03
6.45110000e-06,-7.90578435e-01,2.53277612e-03,1.58622242e-03
6.50230000e-06,-8.09865577e-01,2.49118345e-03,1.62471352e-03
6.55350000e-06,-8.28314659e-01,2.44864837e-03,1.66152662e-03
6.60470000e-06,-8.45906590e-01,2.40521481e-03,1.69662361e-03
6.65590000e-06,-8.62623165e-01,2.36092762e-03,1.72996819e-03
6.70710000e-06,-8.78447086e-01,2.31583256e-03,1.76152584e-03
6.75830000e-06,-8.93361978e-01,2.26997620e-03,1.79126391e-03
6.80950000e-06,-9.07352406e-01,2.22340592e-03,1.81915162e-03
6.86070000e-06,-9.20403893e-01,2.17616982e-03,1.84516013e-03
6.91190000e-06,-9.32502934e-01,2.12831670e-03,1.86926250e-03
6.96310000e-06,-9.43637008e-01,2.07989600e-03,1.89143381e-03
7.01430000e-06,-9.53794594e-01,2.03095773e-03,1.91165110e-03
7.06550000e-06,-9.62965180e-01,1.98155246e-03,1.92989346e-03
7.11670000e-06,-9.71139276e-01,1.93173122e-03,1.94614201e-03
7.16790000e-06,-9.78308423e-01,1.88154549e-03,1.96037994e-03
7.21910000e-06,-9.84465204e-01,1.83104713e-03,1.97259250e-03
7.27030000e-06,-9.89603246e-01,1.78028829e-03,1.98276707e-03
7.32150000e-06,-9.93717234e-01,1.72932143e-03,1.99089311e-03
7.37270000e-06,-9.96802909e-01,1.67819919e-03,1.99696222e-03
7.42390000e-06,-9.98857079e-01,1.62697441e-03,2.00096811e-03
7.47510000e-06,-9.99877617e-01,1.57570000e-03,2.00290663e-03
7.52630000e-06,-9.99863469e-01,1.52442894e-03,2.00277580e-03
7.57750000e-06,-9.98814648e-01,1.47321420e-03,2.00057572e-03
7.62870000e-06,-9.96732240e-01,1.42210870e-03,1.99630870e-03
7.67990000e-06,-9.93618400e-01,1.37116523e-03,1.98997913e-03
7.73110000e-06,-9.89476349e-01,1.32043644e-03,1.98159357e-03
7.78230000e-06,-9.84310375e-01,1.26997472e-03,1.97116070e-03
7.83350000e-06,-9.78125823e-01,1.21983223e-03,1.95869131e-03
