Index       TIME              VM(1)      
0        0.00000000e+00    4.73221121e-01
1        1.00000000e-10    4.73231108e-01
2        3.00000000e-10    4.73251104e-01
3        7.00000000e-10    4.73291094e-01
4        1.50000000e-09    4.73371068e-01
5        3.10000000e-09    4.73530990e-01
6        6.30000000e-09    4.73850733e-01
7        1.27000000e-08    4.74489819e-01
8        2.55000000e-08    4.75766415e-01
9        5.11000000e-08    4.78313518e-01
10       1.02300000e-07    4.83384947e-01
11       2.04700000e-07    4.93448010e-01
12       4.09500000e-07    5.13327959e-01
13       8.19100000e-07    5.52494865e-01
14       1.22870000e-06    5.91365363e-01
15       2.04790000e-06    6.68753696e-01
16       3.68630000e-06    8.24142868e-01
17       5.32470000e-06    9.80808771e-01
18       6.96310000e-06    1.13852893e+00
19       8.60150000e-06    1.29705314e+00
20       1.00000000e-05    1.43286574e+00
21       1.01638400e-05    1.43249692e+00
22       1.04915200e-05    1.43198509e+00
23       1.11468800e-05    1.43143348e+00
24       1.24576000e-05    1.43102352e+00
25       1.37683200e-05    1.43087656e+00
26       1.63897600e-05    1.43080954e+00
27       2.16326400e-05    1.43079270e+00
28       3.16326400e-05    1.43079054e+00
29       4.16326400e-05    1.43079039e+00
30       5.00000000e-05    1.43079038e+00
31       5.00625000e-05    1.42455319e+00
32       5.01250000e-05    1.41832711e+00
33       5.02500000e-05    1.40591345e+00
34       5.05000000e-05    1.38120394e+00
35       5.10000000e-05    1.33208327e+00
36       5.20000000e-05    1.23444561e+00
37       5.40000000e-05    1.04034684e+00
38       5.60000000e-05    8.47535586e-01
39       5.80000000e-05    6.56390708e-01
40       6.00000000e-05    4.67850685e-01
41       6.02000000e-05    4.68902443e-01
42       6.04000000e-05    4.69769151e-01
43       6.08000000e-05    4.70928876e-01
44       6.12000000e-05    4.71708114e-01
45       6.20000000e-05    4.72473983e-01
46       6.28000000e-05    4.72856632e-01
47       6.44000000e-05    4.73102391e-01
48       6.60000000e-05    4.73184249e-01
49       6.92000000e-05    4.73215612e-01
50       7.56000000e-05    4.73222405e-01
51       8.56000000e-05    4.73223186e-01
52       9.56000000e-05    4.73223242e-01
53       1.00000000e-04    4.73223245e-01


0        0.00000000e+00    4.85160094e-01
1        1.00000000e-10    4.85170081e-01
2        3.00000000e-10    4.85190076e-01
3        7.00000000e-10    4.85230064e-01
4        1.50000000e-09    4.85310034e-01
5        3.10000000e-09    4.85469950e-01
6        6.30000000e-09    4.85789683e-01
7        1.27000000e-08    4.86428761e-01
8        2.55000000e-08    4.87705390e-01
9        5.11000000e-08    4.90252738e-01
10       1.02300000e-07    4.95325320e-01
