Index       TIME              V(1)              I(V1)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    6.28318531e-06   -9.42477796e-07
2        3.00000000e-10    1.88495559e-05   -2.82743339e-06
3        7.00000000e-10    4.39822971e-05   -6.59734457e-06
4        1.50000000e-09    9.42477795e-05   -1.41371669e-05
5        3.10000000e-09    1.94778743e-04   -2.92168115e-05
6        6.30000000e-09    3.95840664e-04   -5.93760996e-05
7        1.27000000e-08    7.97964449e-04   -1.19694667e-04
8        2.55000000e-08    1.60221157e-03   -2.40331735e-04
9        5.11000000e-08    3.21070218e-03   -4.81605326e-04
10       1.02300000e-07    6.42765431e-03   -9.64148146e-04
11       2.04700000e-07    1.28613257e-02   -1.92919886e-03
12       4.09500000e-07    2.57268050e-02   -3.85902075e-03
13       8.19100000e-07    5.14428543e-02   -7.71642815e-03
14       1.22870000e-06    7.71248330e-02   -1.15687249e-02
15       1.63830000e-06    1.02755732e-01   -1.54133598e-02
16       2.04790000e-06    1.28318575e-01   -1.92477863e-02
17       2.45750000e-06    1.53796433e-01   -2.30694650e-02
18       2.86710000e-06    1.79172431e-01   -2.68758647e-02
19       3.27670000e-06    2.04429764e-01   -3.06644646e-02
20       3.68630000e-06    2.29551702e-01   -3.44327553e-02
21       4.09590000e-06    2.54521607e-01   -3.81782411e-02
22       4.50550000e-06    2.79322943e-01   -4.18984415e-02
23       4.91510000e-06    3.03939283e-01   -4.55908924e-02
24       5.32470000e-06    3.28354323e-01   -4.92531484e-02
25       5.73430000e-06    3.52551894e-01   -5.28827841e-02
26       6.14390000e-06    3.76515969e-01   -5.64773953e-02
27       6.55350000e-06    4.00230677e-01   -6.00346015e-02
28       6.96310000e-06    4.23680312e-01   -6.35520468e-02
29       7.37270000e-06    4.46849342e-01   -6.70274014e-02
30       7.78230000e-06    4.69722424e-01   -7.04583636e-02
31       8.19190000e-06    4.92284408e-01   -7.38426612e-02
32       8.60150000e-06    5.14520351e-01   -7.71780527e-02
33       9.01110000e-06    5.36415527e-01   -8.04623291e-02
34       9.42070000e-06    5.57955434e-01   -8.36933151e-02
35       9.83030000e-06    5.79125807e-01   -8.68688710e-02
36       1.02399000e-05    5.99912623e-01   -8.99868935e-02
37       1.06495000e-05    6.20302117e-01   -9.30453175e-02
38       1.10591000e-05    6.40280783e-01   -9.60421175e-02
39       1.14687000e-05    6.59835391e-01   -9.89753087e-02
40       1.18783000e-05    6.78952989e-01   -1.01842948e-01
41       1.22879000e-05    6.97620916e-01   -1.04643137e-01
42       1.26975000e-05    7.15826807e-01   -1.07374021e-01
43       1.31071000e-05    7.33558605e-01   -1.10033791e-01
44       1.35167000e-05    7.50804566e-01   -1.12620685e-01
45       1.39263000e-05    7.67553268e-01   -1.15132990e-01
46       1.43359000e-05    7.83793619e-01   -1.17569043e-01
47       1.47455000e-05    7.99514862e-01   -1.19927229e-01
48       1.51551000e-05    8.14706585e-01   -1.22205988e-01
49       1.55647000e-05    8.29358727e-01   -1.24403809e-01
50       1.59743000e-05    8.43461583e-01   -1.26519238e-01
51       1.63839000e-05    8.57005814e-01   -1.28550872e-01
52       1.67935000e-05    8.69982449e-01   -1.30497367e-01
53       1.72031000e-05    8.82382893e-01   -1.32357434e-01
54       1.76127000e-05    8.94198933e-01   -1.34129840e-01
55       1.80223000e-05    9.05422745e-01   -1.35813412e-01
56       1.84319000e-05    9.16046894e-01   -1.37407034e-01
57       1.88415000e-05    9.26064343e-01   -1.38909651e-01
58       1.92511000e-05    9.35468459e-01   -1.40320269e-01
59       1.96607000e-05    9.44253013e-01   -1.41637952e-01
60       2.00703000e-05    9.52412187e-01   -1.42861828e-01
61       2.04799000e-05    9.59940576e-01   -1.43991086e-01
62       2.08895000e-05    9.66833196e-01   -1.45024979e-01
63       2.12991000e-05    9.73085481e-01   -1.45962822e-01
64       2.17087000e-05    9.78693290e-01   -1.46803994e-01
65       2.21183000e-05    9.83652909e-01   -1.47547936e-01
66       2.25279000e-05    9.87961054e-01   -1.48194158e-01
67       2.29375000e-05    9.91614870e-01   -1.48742231e-01
68       2.33471000e-05    9.94611939e-01   -1.49191791e-01
69       2.37567000e-05    9.96950275e-01   -1.49542541e-01
70       2.41663000e-05    9.98628329e-01   -1.49794249e-01
71       2.45759000e-05    9.99644990e-01   -1.49946748e-01
72       2.49855000e-05    9.99999585e-01   -1.49999938e-01
73       2.53951000e-05    9.99691879e-01   -1.49953782e-01
74       2.58047000e-05    9.98722075e-01   -1.49808311e-01
75       2.62143000e-05    9.97090817e-01   -1.49563623e-01
76       2.66239000e-05    9.94799184e-01   -1.49219878e-01
77       2.70335000e-05    9.91848694e-01   -1.48777304e-01
78       2.74431000e-05    9.88241301e-01   -1.48236195e-01
79       2.78527000e-05    9.83979395e-01   -1.47596909e-01
80       2.82623000e-05    9.79065798e-01   -1.46859870e-01
81       2.86719000e-05    9.73503764e-01   -1.46025565e-01
82       2.90815000e-05    9.67296977e-01   -1.45094547e-01
83       2.94911000e-05    9.60449548e-01   -1.44067432e-01
84       2.99007000e-05    9.52966012e-01   -1.42944902e-01
85       3.03103000e-05    9.44851326e-01   -1.41727699e-01
86       3.07199000e-05    9.36110863e-01   -1.40416629e-01
87       3.11295000e-05    9.26750412e-01   -1.39012562e-01
88       3.15391000e-05    9.16776174e-01   -1.37516426e-01
89       3.19487000e-05    9.06194753e-01   -1.35929213e-01
90       3.23583000e-05    8.95013158e-01   -1.34251974e-01
91       3.27679000e-05    8.83238795e-01   -1.32485819e-01
92       3.31775000e-05    8.70879462e-01   -1.30631919e-01
93       3.35871000e-05    8.57943344e-01   -1.28691502e-01
94       3.39967000e-05    8.44439008e-01   -1.26665851e-01
95       3.44063000e-05    8.30375400e-01   -1.24556310e-01
96       3.48159000e-05    8.15761833e-01   -1.22364275e-01
97       3.52255000e-05    8.00607986e-01   -1.20091198e-01
98       3.56351000e-05    7.84923895e-01   -1.17738584e-01
99       3.60447000e-05    7.68719947e-01   -1.15307992e-01
100      3.64543000e-05    7.52006876e-01   -1.12801031e-01
101      3.68639000e-05    7.34795749e-01   -1.10219362e-01
102      3.72735000e-05    7.17097966e-01   -1.07564695e-01
103      3.76831000e-05    6.98925248e-01   -1.04838787e-01
104      3.80927000e-05    6.80289631e-01   -1.02043445e-01
105      3.85023000e-05    6.61203457e-01   -9.91805186e-02
106      3.89119000e-05    6.41679368e-01   -9.62519051e-02
107      3.93215000e-05    6.21730293e-01   -9.32595439e-02
108      3.97311000e-05    6.01369445e-01   -9.02054167e-02
109      4.01407000e-05    5.80610309e-01   -8.70915464e-02
110      4.05503000e-05    5.59466635e-01   -8.39199952e-02
111      4.09599000e-05    5.37952425e-01   -8.06928637e-02
112      4.13695000e-05    5.16081928e-01   -7.74122892e-02
113      4.17791000e-05    4.93869629e-01   -7.40804444e-02
114      4.21887000e-05    4.71330240e-01   -7.06995360e-02
115      4.25983000e-05    4.48478688e-01   -6.72718033e-02
116      4.30079000e-05    4.25330109e-01   -6.37995163e-02
117      4.34175000e-05    4.01899832e-01   -6.02849748e-02
118      4.38271000e-05    3.78203377e-01   -5.67305065e-02
119      4.42367000e-05    3.54256437e-01   -5.31384655e-02
120      4.46463000e-05    3.30074872e-01   -4.95112309e-02
121      4.50559000e-05    3.05674699e-01   -4.58512048e-02
122      4.54655000e-05    2.81072077e-01   -4.21608115e-02
123      4.58751000e-05    2.56283300e-01   -3.84424950e-02
124      4.62847000e-05    2.31324786e-01   -3.46987179e-02
125      4.66943000e-05    2.06213066e-01   -3.09319599e-02
126      4.71039000e-05    1.80964771e-01   -2.71447156e-02
127      4.75135000e-05    1.55596622e-01   -2.33394933e-02
128      4.79231000e-05    1.30125421e-01   -1.95188132e-02
129      4.83327000e-05    1.04568039e-01   -1.56852058e-02
130      4.87423000e-05    7.89414004e-02   -1.18412101e-02
131      4.91519000e-05    5.32624791e-02   -7.98937186e-03
132      4.95615000e-05    2.75482819e-02   -4.13224229e-03
133      4.99711000e-05    1.81583956e-03   -2.72375933e-04
134      5.03807000e-05   -2.39178055e-02    3.58767082e-03
135      5.07903000e-05   -4.96356097e-02    7.44534145e-03
136      5.11999000e-05   -7.53205402e-02    1.12980810e-02
137      5.16095000e-05   -1.00955586e-01    1.51433379e-02
138      5.20191000e-05   -1.26523768e-01    1.89785653e-02
139      5.24287000e-05   -1.52008154e-01    2.28012231e-02
140      5.28383000e-05   -1.77391865e-01    2.66087797e-02
141      5.32479000e-05   -2.02658088e-01    3.03987132e-02
142      5.36575000e-05   -2.27790091e-01    3.41685137e-02
143      5.40671000e-05   -2.52771228e-01    3.79156842e-02
144      5.44767000e-05   -2.77584955e-01    4.16377432e-02
145      5.48863000e-05   -3.02214836e-01    4.53322254e-02
146      5.52959000e-05   -3.26644561e-01    4.89966841e-02
147      5.57055000e-05   -3.50857948e-01    5.26286921e-02
148      5.61151000e-05   -3.74838961e-01    5.62258442e-02
149      5.65247000e-05   -3.98571718e-01    5.97857577e-02
150      5.69343000e-05   -4.22040501e-01    6.33060751e-02
151      5.73439000e-05   -4.45229765e-01    6.67844648e-02
152      5.77535000e-05   -4.68124153e-01    7.02186230e-02
153      5.81631000e-05   -4.90708502e-01    7.36062753e-02
154      5.85727000e-05   -5.12967854e-01    7.69451781e-02
155      5.89823000e-05   -5.34887467e-01    8.02331200e-02
156      5.93919000e-05   -5.56452823e-01    8.34679234e-02
157      5.98015000e-05   -5.77649639e-01    8.66474459e-02
158      6.02111000e-05   -5.98463877e-01    8.97695816e-02
159      6.06207000e-05   -6.18881752e-01    9.28322628e-02
160      6.10303000e-05   -6.38889741e-01    9.58334611e-02
161      6.14399000e-05   -6.58474592e-01    9.87711888e-02
162      6.18495000e-05   -6.77623334e-01    1.01643500e-01
163      6.22591000e-05   -6.96323286e-01    1.04448493e-01
164      6.26687000e-05   -7.14562061e-01    1.07184309e-01
165      6.30783000e-05   -7.32327582e-01    1.09849137e-01
166      6.34879000e-05   -7.49608080e-01    1.12441212e-01
