Index    TIME    V(1)    VR(1)    VI(1)    I(V1)    
0   0.00000000e-001   4.65601775e-001   4.65601775e-001   0.00000000e-001   -4.65649056e-004   
1   9.90099010e-007   5.61470724e-001   5.61470724e-001   0.00000000e-001   -5.61586867e-004   
2   1.98019802e-006   6.54522786e-001   6.54522786e-001   0.00000000e-001   -6.54603043e-004   
3   2.97029703e-006   7.48229002e-001   7.48229002e-001   0.00000000e-001   -7.48334686e-004   
4   3.96039604e-006   8.42175377e-001   8.42175377e-001   0.00000000e-001   -8.42261082e-004   
5   4.95049505e-006   9.36843603e-001   9.36843603e-001   0.00000000e-001   -9.36948419e-004   
6   5.94059406e-006   1.03176725e+000   1.03176725e+000   0.00000000e-001   -1.03185416e-003   
7   6.93069307e-006   1.12721016e+000   1.12721016e+000   0.00000000e-001   -1.12731687e-003   
8   7.92079208e-006   1.22279892e+000   1.22279892e+000   0.00000000e-001   -1.22288299e-003   
9   8.91089109e-006   1.31882228e+000   1.31882228e+000   0.00000000e-001   -1.31893841e-003   
10   9.90099010e-006   1.41481512e+000   1.41481512e+000   0.00000000e-001   -1.41486671e-003   
11   1.08910891e-005   1.42305002e+000   1.42305002e+000   0.00000000e-001   -1.42303932e-003   
12   1.18811881e-005   1.42264147e+000   1.42264147e+000   0.00000000e-001   -1.42264724e-003   
13   1.28712871e-005   1.42248200e+000   1.42248200e+000   0.00000000e-001   -1.42247806e-003   
14   1.38613861e-005   1.42246592e+000   1.42246592e+000   0.00000000e-001   -1.42246859e-003   
15   1.48514851e-005   1.42244159e+000   1.42244159e+000   0.00000000e-001   -1.42243965e-003   
16   1.58415842e-005   1.42244898e+000   1.42244898e+000   0.00000000e-001   -1.42245042e-003   
17   1.68316832e-005   1.42244048e+000   1.42244048e+000   0.00000000e-001   -1.42243938e-003   
18   1.78217822e-005   1.42244610e+000   1.42244610e+000   0.00000000e-001   -1.42244694e-003   
19   1.88118812e-005   1.42244153e+000   1.42244153e+000   0.00000000e-001   -1.42244088e-003   
20   1.98019802e-005   1.42244499e+000   1.42244499e+000   0.00000000e-001   -1.42244549e-003   
21   2.07920792e-005   1.42244231e+000   1.42244231e+000   0.00000000e-001   -1.42244193e-003   
22   2.17821782e-005   1.42244434e+000   1.42244434e+000   0.00000000e-001   -1.42244463e-003   
23   2.27722772e-005   1.42244283e+000   1.42244283e+000   0.00000000e-001   -1.42244262e-003   
24   2.37623762e-005   1.42244391e+000   1.42244391e+000   0.00000000e-001   -1.42244405e-003   
25   2.47524752e-005   1.42244319e+000   1.42244319e+000   0.00000000e-001   -1.42244310e-003   
