Index       TIME              V(1)              I(V1)      
0        0.00000000e+00   -4.89864882e-16    4.89860925e-17
1        4.76190476e-06    2.94755174e-01   -2.94755174e-02
2        9.52380952e-06    5.63320058e-01   -5.63320058e-02
3        1.42857143e-05    7.81831482e-01   -7.81831482e-02
4        1.90476190e-05    9.30873749e-01   -9.30873749e-02
5        2.38095238e-05    9.97203797e-01   -9.97203797e-02
6        2.85714286e-05    9.74927912e-01   -9.74927912e-02
7        3.33333333e-05    8.66025404e-01   -8.66025404e-02
8        3.80952381e-05    6.80172738e-01   -6.80172738e-02
9        4.28571429e-05    4.33883739e-01   -4.33883739e-02
10       4.76190476e-05    1.49042266e-01   -1.49042266e-02
11       5.23809524e-05   -1.49042266e-01    1.49042266e-02
12       5.71428571e-05   -4.33883739e-01    4.33883739e-02
13       6.19047619e-05   -6.80172738e-01    6.80172738e-02
14       6.66666667e-05   -8.66025404e-01    8.66025404e-02
15       7.14285714e-05   -9.74927912e-01    9.74927912e-02
16       7.61904762e-05   -9.97203797e-01    9.97203797e-02
17       8.09523810e-05   -9.30873749e-01    9.30873749e-02
18       8.57142857e-05   -7.81831482e-01    7.81831482e-02
19       9.04761905e-05   -5.63320058e-01    5.63320058e-02
20       9.52380952e-05   -2.94755174e-01    2.94755174e-02
End of Xyce(TM) Simulation
