Index        TIME          {V(4)+1.0}          V(5)          {V(1)+1.0}
0       0.00000000e+00   5.99999936e+00   6.34691219e-01   1.03174088e+00   
1       5.00000000e-10   5.99999935e+00   6.34691377e-01   1.03188562e+00   
2       1.50000000e-09   5.99999917e+00   6.34692820e-01   1.03251013e+00   
3       3.50000000e-09   5.99999854e+00   6.34698878e-01   1.03445072e+00   
4       7.50000000e-09   5.99999626e+00   6.34739707e-01   1.04292315e+00   
5       1.55000000e-08   5.99998881e+00   6.34972978e-01   1.09184603e+00   
6       2.35000000e-08   5.99997430e+00   6.35330652e-01   1.21416017e+00   
7       3.15000000e-08   5.99996645e+00   6.35713290e-01   1.39219604e+00   
8       3.95000000e-08   5.99996663e+00   6.36100389e-01   1.62074429e+00   
9       4.75000000e-08   5.99996524e+00   6.36490257e-01   1.89557082e+00   
10      5.55000000e-08   5.99996958e+00   6.36881908e-01   2.21140605e+00   
11      6.35000000e-08   5.99997423e+00   6.37274379e-01   2.56164403e+00   
12      7.15000000e-08   5.99998235e+00   6.37667048e-01   2.93972258e+00   
13      7.95000000e-08   5.99999458e+00   6.38059224e-01   3.33813399e+00   
14      8.67000000e-08   6.00001003e+00   6.38411448e-01   3.70886520e+00   
15      9.39000000e-08   6.00002546e+00   6.38762775e-01   4.08758264e+00   
16      1.00000000e-07   6.00003577e+00   6.39059761e-01   4.41344531e+00   
17      1.00720000e-07   6.00003712e+00   6.39094672e-01   4.45105528e+00   
18      1.01270603e-07   6.00003830e+00   6.39121317e-01   4.47931845e+00   
19      1.02371808e-07   6.00004111e+00   6.39174500e-01   4.53491259e+00   
20      1.04574219e-07   6.00004880e+00   6.39280256e-01   4.64032039e+00   
21      1.08979040e-07   6.00006546e+00   6.39489585e-01   4.83000114e+00   
22      1.13383862e-07   6.00007808e+00   6.39696349e-01   4.99406559e+00   
23      1.17788683e-07   6.00008547e+00   6.39900938e-01   5.13573862e+00   
24      1.22193505e-07   6.00008898e+00   6.40103676e-01   5.25789809e+00   
25      1.26598327e-07   6.00008982e+00   6.40304838e-01   5.36310194e+00   
26      1.35407970e-07   6.00008708e+00   6.40703403e-01   5.53230618e+00   
27      1.44217613e-07   6.00008123e+00   6.41097977e-01   5.65690455e+00   
28      1.53027256e-07   6.00007494e+00   6.41489638e-01   5.74841654e+00   
29      1.61836899e-07   6.00006974e+00   6.41879157e-01   5.81536589e+00   
30      1.70646542e-07   6.00006545e+00   6.42267099e-01   5.86418302e+00   
31      1.88265828e-07   6.00005778e+00   6.43039947e-01   5.92703688e+00   
32      2.05885114e-07   6.00005166e+00   6.43810180e-01   5.96032037e+00   
33      2.23504400e-07   6.00004750e+00   6.44578998e-01   5.97827200e+00   
34      2.58742973e-07   6.00004305e+00   6.46114585e-01   5.99439965e+00   
35      2.93981545e-07   6.00004149e+00   6.47648662e-01   5.99886968e+00   
36      3.64458690e-07   6.00004025e+00   6.50714620e-01   6.00088388e+00   
37      4.34935834e-07   6.00003939e+00   6.53778249e-01   6.00084789e+00   
38      5.75890123e-07   6.00003702e+00   6.59899039e-01   6.00085206e+00   
39      7.16844413e-07   6.00003452e+00   6.66011208e-01   6.00085208e+00   
40      9.98752991e-07   6.00002975e+00   6.78209740e-01   6.00086703e+00   
41      1.56257015e-06   6.00002183e+00   7.02503943e-01   6.00089405e+00   
42      2.69020446e-06   6.00001113e+00   7.50683771e-01   6.00071494e+00   
43      3.81783878e-06   6.00000516e+00   7.98323403e-01   6.00015249e+00   
44      4.82072728e-06   6.00000200e+00   8.40243881e-01   6.00036041e+00   
45      5.82361578e-06   6.00000033e+00   8.81746083e-01   6.00034028e+00   
46      6.82650428e-06   5.99999916e+00   9.22834199e-01   6.00029070e+00   
47      7.82939278e-06   5.99999864e+00   9.63512375e-01   6.00037961e+00   
48      8.83228128e-06   5.99999823e+00   1.00378467e+00   6.00028369e+00   
49      1.08380583e-05   5.99999798e+00   1.08312983e+00   6.00037420e+00   
50      1.28438353e-05   5.99999794e+00   1.16089951e+00   6.00028085e+00   
51      1.68553893e-05   5.99999806e+00   1.31185188e+00   6.00035661e+00   
52      2.48784973e-05   5.99999833e+00   1.59629292e+00   6.00025501e+00   
53      3.29016053e-05   5.99999856e+00   1.85879564e+00   6.00031900e+00   
54      4.09247133e-05   5.99999862e+00   2.10104928e+00   6.00022232e+00   
55      4.21790654e-05   5.99999871e+00   2.13695364e+00   6.00025781e+00   
56      4.34334176e-05   5.99999864e+00   2.17263407e+00   6.00025852e+00   
57      4.59421218e-05   5.99999875e+00   2.24266820e+00   6.00025050e+00   
58      4.84508261e-05   5.99999872e+00   2.31096761e+00   6.00024871e+00   
59      5.09595304e-05   5.99999880e+00   2.37757644e+00   6.00024105e+00   
60      5.34682346e-05   5.99999877e+00   2.44253530e+00   6.00023917e+00   
61      5.59769389e-05   5.99999884e+00   2.50588461e+00   6.00023196e+00   
62      5.84856432e-05   5.99999882e+00   2.56766449e+00   6.00022994e+00   
63      6.35030517e-05   5.99999890e+00   2.68668863e+00   6.00021883e+00   
64      6.85204602e-05   5.99999890e+00   2.79988753e+00   6.00021263e+00   
65      7.85204602e-05   5.99999899e+00   3.00936738e+00   6.00019448e+00   
66      8.01000000e-05   5.99999900e+00   3.04055504e+00   6.00019388e+00   
67      8.01029499e-05   6.00000310e+00   3.04061130e+00   5.98500533e+00   
68      8.01054705e-05   6.00000817e+00   3.04065837e+00   5.96239027e+00   
69      8.01079910e-05   6.00001356e+00   3.04070497e+00   5.93525026e+00   
70      8.01130320e-05   6.00002297e+00   3.04079559e+00   5.85642089e+00   
71      8.01180731e-05   6.00002786e+00   3.04088319e+00   5.74977346e+00   
72      8.01231141e-05   6.00002882e+00   3.04096823e+00   5.62082278e+00   
73      8.01331962e-05   6.00002541e+00   3.04113204e+00   5.31413530e+00   
74      8.01432782e-05   6.00001939e+00   3.04128863e+00   4.96148059e+00   
75      8.01533603e-05   6.00001398e+00   3.04143871e+00   4.58182843e+00   
76      8.01735245e-05   6.00000615e+00   3.04171672e+00   3.79782769e+00   
77      8.01821222e-05   6.00000084e+00   3.04174580e+00   3.48191491e+00   
78      8.01832904e-05   5.99999473e+00   3.04173248e+00   3.45757904e+00   
79      8.01844587e-05   5.99998547e+00   3.04170792e+00   3.44022103e+00   
80      8.01867952e-05   5.99996123e+00   3.04158515e+00   3.41650180e+00   
81      8.01891316e-05   5.99994651e+00   3.04134964e+00   3.39945051e+00   
82      8.01938046e-05   5.99993721e+00   3.04048566e+00   3.37350886e+00   
83      8.01984776e-05   5.99993228e+00   3.03905176e+00   3.35177836e+00   
84      8.02000000e-05   5.99993006e+00   3.03845432e+00   3.34520760e+00   
85      8.02004673e-05   5.99992900e+00   3.03825465e+00   3.34325583e+00   
86      8.02014019e-05   5.99992665e+00   3.03783110e+00   3.33950051e+00   
87      8.02032711e-05   5.99992136e+00   3.03693625e+00   3.33229268e+00   
88      8.02070095e-05   5.99990748e+00   3.03486914e+00   3.31896132e+00   
89      8.02144862e-05   5.99986958e+00   3.02971869e+00   3.29537789e+00   
90      8.02294397e-05   5.99976765e+00   3.01608664e+00   3.25596225e+00   
91      8.02593467e-05   5.99953542e+00   2.98026162e+00   3.19394155e+00   
92      8.02892538e-05   5.99933231e+00   2.93838948e+00   3.14356343e+00   
93      8.03191608e-05   5.99918996e+00   2.89464542e+00   3.09802633e+00   
94      8.03789748e-05   5.99904963e+00   2.80701470e+00   3.01187984e+00   
95      8.04328075e-05   5.99901844e+00   2.72954487e+00   2.93729618e+00   
96      8.04866401e-05   5.99902381e+00   2.65398831e+00   2.86483959e+00   
97      8.05404727e-05   5.99904903e+00   2.58041948e+00   2.79443045e+00   
98      8.05943054e-05   5.99908205e+00   2.50883715e+00   2.72598233e+00   
99      8.07019707e-05   5.99915133e+00   2.37150229e+00   2.59484616e+00   
100     8.08096359e-05   5.99922416e+00   2.24172781e+00   2.47110364e+00   
101     8.09065347e-05   5.99929938e+00   2.13120861e+00   2.36600491e+00   
102     8.10034334e-05   5.99937060e+00   2.02653031e+00   2.26672965e+00   
103     8.11003322e-05   5.99943503e+00   1.92755160e+00   2.17307381e+00   
104     8.11972309e-05   5.99949833e+00   1.83410083e+00   2.08487606e+00   
105     8.12941297e-05   5.99955807e+00   1.74600427e+00   2.00194941e+00   
106     8.13910284e-05   5.99961478e+00   1.66307849e+00   1.92410593e+00   
107     8.15848259e-05   5.99971964e+00   1.51189663e+00   1.78281914e+00   
108     8.17786234e-05   5.99981278e+00   1.37921411e+00   1.65974634e+00   
109     8.19724209e-05   5.99989635e+00   1.26367586e+00   1.55355146e+00   
110     8.21662184e-05   5.99996878e+00   1.16388035e+00   1.46276237e+00   
111     8.23600159e-05   6.00003183e+00   1.07834026e+00   1.38584256e+00   
112     8.25538134e-05   6.00008388e+00   1.00555638e+00   1.32127823e+00   
113     8.27476109e-05   6.00012736e+00   9.44058183e-01   1.26756979e+00   
114     8.31352059e-05   6.00018672e+00   8.48754280e-01   1.18657079e+00   
115     8.35228009e-05   6.00021819e+00   7.82944744e-01   1.13316393e+00   
116     8.39103959e-05   6.00022519e+00   7.38039353e-01   1.09866251e+00   
117     8.42979909e-05   6.00021803e+00   7.07441562e-01   1.07653883e+00   
118     8.50731809e-05   6.00018160e+00   6.70949963e-01   1.05232485e+00   
119     8.58483709e-05   6.00013910e+00   6.53498976e-01   1.04189607e+00   
120     8.73987509e-05   6.00007166e+00   6.39233220e-01   1.03407830e+00   
121     8.89491309e-05   6.00003437e+00   6.35867393e-01   1.03233706e+00   
122     9.20498908e-05   6.00000447e+00   6.34600656e-01   1.03169636e+00   
123     9.51506508e-05   6.00000027e+00   6.34697994e-01   1.03174302e+00   
124     1.00000000e-04   5.99999907e+00   6.34689293e-01   1.03174120e+00   
125     1.00003143e-04   5.99999819e+00   6.34707665e-01   1.03541889e+00   
126     1.00005717e-04   5.99999715e+00   6.34741700e-01   1.04096132e+00   
127     1.00010865e-04   5.99999406e+00   6.34853543e-01   1.05983862e+00   
128     1.00021161e-04   5.99997931e+00   6.35251143e-01   1.17622243e+00   
