TIME,V(3),V(4)
0.00000000e+00,-1.00000000e+00,-2.00000000e+00
1.00000000e-01,-1.10000000e+00,-2.10000000e+00
2.00000000e-01,-1.20000000e+00,-2.20000000e+00
3.00000000e-01,-1.30000000e+00,-2.30000000e+00
4.00000000e-01,-1.40000000e+00,-2.40000000e+00
5.00000000e-01,-1.50000000e+00,-2.50000000e+00
6.00000000e-01,-1.60000000e+00,-2.60000000e+00
7.00000000e-01,-1.45000000e+00,-2.45000000e+00
8.00000000e-01,-1.30000000e+00,-2.30000000e+00
9.00000000e-01,-1.15000000e+00,-2.15000000e+00
1.00000000e+00,-1.00000000e+00,-2.00000000e+00
