Index         TIME             I(R)
0       0.00000000e+00   3.33333333e-01   
1       1.00000000e-10   3.33333333e-01   
2       3.00000000e-10   3.33333333e-01   
3       7.00000000e-10   3.33333333e-01   
4       1.50000000e-09   3.33333333e-01   
5       3.10000000e-09   3.33333333e-01   
6       6.30000000e-09   3.33333332e-01   
7       1.27000000e-08   3.33333331e-01   
8       2.55000000e-08   3.33333328e-01   
9       5.11000000e-08   3.33333322e-01   
10      1.02300000e-07   3.33333311e-01   
11      2.04700000e-07   3.33333288e-01   
12      4.09500000e-07   3.33333242e-01   
13      8.19100000e-07   3.33333151e-01   
14      1.63830000e-06   3.33332969e-01   
15      3.27670000e-06   3.33332605e-01   
16      6.55350000e-06   3.33331877e-01   
17      1.31071000e-05   3.33330421e-01   
18      2.62143000e-05   3.33327508e-01   
19      5.24287000e-05   3.33321683e-01   
20      1.04857500e-04   3.33310033e-01   
21      2.09715100e-04   3.33286736e-01   
22      4.19430300e-04   3.33240153e-01   
23      8.38860700e-04   3.33147024e-01   
24      1.67772150e-03   3.32960923e-01   
25      3.35544310e-03   3.32589344e-01   
26      6.71088630e-03   3.31848668e-01   
27      1.34217727e-02   3.30377168e-01   
28      2.68435455e-02   3.27472976e-01   
29      5.36870911e-02   3.21815122e-01   
30      1.07374182e-01   3.11066338e-01   
31      2.07374182e-01   2.92847347e-01   
32      3.07374182e-01   2.76644430e-01   
33      4.07374182e-01   2.62140489e-01   
34      5.07374182e-01   2.49081613e-01   
35      6.07374182e-01   2.37262089e-01   
36      7.07374182e-01   2.26513477e-01   
37      8.07374182e-01   2.16696539e-01   
38      9.07374182e-01   2.07695174e-01   
39      1.00000000e+00   2.00000000e-01   
End of Xyce(TM) Simulation
